str_no_string|¡NO STRING!
str_order_attack_failure|Observáis la batalla con la desesperación reflejada en vuestro rostro, mientras el enemigo diezma a vuestros soldados y hace huir a los pocos que quedan vivos.
str_order_attack_continue|A pesar de las continuadas escaramuzas, vuestras tropas fueron incapaces de conseguir una victoria decisiva.
str_join_order_attack_success|Vuestros hombres luchan junto a vuestros aliados, compartiendo la gloria mientras derrotan al enemigo.
str_join_order_attack_failure|Miráis la batalla con la desesperación reflejada en vuestro rostro, mientras el enemigo diezma a vuestros soldados y hace huir a los pocos que quedan vivos.
str_join_order_attack_continue|A pesar de las continuadas escaramuzas, ni vuestras tropas ni vuestros aliados fueron capaces de conseguir una victoria decisiva.
str_siege_defender_order_attack_success|Los hombres de la guarnición protegen los muros con habilidad y coraje, aplastando el asalto enemigo y consiguiendo que huyan despavoridos.
str_siege_defender_order_attack_failure|El asalto se convierte en un baño de sangre. Los valientes esfuerzos no acarrean resultados positivos; la guarnición no puede proteger los muros y el enemigo ejecuta a todos y cada uno de los defensores.
str_siege_defender_order_attack_continue|Los sangrientos asaltos contra los muros no son suficientes para ganar terreno y demasiados enemigos quedan aún en pie. El asalto continúa.
str_hero_taken_prisoner|{s1} del {s3} ha sido tomado prisionero por el {s2}.
str_hero_freed|{s1} del {s3} ha sido liberado por el {s2}.
str_center_captured|{s2} ha tomado {s1} del {s3}.
str_troop_relation_increased|Vuestra relación con {s1} ha mejorado de {reg1} a {reg2}.
str_troop_relation_detoriated|Vuestra relación con {s1} se ha deteriorado de {reg1} a {reg2}.
str_faction_relation_increased|Vuestra relación con {s1} ha mejorado de {reg1} a {reg2}.
str_faction_relation_detoriated|Vuestra relación con {s1} se ha deteriorado de {reg1} a {reg2}.
str_party_gained_morale|Vuestro grupo gana {reg1} puntos de moral.
str_party_lost_morale|Vuestro grupo pierde {reg1} puntos de moral.
str_other_party_gained_morale|{s1} gana {reg1} puntos de moral.
str_other_party_lost_morale|{s1} pierde {reg1} puntos de moral.
str_qst_follow_spy_noticed_you|¡El espía os ha visto! ¡Está huyendo!
str_father|padre
str_husband|marido
str_wife|esposa
str_daughter|hija
str_mother|madre
str_son|hijo
str_brother|hermano
str_sister|hermana
str_he|Él
str_she|Ella
str_s3s_s2|{s2} del {s3}
str_s5_is_s51|{s5} es {s51}.
str_s5_is_the_ruler_of_s51|{s5} es regente de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} forma parte de la nobleza de {s6}. 
str_relation_mnus_100|Vengativo
str_relation_mnus_90|Vengativo
str_relation_mnus_80|Vengativo
str_relation_mnus_70|Desagradable
str_relation_mnus_60|Desagradable
str_relation_mnus_50| Hostil
str_relation_mnus_40|  Enfadado
str_relation_mnus_30|    Resentido
str_relation_mnus_20|      Reticente
str_relation_mnus_10|        Suspicaz
str_relation_plus_0|         Indiferente
str_relation_plus_10|          Cooperativo
str_relation_plus_20|           Acogedor
str_relation_plus_30|            Favorable
str_relation_plus_40|             Solidario
str_relation_plus_50|              Amigable
str_relation_plus_60|               Gentil
str_relation_plus_70|                 Afectuoso
str_relation_plus_80|                  Leal
str_relation_plus_90|                   Devoto
str_relation_mnus_100_ns|{s60} tiene ansias de venganza contra vos.
str_relation_mnus_90_ns|{s60} tiene ansias de venganza contra vos.
str_relation_mnus_80_ns|{s60} tiene ansias de venganza contra vos.
str_relation_mnus_70_ns|{s60} os odia.
str_relation_mnus_60_ns|{s60} os odia.
str_relation_mnus_50_ns|{s60} es hostil con vos.
str_relation_mnus_40_ns|{s60} está irritable con vos.
str_relation_mnus_30_ns|{s60} siente rencor hacia vos.
str_relation_mnus_20_ns|{s60} es reticente con vos.
str_relation_mnus_10_ns|{s60} sospecha de vos.
str_relation_plus_0_ns|A {s60} le sois indiferente.
str_relation_plus_10_ns|{s60} coopera con vos.
str_relation_plus_20_ns|{s60} os acoge con agrado.
str_relation_plus_30_ns|{s60} os es favorable.
str_relation_plus_40_ns|{s60} os apoya.
str_relation_plus_50_ns|{s60} es amigable con vos.
str_relation_plus_60_ns|{s60} es gentil con vos.
str_relation_plus_70_ns|{s60} siente afecto por vos.
str_relation_plus_80_ns|{s60} os es leal.
str_relation_plus_90_ns|{s60} muestra devoción hacia vos.
str_relation_reg1| Relación: {reg1}
str_center_relation_mnus_100|El populacho os odia con fervor
str_center_relation_mnus_90|El populacho os odia intensamente
str_center_relation_mnus_80|El populacho os odia con fuerza
str_center_relation_mnus_70|El populacho os odia
str_center_relation_mnus_60|El populacho se muestra desagradable con vos
str_center_relation_mnus_50|El populacho es extremadamente hostil con vos
str_center_relation_mnus_40|El populacho es muy hostil con vos
str_center_relation_mnus_30|El populacho es hostil con vos
str_center_relation_mnus_20|El populacho está en vuestra contra
str_center_relation_mnus_10|El populacho se opone a vos
str_center_relation_plus_0|El populacho es indiferente hacia vos
str_center_relation_plus_10|El populacho os acepta
str_center_relation_plus_20|El populacho coopera con vos
str_center_relation_plus_30|El populacho os respalda un poco
str_center_relation_plus_40|El populacho os respalda
str_center_relation_plus_50|El populacho os apoya completamente
str_center_relation_plus_60|El populacho os es leal
str_center_relation_plus_70|El populacho os es muy leal
str_center_relation_plus_80|El populacho siente devoción por vos
str_center_relation_plus_90|El populacho os es completamente devoto
str_town_prosperity_0|La pobreza de la ciudad de {s60} es insoportable.
str_town_prosperity_10|La miserable ciudad de {s60} está prácticamente desierta.
str_town_prosperity_20|La ciudad de {s60} parece un lugar desolado y triste.
str_town_prosperity_30|La ciudad de {s60} parece pobre y descuidada.
str_town_prosperity_40|La ciudad de {s60} parece estar pasando por dificultades.
str_town_prosperity_50|La ciudad de {s60} no llama la atención por nada.
str_town_prosperity_60|La ciudad de {s60} parece estar prosperando.
str_town_prosperity_70|La próspera ciudad de {s60} bulle de actividad.
str_town_prosperity_80|La ciudad de {s60} parece rica y bien mantenida.
str_town_prosperity_90|La ciudad de {s60} es opulenta y sus calles están llenas de gente bien.
str_town_prosperity_100|La esplendorosa ciudad de {s60} presume abiertamente de sus riquezas.
str_village_prosperity_0|La pobreza de la aldea de {s60} es insoportable.
str_village_prosperity_10|La aldea de {s60} parece terriblemente pobre y miserable.
str_village_prosperity_20|La aldea de {s60} parece muy pobre y abandonada.
str_village_prosperity_30|La aldea de {s60} parece pobre y descuidada.
str_village_prosperity_40|La aldea de {s60} parece estar pasando dificultades.
str_village_prosperity_50|La aldea de {s60} no llama la atención por nada.
str_village_prosperity_60|La aldea de {s60} parece estar prosperando.
str_village_prosperity_70|La aldea de {s60} parece bulliciosa y próspera.
str_village_prosperity_80|La aldea de {s60} parece rica y bien mantenida.
str_village_prosperity_90|La aldea de {s60} parece muy próspera y rica.
str_village_prosperity_100|La aldea de {s60}, rodeada de amplios y verdes pastos, parece inmensamente rica.
str_town_alt_prosperity_0|Los pocos objetos a la venta en el mercado parecen costar mucho más de los que los lugareños pueden pagar. La gente está malnutrida, sus animales enfermos o moribundos, y sus herramientas de trabajo rotas. En los callejones sólo abundan las moscas y los perros.
str_town_alt_prosperity_20|Oyes quejas en el mercado sobre el precio de los productos básicos, y las tiendas están medio vacías. Ves síntomas de malnutrición en la gente y en los animales, y tanto las herramientas como los edificios necesitan reparaciones. Muchos han emigrado buscando trabajo en otra parte.
str_town_alt_prosperity_40|De vez en cuando oyes quejas en el mercado sobre el precio de los productos básicos, pero parece haber una cantidad razonable de bienes a la venta. Hay algunos edificios abandonados, así como tiendas y carros, pero nada fuera de lo normal.
str_town_alt_prosperity_60|La gente parece bien alimentada y bastante satisfecha. Los artesanos hacen mucho negocio, y parecen estar llegando algunos emigrantes de otras regiones en busca de fortuna.
str_town_alt_prosperity_80|Los muros, calles y casas se encuentran en buen estado. Los mercados están rebosantes de emigrantes de regiones cercanas, atraídos por la disponibilidad tanto de bienes como de trabajo. El repiqueteo de martillos y telares habla por sí solo de la actividad de los talleres artesanales.
str_village_alt_prosperity_0|Sólo hay un puñado de gente lo suficientemente fuerte para trabajar los campos, y muchos se están llenando de malas hierbas. El resto de lugareños están débiles y malnutridos, o se han ido ya a otros lugares. Los animales domésticos hace tiempo que murieron de hambre o fueron devorados, aunque aún quedan algunos cadáveres por los alrededores, con los huesos roídos por animales salvajes.
str_village_alt_prosperity_20|Hay algunos granjeros y animales en los campos, pero su escaso número sugiere que más de un lugareño está emigrando en busca de comida. Los aperos de granja están roñosos y rotos. Las zarzas y malas hierbas empiezan a invadir algunos campos a las afueras.
str_village_alt_prosperity_40|Los campos y huertos están llenos de aldeanos dedicados a las labores agrícolas. Tanto hombres como animales parecen bastante sanos y bien alimentados. No obstante, hay algunos huertos sin sembrar a las afueras, y algunos muros necesitan reparaciones, lo cual indica que no hay suficientes manos para todo el trabajo pendiente de realizar.
str_village_alt_prosperity_60|Los campos y huertos bullen de actividad, sacos llenos de grano y ristras de carne seca atestiguan la productividad de las granjas y pastos de la aldea.
str_village_alt_prosperity_80|Los campos y huertos bullen de actividad, las zanjas de riego recién excavadas indican que los granjeros disponen de suficiente tiempo libre y energías para expandir las áreas de cultivo. Los jornaleros parecen estar llegando en masa para ayudar con el trabajo y beneficiarse de la prosperidad general.
str_oasis_village_alt_prosperity_0|Los palmerales están prácticamente abandonados, y los canales que los irrigan están obstruidos por el lodo. El puñado de aldeanos que se ve está malnutrido e inquieto. Los animales domésticos hace tiempo que murieron de hambre o fueron devorados, aunque aún quedan algunos cadáveres en las afueras, con sus huesos roídos por los chacales del desierto.
str_oasis_village_alt_prosperity_20|Se ven pocos lugareños cuidando los palmerales, y en algunos rincones el desierto parece estar invadiendo los huertos. Muchos de los canales están obstruidos por el lodo, y los pozos y cisternas están llenos de arena.
str_oasis_village_alt_prosperity_40|Hombres y mujeres están atareados cuidando de los palmerales, trepando a sus copas para recolectar la fruta. Hay animales con aspecto saludable accionando las bombas y poleas que llevan agua a los campos. Algunos de los canales de irrigación, sin embargo, necesitan arreglos.
str_oasis_village_alt_prosperity_60|Los palmerales y los huertos bullen de actividad. Los granjeros se hablan animadamente unos a otros desde las copas de los árboles, donde recogen los dátiles. Los chirridos de las bombas de madera, los bramidos de animales domésticos y el fragor del agua hablan por sí solos de un sistema de irrigación que florece gracias a la atención de los lugareños.
str_oasis_village_alt_prosperity_80|Los palmerales bullen de actividad, y los granjeros acarrean una extraordinaria cosecha de dátiles para vender en el mercado. Hombres y mujeres trabajan duro excavando nuevos pozos y canales para poder irrigar aún más tierras.
str_acres_grain|hectáreas de campos de cereal
str_acres_orchard|hectáreas de huertos y viñedos
str_acres_oasis|hectáreas de verdes oasis regados
str_looms|telares
str_boats|botes
str_head_cattle|cabeza de ganado vacuno
str_head_sheep|cabeza de ganado ovino
str_mills|molinos
str_kilns|hornos
str_pans|cubetas
str_deposits|depósitos
str_hives|colmenas
str_breweries|fábricas de cerveza
str_presses|prensas
str_smithies|herrerías
str_caravans|caravanas
str_traps|trampas
str_gardens|pequeños huertos
str_tanneries|cuencos de curtido
str_master_miller|Maestro molinero
str_master_brewer|Maestro cervecero
str_master_presser|Maestro prensador
str_master_smith|Maestro herrero
str_master_tanner|Maestro curtidor
str_master_weaver|Maestro tejedor
str_master_dyer|Maestro tintador
str_war_report_minus_4|estamos a punto de perder la guerra
str_war_report_minus_3|la situación es difícil
str_war_report_minus_2|las cosas no van muy bien
str_war_report_minus_1|aún podemos ganar la guerra si nos esforzamos
str_war_report_0|estamos igualados al enemigo
str_war_report_plus_1|tenemos posibilidades de ganar la guerra
str_war_report_plus_2|las cosas van bastante bien
str_war_report_plus_3|no tendremos dificultades para vencer
str_war_report_plus_4|estamos a punto de ganar la guerra
str_persuasion_summary_very_bad|Intentáis persuadir a {s50}, pero parece que vuestros argumentos no le convencen. Cada vez que decís algo con sentido, parece que lo bordáis con algo incorrecto que os obliga a volver a comenzar. Al terminar, no habéis podido decir nada medianamente coherente en vuestro favor y os dais cuenta que lo único que habéis hecho es meteros en un pozo. {s50} no se ha quedado con una impresión favorable.
str_persuasion_summary_bad|Intentáis persuadir a {s50}, pero {reg51?ella:él} os domina desde el comienzo. Incluso vuestros mejores argumentos suenan a hueco. {s50}, por su parte, no cree que lo que habéis dicho tenga demasiado sentido.
str_persuasion_summary_average|{s50} resulta ser inteligente y convincente y parece que sois incapaz de presentarle un argumento que {reg51?ella:él} no sea capaz de contrarrestar con racionalidad. Al final, ninguno de los dos conseguís ganar terreno en la discusión.
str_persuasion_summary_good|Gracias a vuestra lucidez mental y buenos argumentos sois capaz de exponer vuestro caso, forzando a {s50} a concederos la razón varias veces. Sin embargo, {reg51?ella:él} aún mantiene dudas sobre vuestras peticiones.
str_persuasion_summary_very_good|Vuestro apasionante discurso resuena en los oídos de los oyentes como si fuera poesía. Parece que el mundo entero guardara silencio para poder escucharos mejor. Vuestras palabras han emocionado profundamente a {s50} y {reg51?ella:él} parece mucho más proclive a ayudaros.
str_secret_sign_1|El armario baila a medianoche...
str_secret_sign_2|Vendo estos estupendos tapices Khergitas. ¿Deseáis comprar alguno?
str_secret_sign_3|Me envió el amigo de un amigo...
str_secret_sign_4|El viento sopla fuerte desde el este y el río se torna rojo...
str_countersign_1|¿Pero baila con la cómoda o con el candelabro?
str_countersign_2|Sí, ¿tenéis alguno azul?
str_countersign_3|Pero el amigo de vuestro amigo nunca tendrá un amigo como yo.
str_countersign_4|¿Habéis estado enfermo?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} de Uxhal
str_surname_2|{s50} de Wercheg
str_surname_3|{s50} de Reyvadin
str_surname_4|{s50} de Suno
str_surname_5|{s50} de Jelkala
str_surname_6|{s50} de Veluca
str_surname_7|{s50} de Halmar
str_surname_8|{s50} de Curaw
str_surname_9|{s50} de Sargoth
str_surname_10|{s50} de Tihr
str_surname_11|{s50} de Zendar
str_surname_12|{s50} de Rivacheg
str_surname_13|{s50} de Wercheg
str_surname_14|{s50} de Ehlerdag
str_surname_15|{s50} de Yaragar
str_surname_16|{s50} de Burglen
str_surname_17|{s50} de Shapeshte
str_surname_18|{s50} de Hanun
str_surname_19|{s50} de Saren
str_surname_20|{s50} de Tosdhar
str_surname_21|{s50} el Largo
str_surname_22|{s50} el Flaco
str_surname_23|{s50} Barbaseda
str_surname_24|{s50} el Gorrión
str_surname_25|{s50} el Pobre
str_surname_26|{s50} el Marcado
str_surname_27|{s50} el Bello
str_surname_28|{s50} el Inflexible
str_surname_29|{s50} el Rojo
str_surname_30|{s50} el Negro
str_surname_31|{s50} el Alto
str_surname_32|{s50} Ojos brillantes
str_surname_33|{s50} el Intrépido
str_surname_34|{s50} el Valiente
str_surname_35|{s50} el Astuto
str_surname_36|{s50} el Cobarde
str_surname_37|{s50} Brillante
str_surname_38|{s50} el Rápido
str_surname_39|{s50} el Trovador
str_surname_40|{s50} el Arrojado
str_surname_41|{s50} el Impulsivo
str_surnames_end|fin de apellidos
str_number_of_troops_killed_reg1|Número de tropas muertas: {reg1}
str_number_of_troops_wounded_reg1|Número de tropas heridas: {reg1}
str_number_of_own_troops_killed_reg1|Número de tropas aliadas muertas: {reg1}
str_number_of_own_troops_wounded_reg1|Número de tropas aliadas heridas: {reg1}
str_retreat|¡Retirada!
str_siege_continues|La lucha continúa...
str_casualty_display|Vuestras bajas: {s10}^Bajas enemigas: {s11}{s12}
str_casualty_display_hp|^Os han herido por {reg1} puntos de vida.
str_quest_log_updated|Se ha actualizado el diario de misiones...
str_banner_selection_text|Os han concedido el derecho de portar un estandarte. Vuestro estandarte representa vuestro rango y os proporciona honor. ¿Qué estandarte elegiréis?
str_retirement_text_1|Os dais cuenta demasiado tarde de que vuestro dinero no durará mucho más. Habéis dilapidado rápidamente lo poco que conseguisteis ahorrar y fracasáis en vuestros desesperados intentos de volver a la aventura. Vuestros días terminan en {s9}, mendigando por las calles y viviendo de la benevolencia de la iglesia.
str_retirement_text_2|Os dais cuenta demasiado tarde de que vuestro dinero no durará mucho más. Habéis dilapidado rápidamente lo poco que conseguisteis ahorrar. Una vez que el último denar se ha evaporado en vuestras manos, no tenéis más remedio que salir a robar por los callejones de {s9}, utilizando vuestras habilidades para ganaros el sustento robando calderilla de las mujeres y ciudadanos pobres.
str_retirement_text_3|Os dais cuenta demasiado tarde de que vuestro dinero no durará mucho más. Habéis dilapidado rápidamente lo poco que conseguisteis ahorrar y acabáis vagabundeando y sin blanca, yendo de taberna en taberna y mendigando tragos a clientes indulgentes a cambio de regalarles con relatos sobre la guerra, que nadie se cree.
str_retirement_text_4|El dinero que habéis ahorrado no os dura mucho tiempo, pero sois capaz de reunir lo suficiente como para asentaros cerca de la aldea de {s7}. Allí montáis vuestra propia granja y pronto comienzan a aparecer potenciales {esposas/esposos}. Con el tiempo, los campesinos comienzan a trataros como {un héroe/una heroína} local. Siempre os ceden un lugar de honor en las fiestas y vuestras hazañas son narradas una y otra vez en las tabernas, para que los niños conserven para siempre vuestro recuerdo.
str_retirement_text_5|El dinero que habéis ahorrado no os dura mucho tiempo, pero es suficiente para comprar una pequeña taberna en {s9}. Aunque al principio los lugareños desconfían de vos, pronto os aceptan entre los suyos. Con el tiempo, vuestra taberna se convierte en un popular centro de diversión y reuniones. La gente llega desde lugares remotos para comer o alojarse, debido a vuestra fama y a las historias épicas que contáis de vuestros días como {aventurero/aventurera}.
str_retirement_text_6|Habéis sabido ahorrar a lo largo de vuestra carrera y ahora vuestro dinero e inteligencia os permiten hacer varias excelentes inversiones para asegurar vuestro futuro. Tras comprar varias tiendas y almacenes en {s9}, vuestra sagacidad os convierte en {uno/una} de las mercaderes más prominentes de la ciudad y pronto se os conoce tanto por vuestro imperio comercial como por vuestras hazañas en batalla.
str_retirement_text_7|Al ser noble con tierras, aunque menor, vuestro futuro está asegurado. Os asentáis en vuestras posesiones de {s7}, administrando la aldea y sus campos, impartiendo justicia en las cortes locales y cumpliendo vuestras obligaciones para con vuestro señor feudal. Ocasionalmente, vuestro señor os llama para que dirijáis sus campañas, pero se trata de periodos cortos y nunca volvéis realmente a las aventuras de vuestros días jóvenes. Ya habéis hecho vuestra fortuna. Con las propiedades que tenéis, hay pocos caprichos que vuestros ingresos no os puedan permitir.
str_retirement_text_8|No hay duda de que habéis tenido gran éxito en la vida. Vuestras enormes propiedades y la fortuna acumulada durante vuestros días de aventura son suficientes como para garantizaros una vida fácil durante el resto de vuestros días. Al retiraros a vuestro noble asiento en {s8} cambiáis la aventura por la política, y pronto os establecéis como un gran poder dentro del reino de vuestro señor feudal. Entreteniéndoos con las intrigas, vuestros propios bosques para cazar, un gran salón para celebraciones y un ciento de épicas historias de guerra que contar, vuestros siguientes años pasan sin más preocupaciones.
str_retirement_text_9|Como recompensa por vuestro competente y noble servicio, vuestro señor feudal decreta que se os entregue un título hereditario, uniéndoos así a la nobleza mayor del reino. Pronto os encontráis como {Barón/Baronesa} de {s7}, convirtiéndoos en un cargo de confianza para vuestro señor feudal. Gracias a vuestro renombre, vuestra influencia y vuestro poder político encubierto crecen. Ahora pasáis vuestros días jugando a juegos de poder, administrando vuestros grandes feudos y recordando los viejos tiempos de aventuras y gloria.
str_retirement_text_10|Aunque vuestros principios fueron humildes, vuestro señor feudal os tiene en gran estima y la sorpresa recorre el reino cuando os es concedido el título hereditario de {Conde/Condesa} de {s9}. Vastos feudos y fortunas son ahora vuestros. Pronto os convertís en {el consejero/la consejera} más importante de vuestro señor feudal, casi su igual, y responsable de gran parte de la administración de su reino, mientras os sentáis en el trono de vuestro propio palacio como una de las figuras más poderosas de Calradia.
str_loot_village|atacar a los aldeanos inocentes
str_steal_from_villagers|robar a los aldeanos pobres
str_rob_caravan|robar una caravana de mercaderes
str_sell_slavery|vender esclavos
str_men_hungry|por no tener comida
str_men_unpaid|por no poder pagar los sueldos de los hombres
str_excessive_casualties|hacer de todas las batallas un baño de sangre
str_surrender|rendirnos frente al enemigo
str_flee_battle|huir de la batalla
str_pay_bandits|pagar a los bandidos
str_fail_quest|no poder completar una misión que aceptamos bajo palabra de honor
str_squander_money|malgastar el dinero que nos han confiado
str_murder_merchant|asesinar a sangre fría
str_round_up_serfs|perseguir siervos para un noble
str_battle_fate_1|Nos separamos en medio de la batalla
str_battle_fate_2|Me hirieron y creyeron que había muerto
str_battle_fate_3|El enemigo me dejó inconsciente
str_battle_fate_4|Me apresaron y pidieron recompensa por mí
str_battle_fate_5|Me capturaron, pero logré escapar
str_npc_morale_report|Concretamente, {s6} vuestra elección de compañeros, {s7} vuestro estilo de liderazgo y {s8} cómo van las cosas.
str_happy|estoy feliz con
str_content|me alegra
str_concerned|me preocupa
str_not_happy|no estoy nada feliz con
str_miserable|me horroriza
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Satisfecho
str_bar_weary|          Harto
str_bar_disgruntled|     Descontento
str_bar_miserable|  Hundido
str_here_plus_space|aquí 
str_npc1_intro|Salve, camarada. No estaréis buscando un rastreador por casualidad, ¿verdad?
str_npc2_intro|Hola. ¿Seríais tan amable de beber un trago conmigo? Solamente me quedan cinco denares y no quiero beber en solitario.
str_npc3_intro|¡Saludos!
str_npc4_intro|Saludos. Soy Rolf, hijo de Rolf, de la antigua y pudiente casa de los Rolf.
str_npc5_intro|Saludos, camarada. ¿Querríais beber conmigo?
str_npc6_intro|Estoy perdido... perdido...
str_npc7_intro|¿Sí? Mantened la distancia, por cierto.
str_npc8_intro|¿Qué queréis?
str_npc9_intro|Ey, vos, {hombre/mujer}, haced el favor de traerme otro trago, ¿eh?
str_npc10_intro|¡Saludos, {Hermano/Hermana}! ¡Brindemos por la caída y perdición de los grandes nobles!
str_npc11_intro|Hola, joven. Tomad un trago a mi salud.
str_npc12_intro|Saludos, {viajero/viajera}. Tal vez podáis ayudarme.
str_npc13_intro|Saludos, {viajero/viajera}. Soy Nizar. Sin duda habréis oído hablar de mí.
str_npc14_intro|¿Sí? ¿Qué queréis?
str_npc15_intro|¡Oh! Decidme, camarada, ¿por casualidad no saldréis de la ciudad dentro de poco?
str_npc16_intro|Hola. Me he percatado de que habéis llegado a la ciudad en compañía de un ejército. ¿Por casualidad no estaréis buscando más soldados?
str_npc1_intro_response_1|Tal vez. ¿Por qué tanta prisa?
str_npc2_intro_response_1|¿Vuestros últimos cinco denares, decís? ¿Qué os ha pasado?
str_npc3_intro_response_1|Hola. ¿Qué está haciendo una noble damisela como vos en un lugar como éste?
str_npc4_intro_response_1|Hmm... Nunca había oído hablar de la casa Rolf.
str_npc5_intro_response_1|Por supuesto. ¿Con quién tengo el placer de beber?
str_npc6_intro_response_1|¿Por qué tan cabizbajo, amigo?
str_npc7_intro_response_1|Mis disculpas. Solamente iba a decir que parecéis estar pasando una mala racha.
str_npc8_intro_response_1|Solamente conversar un rato, señora, si es que no tenéis otros compromisos.
str_npc9_intro_response_1|Creo que me habéis confundido con el tabernero, señor.
str_npc10_intro_response_1|¿Por qué lo decís, señor?
str_npc11_intro_response_1|¿Qué celebramos?
str_npc12_intro_response_1|¿Y eso?
str_npc13_intro_response_1|Hum... creo que no.
str_npc14_intro_response_1|Pasar el rato con otro viajero, si me lo permitís.
