qstr_res_cape1|res cape1
qstr_Current:{s1}|Current:{s1}
qstr_{s2}^Base_Attribute:|{s2}^Atributo Base:CAR
qstr_{s2}^Base_Attribute:I|{s2}^Atributo Base:INT
qstr_{s2}^Base_Attribute:A|{s2}^Atributo Base:AGI
qstr_{s2}^Base_Attribute:S|{s2}^Atributo Base:FUE
qstr_Battle_role:|Ról en la batalla:
qstr_Line_Infantry|Infantería de Linea
qstr_Light_Infantry|Infantería Ligera
qstr_Guard_Infantry|Infantería de Guardia
qstr_Melee_Cavalry|Caballeria de Choque
qstr_Ranged_Cavalry|Infanteria Montada
qstr_Guard_Cavalry|Caballeria de Guardia
qstr_Next|Siguiente
qstr_Price_{reg42}^Weight|Precio {reg42}^Peso {reg43}
qstr_{reg5}_to_{reg6}|{reg5} a {reg6}
qstr_You_can_t_equip_this|No puedes equipar este Item - No es el lugar correcto.
qstr_Military_Technologie|Tecnologias militares de {s1}
qstr_Research|Investigar
qstr_Select_technology|Seleccionar Tecnología
qstr_Rifled_Caplock^^Musk|Mosquete con^^ Capsula Estriada
qstr_Conversion_Breech_lo|Rifle con Conversión^^ de Retrocarga
qstr_Modern^^Breech_loade|Rifles con Retrocarga ^^Moderno
qstr_Breech_loaded^^Canno|Cañones con ^^Retrocarga
qstr_Improved_Percussion^|Mecanismos de percusión ^^mejorados
qstr_Early_Magazine^^Rifl|Primeros rifles con ^^cargador
qstr_Machine_Guns|Ametralladoras Pesadas
qstr_Modern_Magazine_Rifl|Rifles modernos con cargador
qstr_Light_Machine^^Guns|Ametralladoras ^^Ligeras
qstr_Landships|Cruceros de tierra
qstr_Crimean_War^^Experie|Experiencia de ^^la guerra de Crimea
qstr_Skirmish_Line^^Tacti|Tacticas de Linea ^^de Escaramuza
qstr_Modern_Defence^^Tact|Tacticas mordenas de ^^Defensa
qstr_Modern_Attack_Tactic|Tacticas Modernas de Ataque
qstr_Rapid_Firing^^Artill|Ataque Rapido ^^de Artillería
qstr_Infantry_Machine^^Gu|Tacticas de Infantería ^^con ametralladoras
qstr_Covering_Fire|Fuego de Cobertura
qstr_Gas_Attacks|Ataque de Gas
qstr_Shock_Troops|Tropas de Choque
qstr_Country_does_not_hav|Country does not have enough budget to start research.
qstr_faction_technologies|Tecnologias de la facción disponible
qstr_faction_technologies_|Tecnologias de la facción en progreso
qstr_Rifled_Caplock^Muske|Rifled Caplock^Muskets
qstr_faction_technologies_p|faction technologies photo riflesrifled
qstr_Rapid_Firing^Artille|Rapid Firing^Artillery
qstr_faction_technologies_ph|faction technologies photo modernartillery
qstr_faction_technologies_pho|faction technologies photo modernattack
qstr_Crimean_War^Experien|Crimean War^Experience
qstr_faction_technologies_phot|faction technologies photo crimeanwar
qstr_Modern_Magazine^Rifl|Modern Magazine^Rifles
qstr_faction_technologies_photo|faction technologies photo riflesboltactionmodern
qstr_Conversion_Breech_loa|Conversion Breech-loaded^Rifles
qstr_faction_technologies_photo_|faction technologies photo riflesconverted
qstr_Infantry_Machine^Gun|Infantry Machine^Gun Tactics
qstr_faction_technologies_photo_i|faction technologies photo infantrymgtactics
qstr_faction_technologies_photo_c|faction technologies photo coveringfire
qstr_faction_technologies_photo_g|faction technologies photo gasattacks
qstr_Converted_breech_loa|Converted breech-loaded rifles have several issues. They have big caliber, because of which during fast shooting the barrel heats up so much that it becomes hard to handle rifle during reload or melee fighting. Inserted breech-loading mechanisms are not perfect and often cause cartridge case to jam inside after shot, and being hard to get out. Next step in firearms rearmament should be adopting new breech-loaded rifle: it will have much smaller caliber than before, which will improve bullet ballistics, and will have improved breech-loading mechanism, that will further increase rate of fire by making reloading process easier.^^Effects: army changes it's firearms to small-caliber breech-loading rifles.
qstr_faction_technologies_photo_r|faction technologies photo riflessmallcaliber
qstr_faction_technologies_photo_t|faction technologies photo tanks
qstr_Skirmish_Line^Tactic|Skirmish Line^Tactics
qstr_faction_technologies_photo_s|faction technologies photo skirmishline
qstr_Light_Machine^Guns|Light Machine^Guns
qstr_faction_technologies_photo_l|faction technologies photo lmgs
qstr_Early_Magazine^Rifle|Early Magazine^Rifles
qstr_faction_technologies_photo_ri|faction technologies photo riflesboltaction
qstr_Breech_loaded^Cannon|Breech-loaded^Cannons
qstr_faction_technologies_photo_ca|faction technologies photo cannonsbreechloading
qstr_faction_technologies_photo_m|faction technologies photo machineguns
qstr_Improved_Percussion^M|Improved Percussion^Mechanisms
qstr_faction_technologies_photo_la|faction technologies photo lateshells
qstr_faction_technologies_photo_sh|faction technologies photo shocktroops
qstr_Modern_Defence^Tacti|Modern Defence^Tactics
qstr_faction_technologies_photo_mo|faction technologies photo moderndefence
qstr___already_funded_| (already funded)
qstr___already_researched| (already researched)
qstr__Current_progress___| Current progress - {reg2}%.
qstr_Cost___{reg0}_${s1}.|Cost - {reg0} ${s1}.^Available after {reg1} year.{s2}
qstr_Select_Faction|Select Faction
qstr_Start_Game|Start Game
qstr_Chosen_Faction:^{s1}|Chosen Faction:^{s1}
qstr_Select_flag_for_your|Select flag for your faction
qstr_Peace_negotiations_w|Peace negotiations with {s1}
qstr_Stop_Negotiations|Stop Negotiations
qstr_Make_Peace|Make Peace
qstr_Opposite_side_diplom|Opposite side diplomats^cannot agree with terms
qstr_Current_winner:_{s1}|Current winner: {s1}
qstr_War_reparations_amou|War reparations amount: {reg11} pounds
qstr_Infamy_penalty:_{reg|Infamy penalty: {reg12}
qstr_Cannot_claim_{s31}__|Cannot claim {s31} - it doesn't have supply routes to your faction.
qstr_Diplomats_from_{s32}|Diplomats from {s32} refuse to give {s31} to the {s33}.
qstr_{s1}|{s1}
qstr_Executive_Branch_Com|Executive Branch Composition 
qstr_Not_a_ruling_party.^|Not a ruling party.^Click to make this party^ a ruling party.
qstr_Upper_Class___Aristo|Upper Class - Aristocracy
qstr_Upper_Class___Bourge|Upper Class - Bourgeoisie
qstr_Middle_Class|Middle Class
qstr_Lower_Class___Urban|Lower Class - Urban
qstr_Lower_Class___Rural|Lower Class - Rural
qstr_Loyalty_to_parties:|Loyalty to parties:
qstr_Wealth:_{reg1}%|Wealth: {reg1}%
qstr_Satisfaction_with_ne|Satisfaction with needs: {reg2}%
qstr_Political_activity:_|Political activity: {reg3}%
qstr_State_Laws:|State Laws:
qstr_Nomination_Rules|Nomination Rules
qstr_Upper_Class_Only|Upper Class Only
qstr_Universal|Universal
qstr_Vote_Franchise|Vote Franchise
qstr_Aristocracy_Only|Aristocracy Only
qstr_Upper_and_Middle_Cla|Upper and Middle Class Only
qstr_Universal_Weighted|Universal Weighted
qstr_Voting_System|Voting System
qstr_Ruling_Party_Influen|Ruling Party Influence
qstr_Non_secret_Ballot|Non-secret Ballot
qstr_Secret_Ballot|Secret Ballot
qstr_Press_Censorship|Press Censorship
qstr_State_Press|State Press
qstr_Heavy_Censorship|Heavy Censorship
qstr_Light_Censorship|Light Censorship
qstr_Free_Press|Free Press
qstr_Executive_Branch_Ele|Executive Branch Elective Posts
qstr_Selected_by_State|Selected by State
qstr_Partially_Elected|Partially Elected
qstr_Mostly_Elected|Mostly Elected
qstr_Maximum_Work_Hours|Maximum Work Hours
qstr_Unlimited|Unlimited
qstr_12_hours_a_day|12 hours a day
qstr_10_hours_a_day|10 hours a day
qstr_8_hours_a_day|8 hours a day
qstr_Minimum_Wage|Minimum Wage
qstr_No_Minimum|No Minimum
qstr_Low_Minimum|Low Minimum
qstr_Acceptable_Minimum|Acceptable Minimum
qstr_Good_Minimum|Good Minimum
qstr_Trade_Unions|Trade Unions
qstr_Banned|Banned
qstr_Allowed|Allowed
qstr_Public_Meetings|Public Meetings
qstr_Authorized_only|Authorized only
qstr_Child_labour|Child labour
qstr_Restrictions|Restrictions
qstr_Outlawed|Outlawed
qstr_Political_movements|Political movements
qstr_Liberal_movement|Liberal movement
qstr_Socialist_movement|Socialist movement
qstr_Peace_movement|Peace movement
qstr_You_cannot_change_ru|You cannot change ruling party ({reg1} days cooldown).
qstr_Income_tax:_{reg10}%|Income tax: {reg10}%
qstr_Goods_and_Services_t|Goods and Services tax: {reg10}%
qstr_Import/Export_tax:_{|Import/Export tax: {reg11}%/{reg12}%
qstr_Military_Expenses:_{|Military Expenses: {reg10}%
qstr_Education_Expenses:_|Education Expenses: {reg10}%
qstr_Infrastructure_Expen|Infrastructure Expenses: {reg10}%
qstr_Healthcare_Expenses:|Healthcare Expenses: {reg10}%
qstr_Slot:_not_selected|Slot: not selected
qstr_Party:_not_selected|Party: not selected
qstr_Party:_{reg1}___{s1}|Party: {reg1} - {s1}
qstr_{reg1}|{reg1}
qstr_N_A|N A
qstr_Slot:_{reg1}|Slot: {reg1}
qstr_JUST_MONIKA_JUST_MON|JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^
qstr_monika1|monika1
qstr_00|00
qstr_{reg1}.{s2}{reg2}_mi|{reg1}.{s2}{reg2} millions of population
qstr_Literacy_is_{reg1}.{|Literacy is {reg1}.{reg2}%
qstr_Urbanization_is_{reg|Urbanization is {reg1}.{reg2}%
qstr_Daily_GDP_is_{reg1}_|Daily GDP is {reg1} pounds.
qstr_{reg1}_craftsmen_{re|{reg1} craftsmen, {reg2} of which are employed^in mass production, and {reg3} are^occupied in handicraft production.
qstr_Region_of_{s1}|Region of {s1}
qstr_Resource_Menu|Resource Menu
qstr_X_thousands_of_popul|X thousands of population
qstr_Literacy_is_X%|Literacy is X%
qstr_Urbanization_is_X%|Urbanization is X%
qstr__+| +
qstr_Balance_change:{s1}{|Balance change:{s1}{reg10} pounds.
qstr_BUY|BUY
qstr_SELL|SELL
qstr_Balance_change:_+0_$|Balance change: +0 $.
qstr_Manage_share__Now_is|Manage share (Now is {reg10})%.
qstr_Not_enough_money.|Not enough money.
qstr_Price_history_chart:|Price history chart:
qstr_Country|Country
qstr_Supply|Supply
qstr_Demand|Demand
qstr_Number_of^Factories|Number of^Factories
qstr_Quality|Quality
qstr_GDP|GDP
qstr_Population|Population
qstr_Literacy|Literacy
qstr_Urbanization|Urbanization
qstr_Select_factory_to_bu|Select factory to build:
qstr_Your_current_balance|Your current balance is {reg10} pounds.
qstr_Initial_Capital:_500|Initial Capital: 50000 pounds.
qstr_*Rest_of_initial_bud|*Rest of initial budget will be found via investitions.^Speed of funding depends on region and country.
qstr_Start_Enterprise|Start Enterprise
qstr_pes_region_factoryca|pes region factorycard2
qstr_{s3}|{s3}
qstr_{s2}|{s2}
qstr_Same_type_of_factory|Same type of factory does already exist in this town.
qstr_Initial_Capital:_{re|Initial Capital: {reg10} pounds.
qstr_Army_of_{s1}|Army of {s1}
qstr_Army_size:_{reg1}%|Army size: {reg1}%
qstr__{reg2}.{reg3}%_to_q|-{reg2}.{reg3}% to quality of life
qstr_Divisions|Divisions
qstr_{reg1}_soldiers|{reg1} soldiers
qstr_Garrisons|Garrisons
qstr_soldiers_total|soldiers total
qstr_Equipped_with_milita|Equipped with military supplies by
qstr_{reg1}%|{reg1}%
qstr_Supplied_with_ammuni|Supplied with ammunition by
qstr_Equipped_with_weapon|Equipped with weapons by
qstr_Combat_efficiency_of|Combat efficiency of army is
qstr_vSeason|vSeason
qstr_{s1}_of_{s3}_was_def|{s1} del {s3} fue derrotado en batalla, pero ha escapado.
qstr_{s54}_is_a_claimant_|{s54} es uno de los pretendientes al trono del {s56}.
qstr_nowhere|ningún sitio
qstr_{s57}_and_{s58}|{s57} y {s58}
qstr_{reg3?She:He}|{reg3?Ella:Él}
qstr_The_town_of_{s50}|La ciudad de {s50}
qstr_The_village_of_{s50}|La aldea de {s50}, cercana a {s52}
qstr_{s51}_belongs_to_{s1|{s51} pertenece al {s1} del {s2}.^
qstr_{s7}_and_{s8}|{s7} y {s8}
qstr_{s2}It_has_no_villag|{s2}No tiene aldeas.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Sus aldeas son:Su aldea es} {s8}.^
qstr_{s63}_is_connected_t|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network. Region of this center has access to a seaport.
qstr_{s63}_is_connected_to|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network.
qstr_{s2}Its_prosperity_i|{s2}Su prosperidad es: {s50}
qstr_noone|nadie
qstr_{s9}_and_{s10}|{s9} y {s10}
qstr_{s21}^*_The_{s5}_is_|{s21}^* The {s5} is in alliance with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has|{s21}^* The {s5} has friendly diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_|{s21}^* The {s5} has warm diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_i|{s21}^* The {s5} has indifferent diplomatic relationship with {s14} ({reg11}).
qstr_{s5}_has_been_defeat|¡{s5} ha sido derrotado!
qstr_{s7}_opened_the_gate|{s7} ha abierto la puerta
qstr_{s7}_closed_the_gate|{s7} ha cerrado la puerta
qstr_Has_second_barrel__p|Has second barrel (press action^key while aiming to fire a buckshot)
qstr_Uses_pistol_cartridg|Uses pistol cartridges
qstr_Smoothbore_musket|Smoothbore musket
qstr_Rifled_musket|Rifled musket
qstr_Converted_breech_load|Converted breech loaded rifle
qstr_Modern_breech_loaded|Modern breech loaded rifle
qstr_Smoothbore_pistol|Smoothbore pistol
qstr_Revolver__7_rounds_|Revolver (7 rounds)
qstr_Revolver__8_rounds_|Revolver (8 rounds)
qstr_Revolver__6_rounds_|Revolver (6 rounds)
qstr_Pocket_Revolver__6_r|Pocket Revolver (6 rounds)
qstr_Self_Loading_Pistol_|Self-Loading Pistol (7 rounds)
qstr_Self_Loading_Pistol__|Self-Loading Pistol (6 rounds)
qstr_Self_Loading_Pistol__1|Self-Loading Pistol (10 rounds)
qstr_Self_Loading_Pistol__8|Self-Loading Pistol (8 rounds)
qstr_Revolver__9_rounds_|Revolver (9 rounds)
qstr_Pump_shotgun__6_roun|Pump shotgun (6 rounds)
qstr_Shotgun__2_rounds_|Shotgun (2 rounds)
qstr_Lever_action_shotgun|Lever action shotgun (6 rounds)
qstr_Lever_action_shotgun_|Lever action shotgun (1 round)
qstr_Bolt_action_magazine|Bolt-action magazine rifle (5 rounds)
qstr_Straight_pull_bolt_a|Straight-pull bolt-action^magazine rifle (5 rounds)
qstr_Bolt_action_magazine_|Bolt-action magazine rifle (4 rounds)
qstr_Bolt_action_magazine_r|Bolt-action magazine rifle (8 rounds)
qstr_Bolt_action_magazine_ri|Bolt-action magazine rifle (10 rounds)
qstr_Pocket_Pistol__6_rou|Pocket Pistol (6 rounds)
qstr_Pocket_Pistol__4_rou|Pocket Pistol (4 rounds)
qstr_Breech_loaded_rifle|Breech loaded rifle
qstr_Lever_action_magazin|Lever action magazine rifle (8 rounds)
qstr_Lever_action_magazine|Lever action magazine rifle (5 rounds)
qstr_Lever_action_magazine_|Lever action magazine rifle (9 rounds)
qstr_Lever_action_magazine_r|Lever action magazine rifle (16 rounds)
qstr_Lever_action_magazine_ri|Lever action magazine rifle (7 rounds)
qstr_+{reg1}_to_party_mor|+{reg1} a la moral del grupo
qstr_Requires_{reg1}_inte|Requiere {reg1} puntos de inteligencia para ser leído
qstr_Reading_Progress:_{r|Progreso de la lectura: {reg1}%
qstr_wound_treament|tratamiento de heridas
qstr_trainer|instructor
qstr_surgery|cirugía
qstr_+1_to_{s1}_while_in_|+1 a {s1} mientras se encuentra en el inventario
qstr_Move_here|Mover aquí
qstr_View_notes|Ver notas
qstr_Accompany|Acompañar
qstr_killed|muerto
qstr_wounded|herido
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Ningun
qstr_nothing|nada
qstr_{reg0}_village{reg1?|{reg0} aldea{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castillo{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castillo{reg1?s:} y {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} ciudad{reg1?es:}
qstr_{reg0}_town{reg1?s:}_|{reg0} ciudad{reg1?es:} y {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} ciudad{reg1?es:}, {s0}
qstr_Your_opponents_are_r|Vuestros oponentes están listos para luchar.
qstr_Try_to_destroy_as_ma|Intentad destruir cuantos objetivos podáis. Tenéis dos minutos y medio para despejar el camino.
qstr_Stay_behind_the_line|Quedaos detrás de la línea y disparad a las dianas. Intentad no desperdiciar disparos.
qstr_Battle_Advantage_=_{|Ventaja en batalla = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} quiere que volváis a seguir a su ejército hasta que os notifique lo contrario.
qstr__Being_Raided_|(Siendo asaltado)
qstr__Looted_|(Saqueado)
qstr__Under_Siege_|(Bajo asedio)
qstr_The_village_of_{s1}_|La aldea de {s1} ha sido saqueada por el {s2}.
qstr_{s3}_is_no_longer_un|{s3} ya no se encuentra bajo asedio.
qstr_Small_bands_of_enemi|Se han avistado pequeñas bandas de enemigos cerca de {s1}.
qstr_Enemy_patrols_spotte|Se han avistado patrullas enemigas cerca de {s1}.
qstr_Medium_sized_group_o|Se ha avistado un grupo mediano de enemigos cerca de {s1}.
qstr_Significant_group_of|Se ha avistado un grupo significativo de enemigos cerca de {s1}.
qstr_Army_of_enemies_spot|Se ha avistado un ejército de enemigos cerca de {s1}.
qstr_Large_army_of_enemie|Se ha avistado un gran ejército de enemigos cerca de {s1}.
qstr_Great_host_of_enemie|Se ha avistado un gran contingente de enemigos cerca de {s1}.
qstr_{s1}_has_been_besieg|{s1} ha sido asediado por el {s2} del {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} es el nuevo mariscal de {s2}.
qstr_You_gained_{reg12}_r|Vuestro renombre ha crecido en {reg12} puntos.
qstr_You_lose_{reg12}_ren|Vuestro renombre ha sido mancillado en {reg12} puntos.
qstr_Your_relation_with_{|Vuestra relación con {s1} ha mejorado.
qstr_Your_relation_with_{s|Vuestra relación con {s1} se ha deteriorado.
qstr_You_gain_honour.|Ganáis honor.
qstr_You_lose_honour.|Perdéis honor.
qstr_{s1}_has_declared_wa|{s1} ha declarado la guerra a {s2}.
qstr_{s1}_has_declared_war|{s1} has declared war against {s2} in support of {s31}.
qstr_{s1}_and_{s2}_have_m|{s1} y {s2} han firmado un tratado de paz.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?estaba:está actualmente} en {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?estaba:está} viajando hacia {s3} y {reg3?estaba:debería estar} cerca de {s4}.
