ui_music_volume|Volumen de música:
ui_all| todos
ui_joining_cost_weekly_wage|Coste de unirse: %d, salario semanal: %d
ui_weekly_wage|Salario semanal: %d denares
ui_price|Precio: %d
ui_number_ready_to_upgrade|%d listo para ser mejorado.
ui_upgrade_to_value| Mejorar a %s
ui_notification_no_slot_for_upgrade|¡No hay espacio para mejorar %s!
ui_shield_broken|Escudo roto.
ui_shield_cracked|Escudo rajado.
ui_shield_deformed|Escudo abollado.
ui_you_hit_a_friendly_troop|¡Habéis herido a una tropa amiga!
ui_hit_shield_on_back|¡El escudo evita golpe en la espalda!
ui_delivered_couched_lance_damage|¡Daño de lanza en ristre!
ui_received_couched_lance_damage|¡Daño de lanza en ristre recibido!
ui_speed_bonus_plus|Bonificación a la velocidad: +%d%%
ui_speed_bonus|Bonificación a la velocidad: %d%%
ui_cant_reload_this_weapon_on_horseback|No podéis recargar esta arma a caballo.
ui_no_more_bolts|No quedan más virotes...
ui_you_are_not_carrying_any_bolts|No lleváis ningún virote encima.
ui_no_more_arrows|No quedan más flechas...
ui_you_are_not_carrying_any_arrows|No lleváis ninguna flecha encima.
ui_head_shot|¡Tiro en la cabeza!
ui_delivered_number_damage|Hacéis %d puntos de daño.
ui_delivered_number_damage_to_horse|Hacéis %d puntos de daño al caballo.
ui_horse_charged_for_number_damage|El caballo ha hecho %d puntos de daño.
ui_received_number_damage|Recibís %d puntos de daño.
ui_horse_received_number_damage|El caballo recibe %d puntos de daño.
ui_value_killed_teammate|¡%s ha matado a un miembro del equipo!
ui_horse_fell_dead|El caballo ha caído muerto...
ui_horse_crippled|Caballo lisiado...
ui_shot_difficulty|Dificultad del tiro: %2.1f
ui_you_have_improved_your_proficiency_in_value_to_number|Habéis mejorado vuestra competencia en %s a %d puntos.
ui_your_proficiency_in_value_has_improved_by_number_to_number|Vuestra competencia en %s ha mejorado en un +%d sobre %d puntos.
ui_value_killed_by_value|%s ha sido asesinado por %s.
ui_value_fell_dead|%s ha caído muerto.
ui_value_knocked_unconscious_by_value|%s ha sido noqueado por %s.
ui_value_fell_unconscious|%s está inconsciente.
ui_troop_routed|%s ha sido derrotado.
ui_troop_panicked|%s sufre pánico.
ui_troop_fled|%s ha huido de la batalla.
ui_you_got_number_experience|Ganáis %d puntos de experiencia.
ui_you_have_advanced_to_level_number|Habéis subido a nivel %d.
ui_value_has_advanced_to_level_number|%s ha subido a nivel %d.
ui_you_got_value|Ganáis %s.
ui_new_quest_taken|Nueva misión: %s.
ui_quest_completed_value|Misión completada: %s.
ui_quest_succeeded_value|Misión terminada de forma exitosa: %s.
ui_quest_failed_value|Misión fracasada: %s.
ui_quest_concluded_value|Misión concluida: %s.
ui_quest_cancelled_value|Misión cancelada: %s.
ui_lost_value| (Perdido: %s)
ui_items_lost| (Objetos perdidos:
ui_party_has_nothing_to_eat|¡El grupo no tiene comida!
ui_days_training_is_complete|Ha terminado el entrenamiento por hoy...
ui_total_experience_gained_through_training_number|Experiencia total adquirida mediante entrenamiento: %d
ui_some_soldiers_are_ready_to_upgrade|Algunos soldados están listos para mejorar.
ui_number_of_companions_exceeds_leadership_limit| El número de compañeros supera el límite de la habilidad de liderar.
ui_number_of_prisoners_exceeds_prisoner_management_limit| El número de prisioneros supera el límite de manejar prisioneros.
ui_party_morale_is_low| ¡La moral del grupo es baja!
ui_and_one_space| y
ui_has_deserted_the_party| ha desertado del grupo.
ui_have_deserted_the_party| han desertado del grupo.
ui_weekly_report|Informe semanal
ui_shared_number_experience_within_party|Habéis compartido %d puntos de experiencia con el grupo.
ui_got_item_value|Objeto conseguido: %s.
ui_game_saved_successfully|Partida guardada con éxito.
ui_autosaving|Autoguardado...
ui_quick_saving|Guardado rápido...
ui_cant_quick_save|No se puede guardar rápido durante la batalla...
ui_screenshot_taken_to_value|Captura de pantalla guardada en %s
ui_screenshot_failed|No se puede guardar la captura de pantalla.
ui_value_joined_your_party|%s se ha unido a vuestro grupo.
ui_value_joined_party_as_prisoner|%s se ha unido al grupo como prisionero.
ui_value_has_joined_party|%s se ha unido al grupo.
ui_value_has_been_taken_prisoner|%s ha tomado un prisionero.
ui_value_left_the_party|%s ha abandonado el grupo.
ui_number_values_left_the_party|%d %s(s) han abandonado el grupo.
ui_number_value_left_the_party|%d %s ha abandonado el grupo.
ui_your_relations_with_value_has_improved_from_number_to_number|Vuestra relación con %s han mejorado de %d a %d.
ui_your_relations_with_value_has_deteriorated_from_number_to_number|Vuestra relación con %s se han deteriorado de %d a %d.
ui_you_lost_value|Habéis perdido %s.
ui_lost_item_value|Objeto perdido: %s.
ui_got_number_value|Conseguisteis %d %s.
ui_lost_number_value|Perdisteis %d %s.
ui_set_default_keys|Teclas predeterminadas
ui_undo_changes|Deshacer
ui_press_a_key|Pulsar una tecla
ui_return_to_game|Regresar al juego
ui_options|Opciones
ui_save_and_exit|Guardar y salir
ui_save|Guardar
ui_save_as|Guardar como
ui_quit_without_saving|Salir sin guardar
ui_empty_slot|Espacio libre
ui_game_saved|Partida guardada...
ui_confirm_overwrite|La partida guardada %s será sobrescrita. ¿Seguro?
ui_dynamic_lighting|Iluminación dinámica
ui_character_shadows|Sombras de personajes
ui_grass_density|Densidad del follaje:
ui_environment_shadows|Sombras ambientales
ui_realistic_shadows_on_plants|Sombras realistas en las plantas:
ui_particle_systems|Sistemas de partículas
ui_gamma|Gamma del monitor:
ui_character_detail|Detalle del personaje:
ui_character_shadow_detail|Detalle de la sombra del personaje:
ui_blood_stains|Manchas de sangre:
ui_on|Sí
ui_off|No
ui_near_player_only|Sólo cerca del jugador
ui_default|Por defecto
ui_3d_grass|Follaje 3D:
ui_number_of_ragdolls|Número de muñecos de trapo:
ui_number_of_corpses|Número de cadáveres:
ui_unlimited|Ilimitado
ui_anisotropic_filtering|Filtrado anisotrópico
ui_fast_water_reflection|Reflejos rápidos del agua
ui_maximum_framerate|FPS máx:
ui_show_framerate|Mostrar FPS:
ui_estimated_performance|Rendimiento estimado: %d%%
ui_change_graphics_settings_explanation|Algunos de los cambios que habéis hecho surtirán efecto cuando entréis en una nueva área.
ui_start_tutorial|Jugar tutorial
ui_start_a_new_game|Comenzar partida nueva
ui_restore_a_saved_game|Cargar partida guardada
ui_exit_to_windows|Salir
ui_credits|Créditos
ui_version_value|Vrs: %s
ui_active_quests|Misiones activas
ui_finished_quests|Misiones finalizadas
ui_given_on_date|Acontecido en: %s
ui_days_since_given|Días desde acontecimiento: %d
ui_quest_progression_number|Progreso de la misión: %d%%
ui_too_many_quests|Demasiadas misiones
ui_ok|OK
ui_move_forward|Avanzar
ui_move_backward|Retroceder
ui_move_left|Ir hacia la izquierda
ui_move_right|Ir hacia la derecha
ui_action|Acción
ui_jump|Saltar
ui_attack|Atacar
ui_parry_then_attack|Contraataque
ui_defend|Defender
ui_kick|Patada
ui_equip_weapon_1|Equipar objeto 1
ui_equip_weapon_2|Equipar objeto 2
ui_equip_weapon_3|Equipar objeto 3
ui_equip_weapon_4|Equipar objeto 4
ui_equip_next_weapon|Equipar siguiente arma
ui_equip_next_shield|Equipar siguiente escudo
ui_sheath_weapon|Envainar arma
ui_character_window|Ventana de personaje
ui_inventory_window|Ventana de inventario
ui_party_window|Ventana de grupo
ui_quests_window|Ventana de misiones
ui_game_log_window|Ventana de logs
ui_leave_location_retreat|Abandonar lugar/Retirarse
ui_zoom|Zoom
ui_view_outfit|Liberar cámara
ui_toggle_first_person_view|Cambiar vista a primera persona
ui_view_orders|Ver órdenes
ui_quick_save|Guardado rápido
ui_no_key_assigned|No hay tecla asignada
ui_new_enemies_have_arrived|Han llegado nuevos enemigos.
ui_reinforcements_have_arrived|Han llegado los refuerzos.
ui_report_casualties|Informe de bajas
ui_report_experience|Informe de experiencia
ui_current_level_value|Nivel actual: %d
ui_base_attribute_value|Atributo base: %s
ui_battle_controls|Controles de batalla
ui_map_controls|Controles del mapa
ui_general_controls|Controles generales
ui_zoom_in|Acercar cámara
ui_zoom_out|Alejar cámara
ui_wait|Esperar
ui_take_screenshot|Capturar pantalla
ui_randomize|Al azar
ui_hint|Pista
ui_press_left_mouse_button_to_continue|Presionar botón izquierdo para continuar...
ui_loot|Recompensa
ui_chest|Arcón
ui_cut_short|c
ui_pierce_short|p
ui_blunt_short|b
ui_battle|Batalla
ui_siege|Asedio
ui_troops|Tropas:
ui_loading_module_info_file|Cargando archivo de información del módulo...
ui_processing_ini_file|Procesando archivo INI...
ui_loading_music|Cargando música...
ui_loading_data|Cargando datos...
ui_loading_setting_data|Cargando datos del entorno...
ui_loading_textures|Cargando texturas...
ui_finished|Finalizado.
ui_creating_game|Creando partida...
ui_loading_savegame_file|Cargando partida guardada...
ui_loading_map_file|Cargando mapa...
ui_initializing_map|Iniciando mapa...
ui_launching_game|Comenzando el juego...
ui_capital_battle|BATALLA:
ui_capital_versus|--CONTRA--
ui_tracks|Caminos
ui_battleground|Campo de batalla
ui_order_1|Seleccionar Orden 1
ui_order_2|Seleccionar Orden 2
ui_order_3|Seleccionar Orden 3
ui_order_4|Seleccionar Orden 4
ui_order_5|Seleccionar Orden 5
ui_order_6|Seleccionar Orden 6
ui_order_button_hold_this_position|Mantened esta posición
ui_order_button_follow_me|Seguidme
ui_order_button_charge|Cargad
ui_order_button_stand_ground|No retrocedáis
ui_order_button_retreat|Retirada
ui_order_button_advance|Avanzad diez pasos
ui_order_button_fall_back|Retroceded diez pasos
ui_order_button_spread_out|Separaos más
ui_order_button_stand_closer|Juntaos más
ui_order_button_mount_horses|Montad los caballos
ui_order_button_dismount|Desmontad
ui_order_button_hold_fire|Alto el fuego
ui_order_button_fire_at_will|Fuego a discreción
ui_order_button_use_blunt_weapons|Usad solo armas contundentes
ui_order_button_use_any_weapon|Usad cualquier arma
ui_order_button_movement_orders|Órdenes de movimiento
ui_order_button_formation_orders|Órdenes de formación
ui_order_button_fire_orders|Órdenes de fuego
ui_follow_me_e_|¡%s, seguidme!
ui_charge_e_|¡¡¡%s, cargad!!!
ui_stand_ground_e_|¡%s, mantened posición!
ui_retreat_e_|¡%s, emprended la retirada!
ui_mount_horses_e_|¡%s, montad los caballos!
ui_dismount_e_|¡%s, desmontad!
ui_advance_e_|¡%s, avanzad diez pasos!
ui_fall_back_e_|¡%s, retroceded diez pasos!
ui_stand_closer_e_|¡%s, juntaos más!
ui_spread_out_e_|¡%s, separaos más!
ui_use_blunt_weapons_e_|¡%s, usad solo armas contundentes!
ui_use_any_weapon_e_|¡%s, usad cualquier arma!
ui_hold_fire_e_|¡%s, alto el fuego!
ui_fire_at_will_e_|¡%s, reanudad el fuego!
ui_hold_this_position_e_|¡%s, mantened esta posición!
ui_infantry|Infantería
ui_archers|Arqueros
ui_cavalry|Caballería
ui_companions|Compañeros
ui_everyone_hear_me|¡Todos, escuchadme!
ui_everyone|Todos
ui_everyone_around_me|Soldados cercanos
ui_str_hear_me|¡%s, escuchadme!
ui_str_and_str|%s y %s
ui_str_comma_str|%s, %s
ui_need_to_learn_prisoner_management|Necesitáis aprender la habilidad de manejar prisioneros antes de poder apresarlos.
ui_game_log|Log del juego
ui_recent_messages|Mensajes
ui_custom_battle|Escaramuza
ui_player|Jugador
ui_value_denars|%d denares
ui_back|Atrás
ui_forward|Adelante
ui_display_on_map|Mostrar en mapa
ui_info_pages|Conceptos
ui_troops2|Personajes
ui_locations|Lugares
ui_click_button_to_view_note|Clic en el enlace para ver las notas
ui_this_page_contains_no_information|Esta página no contiene información
ui_other_pages_that_link_here|Otras páginas que enlazan aquí: 
ui_report_is_value_days_old| (El informe tiene %d días)
ui_report_is_current| (Informe reciente)
ui_button_party_member_healthy_total|%s (%d/%d)
ui_button_party_member_total|%s (%d)
ui_button_party_member_hero_percentage_wounded|%s (%d%% - Herido)
ui_button_party_member_hero_percentage|%s (%d%%)
ui_percentage_value|%d%%
ui_full|Completa
ui_quick|Rápidas
ui_none|Ninguna
ui_change|Cambiar
ui_how_to_change|¿Cómo cambiar esto?
ui_change_directx_explanation|Puedes cambiar el método de renderización entre DirectX 7 y DirectX 9 pulsando sobre el botón Configurar en el menú principal al comenzar el juego.
ui_dropping_picking_up|Dejando %s; recogiendo %s.
ui_picking_up|Recogiendo: %s.
ui_dropping|Descargando %s.
ui_unable_to_take|Imposible llevarlo.
ui_age|Edad
ui_cannot_be_used_on_horseback|Imposible usar a caballo
ui_enable_vertex_shaders2|Método de renderización:
ui_screen_size2|Resolución:
ui_use_desktop_resolution2|Resolución del escritorio
ui_shadow_quality2|Calidad de las sombras:
ui_m_low2|Baja
ui_m_high2|Alta
ui_m_ultra_high2|Ultra alta
ui_off2|No
ui_group_header|Clase de tropa
ui_group_rename|Renombrar grupo
ui_group_1|Infantería
ui_group_2|Arqueros
ui_group_3|Caballería
ui_group_4|Sin nombre 1
ui_group_5|Sin nombre 2
ui_group_6|Sin nombre 3
ui_group_7|Sin nombre 4
ui_group_8|Sin nombre 5
ui_group_9|Sin nombre 6
ui_group_rename|Renombrar grupo
ui_group_close|Cerrar
ui_party_b_group_information|%s pertenece al grupo de %s 
ui_thrown_or_s|De lanzar/%s
ui_ranged_damage|A distancia: %d%s
ui_overall_quality|Calidad general:
ui_shader_quality|Calidad del shader:
ui_flora_lod_detail|Detalle de árboles:
ui_flora_degrade_distance|Distancia de degradado de árboles:
ui_antialiasing|AntiAliasing:
ui_use_depth_effects|Usar efectos de profundidad
ui_hdr_mode|Modo HDR:
ui_autoexpore|Auto-exposición
ui_choose_profile|Elegir perfil
ui_create|Crear
ui_edit|Editar
ui_join_game|Unirse a una partida
ui_host_game|Crear una partida
ui_custom|Estándar
ui_medium|Medio
ui_male|Hombre
ui_female|Mujer
ui_gender|Elegir género:
