ui_texture_detail|Detalle de textura:
ui_module_newer_than_application|Lo seleccionado NO FUNCIONA con esta versión del juego. Se recomienda que no lo utilices. Para remediar esto, puedes comprobar si hay una nueva versión.
ui_module_older_than_application|Lo seleccionado fue creado para una versión antigua del juego y puede no funcionar en esta versión. Puedes intentar utilizarlo, pero tal vez tengas problemas. Para remediar esto, puedes comprobar si hay una nueva versión.
ui_m_low|Bajo
ui_m_high|Alto
ui_m_ultra_high|Ultra alto
ui_force_single_threading|Forzar Single Threading
ui_not_enough_memory|Parece que tienes %d MB de espacio en tu memoria virtual. Mount&Blade Warband requiere al menos 700 MB de memoria para poder funcionar sin problema. Si Mount&Blade salta al escritorio continuamente mientras juegas, por favor, cierra algunos otros programas antes de comenzar a jugar Mount&Blade Warband o incrementa tu memoria virtual en Panel de Control -> Menú sistema.
ui_install|Instalar Mount&Blade Warband
DirectXText|Mount&Blade Warband requiere DirectX 9.0c o superior para funcionar. Este ordenador no cumple dicho requerimiento. Para solucionar el problema debes descargar e instalar la última versión de DirectX desde la web de Microsoft. ¿Quieres visitar la web de descarga de DirectX ahora?
NoMountAndBladeText|Mount&Blade Warband no ha sido instalado en este ordenador. Por favor, descarga el instalador completo desde www.taleworlds.com y utilízalo para instalar el juego.
ui_SavegamesText|¿Quieres conservar tus partidas guardadas?
ui_trialmode_online|Mount&Blade Warband está ejecutándose en modo de prueba. En este modo, puedes jugar libremente hasta que tu personaje llegue a nivel 6. Para continuar, por favor, compra una licencia y activa el juego. Si ya has comprado una licencia, por favor, introduce el código de activación ahora. Si no, puedes comprarla en Friendshop.es. Te llevará solamente un minuto comprarla online y desbloquear el modo completo.
ui_launch_activate|Introduce la clave de activación
ui_trialmode2_online|Al comprar una licencia, obtendrás un número de serie.\nPara desbloquear el modo completo...
ui_trialmode3_online|O si aún no quieres comprar el juego, puedes...
ui_trialmode4_online|El proceso de ventas online es totalmente seguro. Respetamos el derecho a la seguridad, la privacidad, el tener copias de seguridad del juego y modificar el hardware de los ordenadores de nuestros clientes. Si quieres leer más sobre nuestra política de ventas, por favor, mira aquí:
ui_ondemand_textures|Cargar Texturas sobre demanda
ui_language|Idioma:
ui_steam_not_running|Steam no se inicializó correctamente. Steam debe estar online.
ui_switch_to_turkish_explanation|¿Le gustaría traducir el lenguaje del juego al turco?
ui_switch_to_turkish_yes|Sí
ui_switch_to_turkish_no|No
ui_new_version_message|Hay disponible una nueva versión del juego. ¿Deseas visitar la página de descarga?
ui_enable_version_check|Activar comprobación de versión
ui_disable|Desactivar
ui_yes2|Sí
ui_no2|No
ui_new_version_message2|Hay disponible una nueva versión del juego. Por favor visita el portal online donde compraste el juego para descargarla.

