ui_texture_detail|Texturareszletesseg:
ui_faq_text|K: Mi az az aktiválás?\r\nV: Az aktiválási rendszer egy felhasználóbarát másolásvédelmi megoldás, amely egy egyedi termékazonosítón alapul. Minden számítógépen egyszer kell csak aktiválnod a játékodat. Ha aktiváltad, semmi mást nem kell tenned, csak a meghajtóba helyezned a megfelelõ lemezt. Amíg megtartod a termékazonosítódat, akár éveken keresztül is zavartalanul játszhatsz ezzel a játékkal.\r\n\r\nK: Hol találom a termékazonosítómat?\r\nV: Minden doboz tartalmaz egy egyedi termékazonosítót. A különbözõ terjesztõk máshol helyezhetik el ezt az azonosítót, de legvalószínûbb, hogy a nyomtatott kézikönyv hátulján találod. Ha online vásároltad meg a teljes játékot, akkor az online eladó lát el a termékazonosítóval.\r\n\r\nK: Hogy mûködik az aktivációs folyamat?\r\nV: A játék készít egy leírást a számítógéped specifikációjáról, és azt elküldi a termékazonosítóddal együtt az aktivációs szervernek. Ez a szerver regisztrálja a számítógépedet, majd visszaküld egy aktivációs számot, amely engedélyezi a teljes játékot a gépeden.\r\n\r\nK: Aktiválhatom a játékot több számítógépen?\r\nV: Igen, de ne feledd, hogy a játék licence csak a te személyes használatodra vonatkozik. Az aktivációs szerver ideiglenesen visszautasíthat egy termékazonosítót, ha rövid idõ alatt túl sok gépre akarod feltelepíteni.\r\n\r\nK: A program nem válaszol, amint megnyomom az aktiváció gombját.\r\nV: Néha több mint fél percbe kerül az aktivációs folyamat végrehajtása. Légy türelmes, a játék jelenteni fogja az eredményt.\r\n\r\nK: A számítógépem nem csatlakozik internethez. Hogyan tudom aktiválni a játékot?\r\nV: Ebben az esetben a kézi aktiválást kell választanod. Csak kattints a termékazonosító megadása gombra, majd válaszd a 'Kézi aktiválás' gombot. Azonban ekkor is meg kell nyitnod a kézi aktiválás honlapját egy másik számítógéprõl, amely rendelkezik internet-eléréssel.\r\n
ui_auto_adjust|Automatikus beállítás
ui_screen_size|Képernyõ felbontása:
ui_antialiasing|Elsimitas:
ui_use_desktop_resolution|Az Asztal felbontásának átvétele
ui_play|A Mount&&Blade Warband indítása
ui_check_for_new_version|Új verzió keresése
ui_configure|Beállítások
ui_configure_caption|Beállítások
ui_mountandblade_website|Mount & Blade Warband honlap
ui_current_setting|           Beállított modul:
ui_manual_activation_text1|1.) Nyisd meg a böngészõdben a következõ honlapot: 
ui_manual_activation_text2|2.) A megjelenõ honlapon gépeld be a termékazonosítódat... 
ui_manual_activation_text3|3.) És a számítógéped hardverazonosítóját...
ui_manual_activation_text4|4.) Az oldal ekkor ad egy aktivációs kódot. Gépeld be, vagy másold be alulra, majd nyomd meg a Rendben-t.
ui_activation_code|Aktivációs kód:
ui_force_vsync|Vertikális szinkronizáció használata
ui_module_newer_than_application|Az általad választott modul valószínûleg nem mûködik a játék jelenleg telepített verziójával, ezért nem javasolt a beállítás jóváhagyása. A kompatibilitás megteremtése érdekében megnézheted, elérhetõ-e a játék újabb verziója.
ui_module_older_than_application|A választott modul a játék egy korábbi verziójához készült, így elképzelhetõ, hogy nem mûködik a jelenlegi verzióval. Ettõl függetlenül megpróbálhatod használni, de ez jó eséllyel nehézségekbe fog ütközni. Ennek elkerülése érdekében nézd meg, elérhetõ-e a modul újabb verziója.
ui_m_low|Al.
ui_m_high|Magas
ui_m_ultra_high|Nagyon magas
ui_force_single_threading|Egyszálú hozzáférés használata
ui_not_enough_memory|Úgy tûnik, jelenleg mindösszesen %d MB szabad fizikai és virtuális memória van a gépedben. A Mount&&Blade Warband problémamentes futtatásához legalább 700 MB szabad memória szükséges. Ha a Mount&&Blade Warband futtatása közben folyamatos fagyásokat tapasztalsz, próbálj meg futtatás elõtt annyi futó programot bezárni, amennyit csak lehetséges, vagy növeld meg a virtuális memória méretét a Vezérlõpult -> Rendszer menüpontban.
ui_install|Mount&Blade Warband telepítése
DirectXText|A Mount&Blade Warband futtatásához DirectX 9.0c vagy újabb verzió szükséges. Ez a számítógép nem teljesíti ezt a követelményt. Ahhoz, hogy megoldd ezt a problémát, le kell töltened és telepítened kell a DirectX legújabb verzióját a Microsoft's honlapjáról. Szeretnéd most meglátogatni a TaleWorlds DirectX letöltõ oldalát?
NoMountAndBladeText|A Mount&Blade Warband nem lett feltelepítve erre a számítógépre. Kérjük, töltsd le a teljes telepítõt a www.taleworlds.com honlapról, és telepítsd fel a játékot.
ui_SavegamesText|Szeretnéd megtartani a mentett állásaidat?
ui_trialmode_online|A Mount&&Blade Warband jelenleg próbamódban mûködik. Ebben a módban szabadon játszhatod a játékot egészen 7-es szintig. Ahhoz, hogy tovább folytathasd, meg kell venned a teljes verziót a Taleworlds.com-ról. Csak egy percet vesz igénybe megvenni a licencet online, és feloldani a teljes verziót.
ui_launch_activate|Termékazonosító megadása
ui_trialmode2_online|A licenc megvétele után megkapod a termékazonosítódat.\nA teljes verzió feloldásához menj ide:
ui_trialmode3_online|Vagy, ha nem szeretnéd megvenni a teljes verziót, akkor teheted ezt is:
ui_trialmode4_online|Az online eladási folyamatunk teljesen biztonságos. Teljes mértékben tiszteletben tartjuk a vásárlók személyes adatait, és elismerjük jogait a biztonsághoz és egyebekhez. Sõt, megértjük a hardver/szoftverfejlesztésbõl adódó újratelepítéseket is. Ha szeretnél többet tudni az eladási elveinkrõl, látogass el ide:
ui_ondemand_textures|Textúrák kívánság szerinti betöltése
ui_language|Nyelv:
ui_steam_not_running|A Steam nem indult el megfelelõen. A játékhoz szükséges a Steam futtatása.
ui_switch_to_turkish_explanation|Szeretnéd a játék nyelvét törökre állítani?
ui_switch_to_turkish_yes|Igen
ui_switch_to_turkish_no|Nem
ui_new_version_message|Elérhetõ a játék újabb verziója. Szeretnéd meglátogatni a frissítés oldalát?
ui_enable_version_check|Verzió-ellenõrzés bekapcsolása
ui_disable|Kikapcsolás
ui_yes2|Igen
ui_no2|Nem
ui_new_version_message2|A játék egy újabb verziója elérhetõ. Kérjük, látogass el az online oldalunkra, hogy letölthesd az új verziót!
