dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_start:fighter_parry_try_again|Хорошо. У тебя получается отражать мою атаку. Возможно, тебе захочется повторить упражнение, но делать все быстрее. Повторить?
dlga_start:fighter_parry_try_again.1|Ну что, не очень-то получается? (Помните - для постановки блока нужно нажимать и удерживать правую кнопку мыши.) Повторить?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Да, давай попробуем еще раз.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Нет. Мне кажется, пока хватит.
dlga_start:fighter_parry_warn|Эй, дружище! Мы занимаемся защитой! Тебе нужно блокировать мои атаки, а не нападать на меня.
dlga_fighter_parry_warn:fighter_talk_train_parry|Извини. Давай начнем заново.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Извини. Мне нужно прервать занятие.
dlga_fighter_talk_leave_parry:close_window|Ладно, как скажешь.
dlga_start:fighter_combat_try_again|Ну что, не очень-то получается? Не переживай и постарайся не допускать таких ошибок в будущем. Хочешь повторить?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Да, давай попробуем еще раз.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Нет. Мне кажется, пока хватит.
dlga_fighter_talk_leave_combat:close_window|Ну тогда ладно. Скажи, когда передумаешь.
dlga_start:fighter_combat_try_again.1|Хорошая была тренировка! Тебе удалось победить меня, но в следующий раз я буду осторожнее. Хочешь повторить?
dlga_start:fighter_talk.2|Отлично! Теперь ты можешь начинать удар с любой стороны. Если хочешь, можно еще раз поработать над тем же самым, или займемся чем-нибудь другим.
dlga_start:archer_challenge_2|Неплохо. Совсем неплохо!!! Похоже, тебе удалось усвоить основы стрельбы из лука. А теперь попробуй повторить то же самое с арбалетом. Возьми вон тот арбалет с болтами и порази эти три мишени. По сравнению с луком, из арбалета стрелять легче, но после каждого выстрела его приходится перезаряжать.
dlga_start:archer_challenge_2.1|Хорошо. Из арбалета тебе стрелять тоже не трудно. Теперь нужно научиться обращаться с метательным оружием. Возьми вон те дротики и постарайся попасть в эти три мишени.
dlga_start:ranged_end|Ну что ж, теперь ты владеешь основами обращения со всеми тремя типами оружия дальнего действия. Остальное придет с практикой. Тренируйся каждый день, и место среди лучших стрелков Кальрадии тебе обеспечено.
dlga_ranged_end:close_window|А теперь ты можешь поговорить с учителями ближнего боя или верховой езды, если еще не удалось этого сделать. Они тоже могут многому научить.
dlga_start:archer_talk|День добрый, дружище. Я обучаю искусству дальнего боя всякого, кто желает учиться. Если тебе нужен наставник, скажи мне, и я научу тебя обращаться с луком, арбалетом и дротиком.
dlga_archer_talk:archer_challenge|Да, покажи мне, как обращаться с оружием дальнего действия.
dlga_archer_talk:close_window|Нет, не сейчас.
dlga_archer_challenge:archer_challenge_2|Прекрасно. Сначала я дам тебе урок стрельбы из лука. Лук - это сложное оружие, но овладев им, ты сможешь стрелять быстро и метко. Возьми вон тот лук со стрелами и порази эти мишени.
dlga_archer_challenge_2:close_window|Хорошо, будет сделано.
dlga_archer_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_start:horseman_melee_challenge_2|Надеюсь, тебе понравилась поездка. А теперь перейдем к заданию потруднее. Возьми вон то копье и проскачи, поразив по пути каждую мишень хотя бы раз.
dlga_start:horseman_melee_challenge_2.1|Неплохо! Тебе удалось поразить все цели верхом, а это нелегкая задача для начинающих. Теперь тебе нужно поразить мишени вдоль дороги, стреляя из лука. Если поразишь все мишени, можешь считать, что задание выполнено успешно.
dlga_start:horsemanship_end|Великолепно! Тебе удалось поразить все цели верхом. Продолжай тренироваться каждый день, и вскоре ты достигнешь высот мастерства.
dlga_horsemanship_end:close_window|А теперь ты можешь поговорить с тренерами ближнего боя или с тренером стрельбы, если еще не удалось это сделать. Перед настоящей битвой тебе нужно научиться всему.
dlga_start:horseman_talk|Добрый день! Я приехал сюда поупражняться в верховой езде, но мои старые кости разболелись не на шутку, так что, пожалуй, я сегодня отдохну. Если хочешь попрактиковаться, возьми мою лошадку. Для нее это будет неплохой разминкой.
dlga_horseman_talk:horseman_challenge|Да, мне хотелось бы потренироваться в верховой езде.
dlga_horseman_talk:close_window|Хмм. Может, позже.
dlga_horseman_challenge:horseman_melee_challenge_2|Хорошо. Теперь я покажу тебе несколько упражнений, которые научат тебя пользоваться оружием из седла. Первое задание совсем простое: проедься по кругу в любом темпе. Когда освоишься в седле, возвращайся, и я скажу, что делать дальше.
dlga_horseman_melee_challenge_2:close_window|Хорошо, будет сделано.
dlga_horseman_melee_challenge_2:close_window.1|Минутку. Мне нужно сначала сделать кое-что еще.
dlga_tutorial_troop_default:close_window|Эй, я тут делом занимаюсь! Если тебе нужны советы по оружию дальнего боя, иди, поговори с тренером-стрелком.
dlga_start:lord_prison_break_confirm_3|Планы изменились?
dlga_start:lord_prison_break|Что происходит?
dlga_start:drunk_response|На что это ты пялишься?
dlga_start:drunk_response.1|Вы смотрите на меня?
dlga_player_duel_response:close_window|Теперь тут грязно...
dlga_player_duel_response:close_window.1|Лучше он, чем я.
dlga_drunk_response:drunk_fight_start|Знать бы... Вроде, на грязное животное.
dlga_drunk_response:drunk_fight_start.1|Простите великодушно. Приношу свои извинения.
dlga_drunk_fight_start:close_window|Я сотру эту ухмылку с твоей наглой рожи!
dlga_drunk_response:drunk_player_high_renown|Ты хоть представляешь, кто я?!
dlga_drunk_player_high_renown:drunk_fight_start|Что ж, если ищешь драки, то будет тебе драка!
dlga_drunk_player_high_renown:drunk_player_high_renown|Эммм... Вообще-то... Да, я узнаю вас, {сир/мадам}. Прошу, примите мои извинения - это все выпивка виновата. Я уже ухожу...
dlga_drunk_player_high_renown:drunk_fight_start.1|Если Вы хотите драки - Вы получите ее!
dlga_drunk_player_high_renown:close_window|Мне так и показалось. Убирайся отсюда немедленно!
dlga_start:fistfight_response|Похоже, в случае чего, вы сможете отоварить врага по первое число. А коли так, есть у меня к вам один разговор.
dlga_fistfight_response:fistfight_response_2|Какой же?
dlga_fistfight_response_2:fistfight_response_2a|Хорошо, что вам это интересно. Дело такое... Оно слегка запутанное, так что слушайте внимательно.
dlga_fistfight_response_2a:fistfight_response_3|Я предлагаю вам подраться - один на один, вы против соперника. Бой на кулаках и без брони, ясное дело. Я буду принимать на вас ставки, а выручку поделю пополам с победителем. Если проиграем, я возьму на себя убытки. Сами видите: вы ничего кроме здоровья не потеряете.
dlga_fistfight_response_3:fistfight_response_4|Только сделать все чинно-благородно, как на обустроенных ристалищах, не выйдет. Люди не станут делать ставки загодя, а будут стекаться на шум и только потом расставаться с деньгами. Да и ни к чему лишние премудрости: подвыпившая публика их не поймет.
dlga_fistfight_response_4:fistfight_response_4a|Как видите, главная выгода в том, что можно тянуть из зевак денежки всю дорогу, пока не кончится бой. Особенно хорошо, если кажется, будто кто проигрывает - тогда ставят против него. А потом хоп, и бьют уже другого бойца. Лучший способ получить денежки - это позволить хорошенько выбить из себя пыль и только потом как следует отдубасить соперника. Понятное дело, что как бы ни прошла схватка, в конце надо победить.
dlga_fistfight_response_4a:fistfight_response_5|Запомните и вот что: нельзя затягивать бой слишком надолго. Не ровен час, люди заподозрят подлог. Так что не забывайте мутузить друг друга. Помните - зрителям нужна кровь!
dlga_fistfight_response_5:fistfight_response_5a|Да, вот еще что: ваш противник не особо любит изыски, а потому хитрить не станет и по-простому попробует вам навалять. Так что сделать бой красивым придется вам.
dlga_fistfight_response_5a:fistfight_response_confirm|Ну, что вы на это скажете?
dlga_fistfight_response_confirm:close_window.1|У меня есть дела и поважнее.
dlga_start:ramun_introduce_1|Доброго дня, {молодой человек/красавица}.
dlga_ramun_introduce_1:ramun_introduce_2|Прошу простить, вы похожи на торговца, но я не вижу при вас товаров.
dlga_ramun_introduce_1:close_window|Неважно.
dlga_ramun_introduce_2:ramun_introduce_3|Торговец? О, конечно, конечно же, я занимаюсь торговлей. Правда, мои товары немного отличаются от большинства других. Их приходится кормить и поить дважды в день, а еще они пытаются сбежать, когда от них отвернешься.
dlga_ramun_introduce_3:ramun_introduce_4|Скот?
dlga_ramun_introduce_4:ramun_introduce_5|Почти что. Мой товар движет всякое судно в океане. Суда идут на веслах, но весла сами собой не гребут...
dlga_ramun_introduce_5:ramun_introduce_6|Галерные рабы!
dlga_ramun_introduce_6:ramun_introduce_7|Именно! Торговый порт вроде этого просто не выжил бы без них. Суда теряют несколько пар рук в каждом плавании, поэтому рабы всегда нарасхват. Капитаны приходят ко мне, и платят они хорошо.
dlga_ramun_introduce_7:ramun_introduce_8|Откуда все эти рабы берутся?
dlga_ramun_introduce_8:ramun_introduce_9|Обычно я выкупаю у властей приговоренных преступников. Остальные - пленные со всех концов света. Их приводят ко мне, потому что я плачу лучше всех. Иногда я покупаю товар у каперов и других... частных лиц. При такой работе особо привередничать не приходится. У вас с собой случайно пленников нет?
dlga_ramun_introduce_9:ramun_introduce_10|У меня?
dlga_ramun_introduce_10:ramun_introduce_11|Ну да. Если вы хотя бы изредка высовываете нос из города, рано или поздно вам придется скрестить с кем-нибудь клинки. Бог даст - вы выйдете победителем. Почему бы этим не воспользоваться? Возьмите вашего противника живым и приведите ко мне. Я плачу по 50 динар за каждого пленного, и мне все равно, кто они и откуда.
dlga_ramun_introduce_11:ramun_introduce_12|Хмм. Я подумаю над вашим предложением.
dlga_ramun_introduce_12:close_window|Подумайте хорошенько! На этом можно заработать кучу денег, дело верное. В накладе вы не останетесь.
dlga_start:ramun_talk|Приветствую, {playername}.
dlga_ramun_pre_talk:ramun_talk|Что-нибудь еще?
dlga_ramun_talk:ramun_sell_prisoners|У меня есть то, что может вас заинтересовать. Хотите взглянуть?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Посмотрим, посмотрим...
dlga_ramun_sell_prisoners_2:close_window|С вами приятно иметь дело.
dlga_ramun_talk:ramun_ask_about_capturing|Как мне захватить пленника?
dlga_ramun_talk:ramun_ask_about_capturing.1|Расскажите мне еще раз о захвате пленных.
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Вы в этом деле новичок, да? Давайте я вам объясню все по-простому. Самое главное при захвате пленника не наносить удар острым клинком, а сбить противника с ног тупым оружием, вроде палицы или дубинки. Тогда он на некоторое время впадет в бесчувствие, но не изойдет кровью насмерть, понимаете? Полагаю, у вас есть такое оружие...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Конечно.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|В том-то и дело, что нет.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Отлично. Так вот, все, что вам нужно сделать - это врезать мерзавцу так, чтобы он упал, а когда бой будет окончен, заковать его в кандалы. С дворянами-то все проще: они обычно достаточно хорошо защищены, так что неважно, каким видом оружия вы воспользуетесь. А вот из обычного головореза, если проткнуть его чем-то острым, кровь хлынет, как из заколотого поросенка. Я не требую чего-то особенного, но я настаиваю, чтобы они хотя бы дышали, когда я их покупаю.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Нет? Ну, что же, вам сегодня исключительно повезло. У меня завалялась старая дубинка, которую я собирался выкинуть. Она немного потрепанная, но ею вполне еще можно врезать кому-нибудь до потери сознания. Вот, держите.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Спасибо, Рамун. Надо опробовать ее в деле.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Ладно, давайте я вам еще раз объясню все по-простому. Самое главное при захвате пленника не наносить удар острым клинком, а сбить противника с ног тупым оружием, вроде палицы или дубинки. Тогда он на некоторое время впадет в бесчувствие, но не изойдет кровью насмерть, понимаете? С дворянами-то все проще, они обычно достаточно хорошо защищены, так что неважно, каким видом оружия вы воспользуетесь. А из обычного головореза, если проткнуть его чем-то острым, кровь хлынет как из заколотого поросенка.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Вроде бы все понятно. Что еще мне нужно знать?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Ну, все не так просто. Дробящее оружие наносит не такие сильные повреждения, как клинковое, поэтому свалить врага будет несколько сложнее. И уж можете мне поверить, этим негодяям только дай шанс, и они убьют вас не раздумывая. Так что, выходя на противника с дубинкой, не церемоньтесь. Должен сказать, что пленники замедляют передвижение отряда, поэтому кое-кто просто освобождает их по окончании боя. Безумие. Как можно вот так запросто отказаться от кучи денег?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Это все?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Нет, еще кое-что. Управляться с пленниками непросто, тут нужно настоящее умение. Если собираетесь захватывать помногу пленных, придется потрудиться и самостоятельно овладеть необходимыми навыками, иначе вы и одного-то не удержите.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Спасибо, буду иметь в виду.
dlga_ramun_talk:ramun_leave|Я, пожалуй, пойду.
dlga_ramun_leave:close_window|Помните: любых ваших пленников приводите ко мне. За каждого я заплачу вам хорошие деньги.
dlga_start:close_window.3|Я смиренно прошу Вашу светлость держать свои руки, чтобы я могла их видеть.
dlga_start:manhunter_talk_b|Эй, вы! Не видали тут поблизости бандитов?
dlga_manhunter_talk_b:manhunter_talk_b1|Они прошли вон в ту сторону примерно час назад.
dlga_manhunter_talk_b1:close_window|Чудно! Теперь мы захватим этих негодяев! Спасибо вам.
dlga_manhunter_talk_b:manhunter_talk_b2|Нет, откуда им тут быть.
dlga_manhunter_talk_b2:close_window|Зараза. Попрятались как крысы в норы! Ну ничего, рано или поздно мы их оттуда выкурим.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Я тебя не боюсь. Сражайся, если смелости хватит!
dlga_looters_2:close_window.1|На тебя, тварь, мне стали не жалко.
dlga_start:village_farmer_talk|{Милорд/Миледи}, да мы ведь всего бедные крестьяне из деревни {s11}. {reg1?Товары вот везем на базар в {s12}.:В {s12} базарный день - так вот мы и возвращаемся оттуда в деревню свою.}
dlga_village_farmer_talk:farmer_bandit_information|Я выслеживаю шайку бандитов. Особые приметы такие... Может, видели?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Посмотрим, насколько вы бедны! Отдавайте все, что есть.
dlga_village_farmer_talk:close_window.1|Что ж, продолжайте свой путь. Прощайте.
dlga_start:minister_issues|Я в Вашем распоряжении, {сир/миледи}.
dlga_start:close_window.4|Для меня было честью служить вам, {сир/миледи}
dlga_start:member_castellan_talk|Да, {playername}? Чем я могу вам помочь?
dlga_member_castellan_pretalk:member_castellan_talk|Что-нибудь еще?
dlga_member_castellan_talk:member_review_castle_garrison|Мне нужны сведения о гарнизоне замка.
dlga_member_review_castle_garrison:member_castellan_pretalk|Конечно, вот списки. Дайте знать, если решите что-то изменить.
dlga_member_castellan_talk:member_review_castellan_equipment|Позвольте мне посмотреть ваше снаряжение.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Пожалуйста, все здесь...
dlga_member_castellan_talk:member_castellan_join|Предлагаю вам оставить замок и присоединиться к моему отряду.
dlga_member_castellan_join:close_window|Это место мне очень дорого... Но если таково ваше желание, {playername}, я пойду с вами.
dlga_member_castellan_join:member_castellan_pretalk|А где мы будем ночевать? Вы ведете с собой целую армию, {playername}, для всех не хватит места.
dlga_member_castellan_talk:close_window|[Уйти]
dlga_member_chat:kidnapped_girl_chat_1|А мы уже дома?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Еще нет.
dlga_kidnapped_girl_chat_2:close_window|Скорее бы мы вернулись. Я хочу к маме с папой.
dlga_member_chat:member_lady_1|{playername}, когда мы доберемся до места, как думаете?
dlga_member_lady_1:member_lady_2a|Еще ехать и ехать...
dlga_member_lady_1:member_lady_2b|Скоро, потерпите еще немного.
dlga_member_lady_2a:close_window|Вот бы мы ехали подольше! Путешествовать на свежем воздухе куда приятнее, чем сидеть в замке. А знаете, я вам завидую: вся ваша жизнь проходит в пути.
dlga_member_lady_2b:close_window|Хорошо. Не подумайте, что мне с вами плохо, но я привыкла к совсем другой жизни. И все-таки жаль с вами расставаться. Обещайте, что непременно заедете ко мне в гости!
dlga_member_chat:supported_pretender_talk|Привет тебе, {playername}. Ты первый и вернейший из моих вассалов, и мне нужен твой совет.
dlga_supported_pretender_pretalk:supported_pretender_talk|Что-нибудь еще?
dlga_supported_pretender_talk:pretender_progress|Ну, как вы оцениваете наши успехи?
dlga_pretender_progress:pretender_progress_2|{reg11?Мы имеем на своей стороне {reg11} лордов:С нами пока ни одного лорда}, а {reg21?{s9} все еще поддерживают {reg21} лордов:{s9} не имеет лояльных лордов}. {reg19?У нас под контролем {reg13?{reg13} городов:} {reg14?{reg14} замков:} {reg15?и {reg15} деревень:}:Мы не контролируем ни одного поселения}, а {reg29?они контролируют {reg23?{reg23} городов:} {reg24?{reg24} замков:} {reg25?и {reg25} деревень:}:у них не осталось поселений}. В целом, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Тогда нам следует продолжить бой и объединить наших союзников!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Похоже, ничего хорошего из этого бунта не выйдет. Надо сдаваться.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, вы не можете подвести меня в такой момент. Вы что, серьезно?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Совершенно серьезно. Я больше не могу оказывать вам поддержку.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Нет, это была шутка. Я буду сражаться на вашей стороне до победы.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Вы уверены? Я никогда не прощу вам, если вы бросите меня в таком положении.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Это не обсуждается.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|О боже, я должна подумать.
dlga_pretender_quit_rebel:close_window|Да будет так. Теперь для меня все потеряно. Мне придется навсегда покинуть Кальрадию. После моего отъезда, возможно, {s4} заключит с Вами мир.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Миледи:Милорд}, позвольте, я проверю ваше снаряжение?
dlga_supported_pretender_equip:supported_pretender_pretalk|Пожалуйста, все здесь...
dlga_supported_pretender_talk:pretneder_view_char_requested|Расскажите мне, пожалуйста, о ваших навыках.
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Да, конечно.
dlga_supported_pretender_talk:supported_pretender_grant_fief|Я считаю, что Вам надо решить, кто будет владеть феодом, который сейчас без хозяина.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Какой феод Вы имеете в виду?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|И кто должен получить это?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Неважно.
dlga_supported_pretender_talk:close_window|Идемте дальше, {reg65?миледи:милорд}.
dlga_do_member_trade:member_talk|Что-нибудь еще?
dlga_member_pretalk:member_talk|Что-нибудь еще?
dlga_member_chat:member_talk|Да, {s5}?
dlga_member_talk:member_direct_campaign|Как маршал, я желаю, чтобы вы отправили послание всем вассалам государства.
dlga_member_talk:member_trade|Позвольте мне посмотреть ваше снаряжение.
dlga_member_trade:do_member_trade|Пожалуйста, все здесь...
dlga_member_talk:view_member_char_requested|Что вы мне можете рассказать о ваших навыках?
dlga_view_member_char_requested:do_member_view_char|О... Сейчас все расскажу...
dlga_member_talk:member_separate|Нам придется ненадолго разделиться.
dlga_member_separate:member_separate_confirm|Правда? Я не собираюсь слоняться без дела, дожидаясь вас. Мне придется поездить по городам и поискать работу. Вы этого хотите?
dlga_member_separate:companion_quitting|Ну, вообще мне хотелось бы вам кое-что сказать...
dlga_member_separate_confirm:member_separate_yes|Да. Нам нужно разделиться.
dlga_member_separate_confirm:do_member_trade|Нет, мне не хотелось бы вас терять.
dlga_member_separate_yes:close_window|Ладно. Тогда я поеду. Надо будет - сами меня найдете.
dlga_member_talk:member_question|Я хочу спросить у вас кое-что.
dlga_member_talk:close_window|Неважно.
dlga_member_question:member_question_2|Конечно. О чем вы хотели спросить?
dlga_member_question_2:member_morale|Как вам обстановка в отряде? Что скажете?
dlga_member_question_2:member_background_recap|Расскажите мне еще раз о себе.
dlga_member_question_2:member_kingsupport_1|Полагаю, вы знаете, что я намереваюсь стать {королем/королевой} этих земель?
dlga_member_question_2:member_intelgathering_1|У вас есть какие-нибудь полезные связи?
dlga_member_question_2:member_fief_grant_1|Вы бы хотели получить феод?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Ну а потом вы приняли меня к себе.
dlga_do_member_view_char:member_talk|Что-нибудь еще?
dlga_member_kingsupport_1:do_member_trade|Ммм... Да, доводилось слышать.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Ну так что, вы поддержите меня?
dlga_member_kingsupport_1a:do_member_trade|Прекрасно, я это учту.
dlga_member_kingsupport_2:do_member_trade|Пожалуй, {s21}. Более того, у меня есть идея, как вам помочь взойти на престол. Но {s22} уже выполняет для вас похожее задание, так что лучше подождем - зачем раньше срока привлекать к себе внимание?
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Хорошо, так и сделаем.
dlga_member_kingsupport_3a:do_member_trade|Пожалуй... Побудьте пока при мне.
dlga_member_kingsupport_4:close_window|Тогда, {s21}, я с вами пока прощаюсь.
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Разумеется, чем меньше людей будет об этом знать, тем лучше. Если захотите что-то спросить или сказать, не присылайте гонца. Приходите сами, даже если для этого придется пробраться в город тайком.
dlga_member_intelgathering_3:member_intelgathering_4|Неплохая мысль, так и поступим.
dlga_member_intelgathering_3:do_member_trade|Думаю, пока не стоит.
dlga_member_intelgathering_4:close_window|Хорошо. Я обернусь дней за пять. До скорой встречи, {s21}.
dlga_merchant_quest_4_start:close_window|Пора, ребятки! В бой!
dlga_start:relative_saved_1a|Спасибо, спасибо вам, {сир/миледи}, что спасли меня от этих злодеев! Это мой брат в {s9} навел вас на их след?
dlga_relative_saved_1a:close_window|Да, он попросил меня найти вас. Думаю, вам следует как можно быстрее вернуться к семье. И будьте осторожнее в дороге.
dlga_start:bandit_leader_1a|А-а! Пощадите! Отпустите меня, и я уйду далеко-далеко из этих мест, займусь честным ремеслом, и вы больше никогда, клянусь, никогда обо мне не услышите!
dlga_bandit_leader_1a:bandit_leader_1b|Хорошо, я сохраню тебе жизнь, но в обмен на информацию. Ты или твои дружки похитили брата знатного городского купца. Расскажи, где вы его держите, и дай мне слово, что перестанешь беспокоить честный народ в этих краях. И убирайся.
dlga_start:looter_leader_1|Что вам нужно?
dlga_looter_leader_1:looter_leader_2|Тебя-то я и ищу. Скажи, где вы держите пленных, и я отпущу тебя.
dlga_looter_leader_1:close_window|Ничего. Мы оставим вас в покое.
dlga_looter_leader_2:looter_leader_3|Ха! Пленники уйдут, только если ты за них заплатишь. У тебя золото есть?
dlga_looter_leader_3:close_window|Нет. Зато стали предостаточно.
dlga_bandit_leader_1b:close_window|Благослови вас бог, {сир/миледи}! Мы пареньку ничего не делали, мы его держим в нашем логове, рядом с {s9}. Я расскажу вам, что где - не ошибетесь...
dlga_start:rescue_prisoner_succeed_2|{playername}, Вы спасли его! Благодаря вам мой {s11} теперь свободен. Пожалуйста, Возьмите это, как малую толику моей благодарности.
dlga_rescue_prisoner_succeed_2:lord_pretalk|Для меня честь служить Вам, {s65}.
dlga_start_up_quest_1_next:close_window|Вы как, в порядке? В любом случае, вы живы, в отличие от того паренька. Ну что же, одним вором будет меньше, впрочем, его племя никогда не переведется... Ну да ладно. Мне кажется, вы могли бы мне помочь в одном дельце. Давайте поговорим внутри - мне бы не хотелось, чтобы нас подслушали.
