str_no_string|НЕТ СТРОК!
str_sneaking_to_town_impossible|Стража поднята на ноги. Вы не сможете проскользнуть мимо, как бы вы ни таились.
str_battle_won|Вы выиграли бой!
str_battle_lost|Вы проиграли бой!
str_attack_walls_success|В кровавом бою ваши доблестные солдаты отогнали врага от стен.
str_attack_walls_failure|Ваши солдаты гибнут один за другим, бросаясь на стены. Немногие выжившие после штурма беспорядочно отступают.
str_attack_walls_continue|В этой кровавой битве обе стороны сражаются с равной силой. Несмотря на все усилия ваших войск, замок остается у врага.
str_order_attack_success|Ваши люди храбро сражались и победили врага.
str_order_attack_failure|Вы в отчаянии смотрите, как враг вырезает ваших людей и оттесняет горстку выживших.
str_order_attack_continue|Хотя стычка переросла в довольно крупное сражение, вашим войскам не удалось одержать победу.
str_join_order_attack_success|Ваши люди сражались бок о бок с союзниками и, победив врага, разделили с ними славу.
str_join_order_attack_failure|Вы в отчаянии смотрите, как враг вырезает ваших людей и оттесняет горстку выживших.
str_join_order_attack_continue|Несмотря на крупную стычку, ни вашим, ни союзным войскам не удалось одержать победу.
str_siege_defender_order_attack_success|Гарнизон храбро и умело удерживает стены, отбивает атаку врага и превращает свое поражение в полноценную победу.
str_siege_defender_order_attack_failure|Нападение быстро переходит в кровавую бойню. Отважный отпор не дает результатов: гарнизон слишком мал, чтобы удержать стены, и все защитники вскоре погибают от мечей врага.
str_siege_defender_order_attack_continue|Очередная попытка захватить поселение так ни к чему и не приводит, но врагов слишком много, чтобы защитники могли праздновать победу. Осада продолжается.
str_hero_taken_prisoner|{s1} ({s3}) попадает в плен к {s2}.
str_hero_freed|{s2} освобождает из плена {s1} ({s3}).
str_center_captured|{s2} захватывает {s1} у {s3}.
str_troop_relation_increased|{s1} улучшает свое мнение о Вас с {reg1} до {reg2}.
str_troop_relation_detoriated|{s1} ухудшает свое мнение о Вас с {reg1} до {reg2}.
str_faction_relation_increased|{s1} улучшает свое мнение о Вас с {reg1} до {reg2}.
str_faction_relation_detoriated|{s1} ухудшает свое мнение о Вас с {reg1} до {reg2}.
str_party_gained_morale|Ваш отряд получает {reg1} единиц морали.
str_party_lost_morale|Ваш отряд теряет {reg1} единиц морали.
str_other_party_gained_morale|{s1} получает {reg1} единиц морали.
str_other_party_lost_morale|{s1} теряет {reg1} единиц морали.
str_qst_follow_spy_noticed_you|Шпион заметил вас! Он убегает!
str_father|отец
str_husband|муж
str_wife|жена
str_daughter|дочь
str_mother|мать
str_son|сын
str_brother|брат
str_sister|сестра
str_he|он
str_she|она
str_s3s_s2|{s3} {s2}
str_s5_is_s51|{s5} - {s51}.
str_s5_is_the_ruler_of_s51|{s5} правитель в {s51}.
str_s5_is_a_nobleman_of_s6|{s5} - дворянин из {s6}.
str_relation_mnus_100|Мстительные
str_relation_mnus_90|Мстительные
str_relation_mnus_80|Мстительные
str_relation_mnus_70|Ненавистные
str_relation_mnus_60|Ненавистные
str_relation_mnus_50|Враждебные
str_relation_mnus_40|Сердитые
str_relation_mnus_30|Возмущенные
str_relation_mnus_20|Неприветливые
str_relation_mnus_10|Подозрительные
str_relation_plus_0|Безразличные
str_relation_plus_10|Отзывчивые
str_relation_plus_20|Гостеприимные
str_relation_plus_30|Благосклонные
str_relation_plus_40|Поддерживающие
str_relation_plus_50|Дружелюбные
str_relation_plus_60|Любезные
str_relation_plus_70|Теплые
str_relation_plus_80|Верные
str_relation_plus_90|Преданные
str_relation_mnus_100_ns|{s60} хочет вам отомстить.
str_relation_mnus_90_ns|{s60} хочет вам отомстить.
str_relation_mnus_80_ns|{s60} хочет вам отомстить.
str_relation_mnus_70_ns|{s60} ненавидит вас.
str_relation_mnus_60_ns|{s60} ненавидит вас.
str_relation_mnus_50_ns|{s60} ненавидит вас.
str_relation_mnus_40_ns|{s60} злится на вас.
str_relation_mnus_30_ns|{s60} возмущается вашим поведением.
str_relation_mnus_20_ns|{s60} относится к вам неприветливо.
str_relation_mnus_10_ns|{s60} относится к вам подозрительно.
str_relation_plus_0_ns|{s60} относится к вам равнодушно.
str_relation_plus_10_ns|{s60} относится к вам с отзывчивостью.
str_relation_plus_20_ns|{s60} относится к вам гостеприимно.
str_relation_plus_30_ns|{s60} относится к вам благосклонно.
str_relation_plus_40_ns|{s60} оказывает вам поддержку.
str_relation_plus_50_ns|{s60} относится к вам дружелюбно.
str_relation_plus_60_ns|{s60} относится к вам любезно.
str_relation_plus_70_ns|{s60} относится к вам тепло.
str_relation_plus_80_ns|{s60} - ваш надежный союзник.
str_relation_plus_90_ns|{s60} - ваш преданный друг.
str_relation_reg1| Отношение: {reg1}
str_center_relation_mnus_100|Население отчаянно ненавидит вас
str_center_relation_mnus_90|Население очень сильно ненавидит вас
str_center_relation_mnus_80|Население сильно ненавидит вас
str_center_relation_mnus_70|Население ненавидит вас
str_center_relation_mnus_60|Население испытывает к вам ненависть
str_center_relation_mnus_50|Население настроено к вам чрезвычайно враждебно
str_center_relation_mnus_40|Население настроено к вам очень враждебно
str_center_relation_mnus_30|Население настроено к вам враждебно
str_center_relation_mnus_20|Население против вас
str_center_relation_mnus_10|Население противостоит вам
str_center_relation_plus_0|Населению нет до вас дела
str_center_relation_plus_10|Население принимает вас
str_center_relation_plus_20|Население относится к вам с отзывчивостью
str_center_relation_plus_30|Население в чем-то вас поддерживает
str_center_relation_plus_40|Население вас поддерживает
str_center_relation_plus_50|Население поддерживает вас во всем
str_center_relation_plus_60|Население верно вам
str_center_relation_plus_70|Население верно вам во всем
str_center_relation_plus_80|Население преданно вам
str_center_relation_plus_90|Население отчаянно преданно вам
str_town_prosperity_0|Город {s60} нестерпимо беден
str_town_prosperity_10|Нищий город {s60} практически опустел.
str_town_prosperity_20|Город {s60} выглядит пустым и обветшалым.
str_town_prosperity_30|Город {s60} выглядит бедным и заброшенным.
str_town_prosperity_40|Город {s60} с трудом борется за существование.
str_town_prosperity_50|Город {s60} ничем не примечателен.
str_town_prosperity_60|Город {s60} процветает.
str_town_prosperity_70|Город {s60} преуспевающий и активный.
str_town_prosperity_80|Город {s60} выглядит зажиточным и благоустроенным.
str_town_prosperity_90|{s60} - состоятельный, процветающий город.
str_town_prosperity_100|В {s60} жизнь бьет ключом.
str_village_prosperity_0|Деревня {s60} нестерпимо бедна.
str_village_prosperity_10|Нищая деревня {s60} практически опустела.
str_village_prosperity_20|Деревня {s60} выглядит пустой и обветшалой.
str_village_prosperity_30|Деревня {s60} выглядит бедной и заброшенной.
str_village_prosperity_40|Деревня {s60} с трудом борется за существование.
str_village_prosperity_50|Деревня {s60} ничем не примечательна.
str_village_prosperity_60|Деревня {s60} процветает.
str_village_prosperity_70|Деревня {s60} преуспевает.
str_village_prosperity_80|Деревня {s60} выглядит зажиточной и благоустроенной.
str_village_prosperity_90|Деревня {s60} выглядит богатой и процветающей.
str_village_prosperity_100|Деревня {s60}, окруженная обширными плодородными полями, выглядит невероятно богатой.
str_town_alt_prosperity_0|Даже редкие оставшиеся в лавках товары не по карману здешним обитателям. Люди истощены, их животные больны и умирают, инструменты и предметы обихода пришли в негодность. На улицах пусто, слышны лишь жужжание мух, да вой бродячих собак.
str_town_alt_prosperity_20|На рынке ворчат о непомерных ценах на обычные вещи, да и сами лавки полупусты. Люди исхудали, их животные истощены, а здания и предметы обихода разваливаются от ветхости. Многие из местных уже покинули отчий дом в надежде на лучшее будущее.
str_town_alt_prosperity_40|На рынке порой ворчат о высоких ценах на повседневные вещи, но товаров в лавках довольно много. Иногда взгляд натыкается на закрытые магазинчики, заколоченные дома и брошенные телеги, но жизнь идет своим чередом.
str_town_alt_prosperity_60|Здешние люди выглядят сытыми и относительно неплохо одеты. Ремесленники трудятся над новыми изделиями, а в город из окрестных сел в поисках лучшей доли стекается народ.
str_town_alt_prosperity_80|Дома, улицы и даже стены этого города чисты и опрятны. На рыночных площадях полно заезжих покупателей, прибывших сюда в поисках товаров и работы. Несмолкаемый перестук молотков и стрекотание ткацких станков говорят о благополучии горожан.
str_village_alt_prosperity_0|Лишь самые сильные земледельцы еще могут выйти на заросшие бурьяном поля. Остальные селяне больны и голодны. Те, кто еще мог передвигаться, предпочли уйти из этих мест. Тощие животные еле дышат и скоро погибнут от голода или будут съедены хозяевами. У околицы и вдоль дорог солнце выбеливает скелеты павшего скота.
str_village_alt_prosperity_20|На полях у деревни можно увидеть малочисленный скот и редкие фигурки селян. Даже пришлому сразу становится ясно, что большинство местных ушли куда глаза глядят. Плуги и бороны покрыты ржавчиной, а земля родит больше сорняков, чем пшеницы.
str_village_alt_prosperity_40|На полях и в садах в бесконечных заботах трудятся люди. Селяне выглядят сытыми, а их животные - здоровыми. Впрочем, некоторые земельные наделы пустуют, а часть домов покосилась. Видно, в деревне не хватает рук, чтобы сделать всю накопившуюся работу.
str_village_alt_prosperity_60|На полях и в садах деревни полно людей, которые трудятся от рассвета до заката. Амбары ломятся от зерна, а риги - от душистого сена. Земля дает хороший урожай, скот тучен, а жители готовы к завтрашнему дню.
str_village_alt_prosperity_80|На полях и в садах деревни полно людей, земельные угодья тут и там прорезают оросительные каналы. Похоже, у здешних жителей хватает времени и сил на то, чтобы облагораживать свои наделы. Вокруг много наемных работников, что только приумножает богатства этой деревни.
str_oasis_village_alt_prosperity_0|Пальмовые рощи выглядят безлюдными, а оросительные каналы оазиса забиты илом. Вы замечаете лишь жалкую горстку изможденных и не находящих себе места людей. Тягловой скот давно съеден или умер с голоду - остались только белые кости, которые разносят по округе дикие шакалы.
str_oasis_village_alt_prosperity_20|Под сенью пальмовых рощиц бродят редкие люди. Песок пустыни волнами накатывает на захиревшие сады. Многие оросительные каналы забиты илом, а питающие их колодцы и ручейки пересохли.
str_oasis_village_alt_prosperity_40|В пальмовых рощах трудятся мужчины и женщины, сбивая на землю созревшие фрукты. Здоровые животные крутят вороты подъемников воды. Впрочем, часть оросительных каналов и водоемов забита илом или нуждается в починке.
str_oasis_village_alt_prosperity_60|В оазисе много пальм, под сенью которых кипит работа. Местные жители трудятся сообща и веселы не без причины. Отовсюду слышны звуки жизни: скрип деревянных подъемников воды, мычание тягловых животных, журчание бегущей воды. Сразу видно, что орошение здесь поставлено на славу.
str_oasis_village_alt_prosperity_80|В оазисе много пальм, под сенью которых кипит работа. Излишек плодов отправляется на рынок. Мужчины и женщины бок о бок занимаются хозяйством, роют новые каналы и колодцы, отвоевывая у пустыни все новые участки земли.
str_acres_grain|акров посевов
str_acres_orchard|акров садов и виноградников
str_acres_oasis|акров орошаемых садов оазиса
str_looms|станков
str_boats|лодок
str_head_cattle|голов коров
str_head_sheep|голов овец
str_mills|мельниц
str_kilns|печей
str_pans|чанов
str_deposits|залежей
str_hives|ульев
str_breweries|пивоварен
str_presses|давилен
str_smithies|кузниц
str_caravans|наземных караванов
str_traps|ловушек
str_gardens|садиков
str_tanneries|дубильных чанов
str_master_miller|Главный мельник
str_master_brewer|Главный пивовар
str_master_presser|Главный давильщик
str_master_smith|Главный кузнец
str_master_tanner|Главный дубильщик
str_master_weaver|Главный ткач
str_master_dyer|Главный красильщик
str_war_report_minus_4|мы почти проиграли войну
str_war_report_minus_3|положение незавидное
str_war_report_minus_2|наши дела идут не очень хорошо
str_war_report_minus_1|мы можем победить, если соберемся
str_war_report_0|наши и вражеские силы равны
str_war_report_plus_1|у нас есть все шансы выиграть войну
str_war_report_plus_2|дела идут хорошо
str_war_report_plus_3|мы с легкостью победим их
str_war_report_plus_4|мы почти выиграли войну
str_persuasion_summary_very_bad|Вы делаете все возможное, но {s50} не желает вас слушать. Вперемешку с разумными доводами вы приводите неубедительные и чувствуете, что повторяетесь. По окончании беседы вы понимаете, что не добились ровным счетом ничего, но выставили себя на посмешище. Неудивительно, что {s50} не впечатлен.
str_persuasion_summary_bad|Вы проявляете чудеса убеждения, но {s50} гораздо красноречивее. В итоге ваши самые веские доводы перестают казаться убедительными даже вам. {s50}, ясное дело, остается при своем мнении.
str_persuasion_summary_average|{s50} {reg51?искушна:искушен} в спорах и на всякий ваш аргумент находит логичное возражение. В итоге разговор ни к чему вас не приводит.
str_persuasion_summary_good|Вы не лезете за словом в карман и приводите веские аргументы, так что {s50} приходится с вами согласиться. Однако {reg51?у нее:у него} еще остались некоторые сомнения касательно вашей просьбы.
str_persuasion_summary_very_good|Вы произносите пламенную речь, которая музыкой льется в уши слушателей. Кажется, весь мир затих и внимает вам. {s50} {reg51?растрогана:растроган} вашими словами и соглашается вам помочь.
str_secret_sign_1|Шкаф пляшет в ночи...
str_secret_sign_2|Я продаю лучшие хергитские гобелены. Не желаете взглянуть?
str_secret_sign_3|Знакомый моего друга прислал...
str_secret_sign_4|С востока дует сильный ветер, и река становится красной...
str_countersign_1|Он танцует для шкафа или для подсвечника?
str_countersign_2|Да, синий есть?
str_countersign_3|Но, друг мой, у знакомого вашего друга никогда не будет такого друга, как я.
str_countersign_4|Вы заболели?
str_name_1|Альбард
str_name_2|Эскарл
str_name_3|Зигмар
str_name_4|Талеск
str_name_5|Ритманд
str_name_6|Аэлс
str_name_7|Рорке
str_name_8|Брагамус
str_name_9|Таарл
str_name_10|Рамин
str_name_11|Шалк
str_name_12|Путар
str_name_13|Тамус
str_name_14|Рихард
str_name_15|Вальчиз
str_name_16|Рулк
str_name_17|Марлунд
str_name_18|Огарун
str_name_19|Дайнад
str_name_20|Джоайя
str_name_21|Рамар
str_name_22|Кальдаран
str_name_23|Брабас
str_name_24|Кандрин
str_name_25|Печнак
str_surname_1|{s50} из Уксхала
str_surname_2|{s50} из Верчега
str_surname_3|{s50} из Рейвадина
str_surname_4|{s50} из Суно
str_surname_5|{s50} из Джелкалы
str_surname_6|{s50} из Велуки
str_surname_7|{s50} из Хальмара
str_surname_8|{s50} из Курова
str_surname_9|{s50} из Саргота
str_surname_10|{s50} из Тира
str_surname_11|{s50} из Зендара
str_surname_12|{s50} из Ривачега
str_surname_13|{s50} из Верчега
str_surname_14|{s50} из Эхлердаха
str_surname_15|{s50} из Ярагара
str_surname_16|{s50} из Бурглена
str_surname_17|{s50} из Шапешта
str_surname_18|{s50} из Хануна
str_surname_19|{s50} из Сарена
str_surname_20|{s50} из Тосдара
str_surname_21|{s50} Каланча
str_surname_22|{s50} Верзила
str_surname_23|{s50} Шелкобород
str_surname_24|{s50} Ласточка
str_surname_25|{s50} Попрошайка
str_surname_26|{s50} Шрам
str_surname_27|{s50} Сойка
str_surname_28|{s50} Перепелка
str_surname_29|{s50} Лиса
str_surname_30|{s50} Черный
str_surname_31|{s50} Кикоть
str_surname_32|{s50} Звезда
str_surname_33|{s50} Перехрабр
str_surname_34|{s50} Юза
str_surname_35|{s50} Суслик
str_surname_36|{s50} Трус
str_surname_37|{s50} Яробор
str_surname_38|{s50} Шиша
str_surname_39|{s50} Бард
str_surname_40|{s50} Лысый
str_surname_41|{s50} Горячая голова
str_surnames_end|фамилии окончены
str_number_of_troops_killed_reg1|Убито: {reg1}
str_number_of_troops_wounded_reg1|Ранено: {reg1}
str_number_of_own_troops_killed_reg1|Убито дружеских воинов: {reg1}
str_number_of_own_troops_wounded_reg1|Ранено дружеских воинов: {reg1}
str_retreat|Отступаем!
str_siege_continues|Бой продолжается...
str_casualty_display|Ваши потери: {s10}^Потери врага: {s11}{s12}
str_casualty_display_hp|^Вы были ранены и потеряли {reg1} очков здоровья.
str_quest_log_updated|Журнал заданий обновлен.
str_banner_selection_text|Вам выпала честь нести стяг, который будет отражать ваш статус и принесет вам славу. Какой вы выберете?
str_retirement_text_1|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вы вновь отчаянно кидаетесь на поиски приключений. Вы оканчиваете свою жизнь в {s9}, влача нищенское существование и живя за счет подаяний.
str_retirement_text_2|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вам ничего не остается, кроме как стать преступником в темных переулках {s9}, где вы грабите женщин и бедных горожан, отбирая у них жалкие гроши.
str_retirement_text_3|Слишком поздно вы осознаете, что ваших денег не хватит на безбедную старость. Скудные сбережения быстро тают, и вы отправляетесь бродяжничать по тавернам. Сердобольные посетители порой угощают вас выпивкой, чтобы послушать ваши рассказы о войне. Впрочем, вам уже давно никто не верит.
str_retirement_text_4|Ваши сбережения невелики, но их хватает на покупку небольшого участка земли возле деревушки {s7}. Вы становитесь свободным фермером, и скоро на вас обращают внимание потенциальные {невесты/женихи}. Со временем селяне начинают почитать вас как местного героя: вам всегда достается почетное место за праздничным столом, а о ваших приключениях рассказывают в пивных и тавернах. Вся окрестная детвора знает о ваших подвигах.
str_retirement_text_5|Ваши сбережения невелики, но их хватает на покупку маленькой таверны в {s9}. Сначала местные относятся к вам недоверчиво, но постепенно принимают вас. Со временем ваша таверна становится очень популярной, в ней проводится множество праздников. Ради того чтобы поужинать или переночевать в вашем заведении и чтобы послушать рассказы о вашем героическом прошлом, некоторые люди специально приезжают к вам из другого города.
str_retirement_text_6|За время вашей карьеры вы постоянно откладывали деньги, а после сумели распорядиться нажитым богатством с умом. Купив несколько магазинов и складов в {s9}, вы вскоре стали одним из самых процветающих купцов города. Вы приумножали свое состояние, и вскоре вы прославились не только ратными подвигами, но и процветающей торговой империей.
str_retirement_text_7|У вас были земельные владения, пускай и небольшие, поэтому ваше будущее было более-менее предопределено. Вы обосновались в своем поместье {s7}, следили за деревней и полями, играли роль мирового судьи и выполняли обязанности перед сеньором. Вы были во главе его войск во время нескольких успешных кампаний, но к приключениям своей молодости вы так и не вернулись. У вас есть свой замок, земли и достаточно денег, так что вы можете позволить себе практически все, чего только пожелаете.
str_retirement_text_8|Вы отлично сумели позаботиться о себе. Ваши обширные владения и собранные в приключениях деньги позволят вам провести остаток жизни в богатстве. Вернувшись в свое имение {s8}, вы обращаетесь к политике и скоро становитесь значительной фигурой в государстве вашего сеньора. Вы плетете интриги, охотитесь, пируете в роскошных залах, рассказывая гостям многочисленные истории о войне. Словом, все последующие годы проходят для вас просто отлично.
str_retirement_text_9|За верную службу сеньор пожаловал вас наследственным баронским титулом, так что вы вошли в ряды высшей знати. Вы получили во владение {s7} и стали одним из самых близких и доверенных советников сеньора. Ваша известность принесла вам влияние и немалую политическую власть. Теперь вы проводите свои дни в делах управленческих, распоряжаетесь имениями и вспоминаете старые дни, полные приключений и славы.
str_retirement_text_10|Вы начинали службу с самых низов, но сеньор высоко ценил вас, и многие были несказанно удивлены, когда он пожаловал вам наследный титул {графа/графини} и земли {s9}. Теперь в вашем распоряжении огромные владения и капиталы. Вы быстро становитесь доверенным лицом своего сеньора и почти сравнялись с ним по силе и влиянию. У вас даже есть свой собственный трон, и вы по праву являетесь одной из самых значительных фигур в Кальрадии.
str_loot_village|нападать на невинных крестьян
str_steal_from_villagers|красть у бедных крестьян
str_rob_caravan|грабить торговый караван
str_sell_slavery|продавать людей в рабство
str_men_hungry|голодать
str_men_unpaid|не иметь денег для жалованья
str_excessive_casualties|превращать любую битву в кровавую бойню для своих
str_surrender|сдаваться врагу
str_flee_battle|сбегать из боя
str_pay_bandits|откупаться от бандитов
str_fail_quest|проваливать задание, за которое дано слово чести
str_squander_money|проматывать доверенные деньги
str_murder_merchant|вовлекать себя в хладнокровное убийство
str_round_up_serfs|сгонять крепостных от имени некого дворянина
str_battle_fate_1|Мы разделились в пылу сражения
str_battle_fate_2|Меня ранили и оставили умирать
str_battle_fate_3|Удар врага лишил меня чувств
str_battle_fate_4|За меня требовали выкуп
str_battle_fate_5|Меня пленили, но мне удалось сбежать
str_npc_morale_report|Мне {s6} ваш выбор спутников, {s7} ваш способ ведения дел и {s8} расклад вещей в целом.
str_happy|очень нравится
str_content|нравится
str_concerned|не нравится
str_not_happy|совсем не нравится
str_miserable|отвратителен
str_morale_reg1| Моральное состояние: {reg1}
str_bar_enthusiastic|Настрой: в восторге
str_bar_content|Настрой:доволен
str_bar_weary|Настрой: устал
str_bar_disgruntled|Настрой: недоволен
str_bar_miserable|Настрой: В отчаянии
str_here_plus_space| здесь,
str_npc1_intro|Здравствуйте! Уж не охотника ли вы разыскиваете на рынке?
str_npc2_intro|Привет! Не желаете пропустить со мной стаканчик? Все мое богатство - эти пять динар, и я не хочу пропить их в одиночку.
str_npc3_intro|Добрый день!
str_npc4_intro|Приветствую. Я Рольф, сын Рольфа из старейшего и влиятельнейшего дома Рольфа.
str_npc5_intro|Приветствую. Не желаете ли выпить со мной?
str_npc6_intro|Мне конец... Конец...
str_npc7_intro|Что вам надо? Не приближайтесь.
str_npc8_intro|Чего вы хотите?
str_npc9_intro|{Добрый человек/Добрая женщина}, не принесете ли мне выпить, а?
str_npc10_intro|Здорово, {брат/сестрица}! Выпьем же за то, чтобы все эти высокородные лорды и мамзели сдохли медленно и мучительно!
str_npc11_intro|Привет, {дружок/подружка}. Выпей со мной.
str_npc12_intro|Здравствуйте. Возможно, вы сумеете мне помочь...
str_npc13_intro|Приветствую. Меня зовут Низар. Уверен, вы обо мне слышали.
str_npc14_intro|Добрый день. Что вам угодно?
str_npc15_intro|О! Скажите, вы, случайно, не собираетесь уходить из города?
str_npc16_intro|Эй, привет. Судя по вашему виду, спокойной жизни вы не ищите. Скажите, вам случайно бойцы не нужны?
str_npc1_intro_response_1|Может и так. А вам что за дело?
str_npc2_intro_response_1|Последние пять динар? Как такое вышло?
str_npc3_intro_response_1|Здравствуйте. Позвольте спросить, как порядочная девушка очутилась в этой забегаловке?
str_npc4_intro_response_1|Хммм... Впервые слышу про дом Рольфа.
str_npc5_intro_response_1|С удовольствием. А с кем имею честь?
str_npc6_intro_response_1|Что случилось, друг мой?
str_npc7_intro_response_1|Простите. Мне показалось, что вы чем-то расстроены.
str_npc8_intro_response_1|Всего лишь приятно провести время, мадам, если конечно у вас нет других планов.
str_npc9_intro_response_1|Неужели я выгляжу как трактирщик, сир?
str_npc10_intro_response_1|Почему вы так говорите?
str_npc11_intro_response_1|А что за повод?
str_npc12_intro_response_1|Чем же это?
str_npc13_intro_response_1|Хм... Нет, не думаю.
str_npc14_intro_response_1|Просто побеседовать с товарищем-путешественником, если вы не против.
str_npc15_intro_response_1|Так и есть. А почему вы спрашиваете?
str_npc16_intro_response_1|Возможно. А при чем тут вы?
str_npc1_intro_response_2|Эй, руки прочь от моего кошелька!
str_npc2_intro_response_2|Я найду занятие получше, приятель.
str_npc3_intro_response_2|Шла бы ты отсюда, девочка. И без тебя хлопот хватает.
str_npc4_intro_response_2|А? Простите, меня это не интересует.
str_npc5_intro_response_2|У меня нет на это времени.
str_npc6_intro_response_2|Да, похоже на то... Ну, авось обойдется.
str_npc7_intro_response_2|Ладно, ладно. Не смею вас беспокоить.
str_npc8_intro_response_2|Ничего. Ваш неприступный взгляд не оставляет мне ни малейшей надежды. Прощайте.
str_npc9_intro_response_2|Сам сбегаешь, приятель!
str_npc10_intro_response_2|Это опасные речи, не желаю их слушать. До свидания.
str_npc11_intro_response_2|Не стоит, мадам.
str_npc12_intro_response_2|Простите, но сейчас у меня есть другие дела.
str_npc13_intro_response_2|Нет. И не горю желанием услышать, если честно.
str_npc14_intro_response_2|Ничего. Простите.
str_npc15_intro_response_2|По-моему, это не ваше дело, сир.
str_npc16_intro_response_2|Тебе-то что за дело, подруга?
str_npc1_backstory_a|О, {сэр/мадам}, это долгая история...
str_npc2_backstory_a|Это грустная история, сир.
str_npc3_backstory_a|Сейчас я вам все объясню!
str_npc4_backstory_a|Неужели? Ну что ж, полагаю, ваше невежество вполне простительно. Наши родные земли лежат далеко за горами.
str_npc5_backstory_a|Я - Бахештур, сын Азабея, внук Баздана. Не будь вы варваром, сразу поняли бы, откуда я родом. Я - всадник-хергит из гор, из племени Шамира, из клана Дулама, из семейства Убейн, из долины Панташ. Вы можете догадаться, что завело меня так далеко от дома.
str_npc6_backstory_a|Я великий грешник, {сир/мадам}, и мне бы очень не хотелось рассказывать вам о моих былых деяниях.
str_npc7_backstory_a|Расстроена? Ну да, можно и так сказать...
str_npc8_backstory_a|Ах. Ну, раз вы настаиваете, я поговорю с вами.
str_npc9_backstory_a|Примите мои извинения. В этом полумраке легко обознаться. До сих пор не верится, что другого пристанища у меня больше нет.
str_npc10_backstory_a|Это долгая история, но если вы закажете себе выпить, я с радостью расскажу вам ее.
