qstr_thawb1_belt1|thawb1 belt1
qstr_All_to_zero|All to zero
qstr_1st|1st
qstr_2nd|2nd
qstr_3rd|3rd
qstr_4th|4th
qstr_5th|5th
qstr_6th|6th
qstr_7th|7th
qstr_8th|8th
qstr_Disabled____________|Disabled                            
qstr_Howitzers_Battery___|Howitzers Battery                
qstr_Field_Guns_Battery__|Field Guns Battery               
qstr_Guards_Cavalry_Compa|Guards Cavalry Company   
qstr_Mounted_Rifles_Compa|Mounted Rifles Company   
qstr_Melee_Cavalry_Compan|Melee Cavalry Company   
qstr_Guard_Infantry_Compa|Guard Infantry Company    
qstr_Light_Infantry_Compa|Light Infantry Company    
qstr_Line_Infantry_Compan|Line Infantry Company   
qstr_{reg1}|{reg1}
qstr_Too_many_troops^Chec|Too many troops^Check number available
qstr__| 
qstr_Number_of^artillery_|Number of^artillery shells.
qstr_1._{s1}|1. {s1}
qstr___c.|  c.
qstr_90%|90%
qstr_2._{s1}|2. {s1}
qstr__%| %
qstr_3._{s1}|3. {s1}
qstr_4._{s1}|4. {s1}
qstr_5._{s1}|5. {s1}
qstr_6._{s1}|6. {s1}
qstr_7._{s1}|7. {s1}
qstr_8._{s1}|8. {s1}
qstr_Form_Square^^Selecte|Form Square^^Selected companies (not more than two)^will form a square formation. It is effective in melee^fighting, especially against cavalry, but vulnarable^to an enemy fire. To selected companies be able to^form square, they need to have at least 25 soldiers^in total.^Company types: Line infantry, Guard.
qstr_{reg0}%|{reg0}%
qstr_{reg0}_c.|{reg0} c.
qstr_Others|Others
qstr_Outlaws|Outlaws
qstr_Mercenary|Mercenary
qstr_Close|Close
qstr_Click_the_center_but|Click the center button to toggle faction^Click the avatars to view details of them
qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
qstr_Attributes|Attributes
qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Skills
qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
qstr_Proficiencies|Proficiencies
qstr_1H_Weapons^2H_Weapon|1H Weapons^2H Weapons^Polearms^Archery^Crossbows^Throwing
qstr_Equipments|Equipments
qstr_Factions|Factions
qstr_Show_towns|Show towns
qstr_Show_castles|Show castles
qstr_Show_villages|Show villages
qstr_Tip:_move_the_mouse_|Tip: move the mouse onto the black blocks to show their names.
qstr_The_World_Map|The World Map
qstr_Press_Escape_to_clos|Нажмите на Escape, чтобы закрыть...
qstr_{s7}__s_Army|{s7} 's Army
qstr_Attribute_points_{re|Attribute points {reg40}
qstr_Skill_points_{reg41}|Skill points {reg41}
qstr_Weapon_points_{reg42|Weapon points {reg42}
qstr_Save|Save
qstr_Reset|Reset
qstr_Current:{s1}|Current:{s1}
qstr_{s2}^Base_Attribute:|{s2}^Base Attribute:CHA
qstr_{s2}^Base_Attribute:I|{s2}^Base Attribute:INT
qstr_{s2}^Base_Attribute:A|{s2}^Base Attribute:AGI
qstr_{s2}^Base_Attribute:S|{s2}^Base Attribute:STR
qstr_Battle_role:|Battle role:
qstr_Line_Infantry|Line Infantry
qstr_Light_Infantry|Light Infantry
qstr_Guard_Infantry|Guard Infantry
qstr_Melee_Cavalry|Melee Cavalry
qstr_Ranged_Cavalry|Ranged Cavalry
qstr_Guard_Cavalry|Guard Cavalry
qstr_Next|Next
qstr_Price_{reg42}^Weight|Price {reg42}^Weight {reg43}
qstr_{reg5}_to_{reg6}|{reg5} to {reg6}
qstr_Back|Back
qstr_You_can_t_equip_this|You can't equip this item - wrong slot.
qstr_Military_Technologie|Military Technologies of the {s1}
qstr_Research|Research
qstr_Select_technology|Select technology
qstr_Rifled_Caplock^^Musk|Rifled Caplock^^Muskets
qstr_Percussive_Explosive|Percussive Explosive^^Shells
qstr_Firearms_Training|Firearms Training
qstr_American_Civil_War^^|American Civil War^^Experience
qstr_Ambulances|Ambulances
qstr_Crimean_War^^Medical|Crimean War^^Medical Experience
qstr_Conscription|Conscription
qstr_Conversion_Breech_lo|Conversion Breech-loaded^^Rifles
qstr_Rifled_Cannons|Rifled Cannons
qstr_Baggage_Trains|Baggage Trains
qstr_Modern^^Breech_loade|Modern^^Breech-loaded Rifles
qstr_Skirmish_Line^^Tacti|Skirmish Line^^Tactics
qstr_Regimental_System^^R|Regimental System^^Reform
qstr_Breech_loaded^^Canno|Breech-loaded^^Cannons
qstr_Magazine_Rifles|Magazine Rifles
qstr_Improved_Percussion^|Improved Percussion^^Mechanisms
qstr_Smokeless_Powder|Smokeless Powder
qstr_Combat_Logistics|Combat Logistics
qstr_Infantry_Adaptive^^T|Infantry Adaptive^^Training
qstr_You_do_not_have_enou|You do not have enough money.
qstr_faction_technologies|faction technologies tech available
qstr_faction_technologies_|faction technologies tech inprogress
qstr_Rifled_Caplock^Muske|Rifled Caplock^Muskets
qstr_faction_technologies_p|faction technologies photo riflesrifled
qstr_faction_technologies_ph|faction technologies photo conscription
qstr_Percussive_Explosive^|Percussive Explosive^Shells
qstr_faction_technologies_pho|faction technologies photo earlyshells
qstr_Crimean_War^Medical_|Crimean War^Medical Experience
qstr_faction_technologies_phot|faction technologies photo medicinecrimeanwar
qstr_faction_technologies_photo|faction technologies photo shootingtraining
qstr_Conversion_Breech_loa|Conversion Breech-loaded^Rifles
qstr_faction_technologies_photo_|faction technologies photo riflesconverted
qstr_faction_technologies_photo_c|faction technologies photo cannonsrifling
qstr_American_Civil_War^L|American Civil War^Logistical Experience
qstr_faction_technologies_photo_a|faction technologies photo acwexperience
qstr_faction_technologies_photo_am|faction technologies photo ammoincrease
qstr_Converted_breech_loa|Converted breech-loaded rifles have several issues. They have big caliber, because of which during fast shooting the barrel heats up so much that it becomes hard to handle rifle during reload or melee fighting. Inserted breech-loading mechanisms are not perfect and often cause cartridge case to jam inside after shot, and being hard to get out. Next step in firearms rearmament should be adopting new breech-loaded rifle: it will have much smaller caliber than before, which will improve bullet ballistics, and will have improved breech-loading mechanism, that will further increase rate of fire by making reloading process easier.^^Effects: army changes it's firearms to small-caliber breech-loading rifles.
qstr_faction_technologies_photo_r|faction technologies photo riflessmallcaliber
qstr_faction_technologies_photo_w|faction technologies photo woundedevacuation
qstr_Skirmish_Line^Tactic|Skirmish Line^Tactics
qstr_faction_technologies_photo_s|faction technologies photo skirmishline
qstr_Regimental_System^Re|Regimental System^Reform
qstr_faction_technologies_photo_f|faction technologies photo fourbattalions
qstr_faction_technologies_photo_ri|faction technologies photo riflesboltaction
qstr_Breech_loaded^Cannon|Breech-loaded^Cannons
qstr_faction_technologies_photo_ca|faction technologies photo cannonsbreechloading
qstr_faction_technologies_photo_h|faction technologies photo hetypelate
qstr_Improved_Percussion^M|Improved Percussion^Mechanisms
qstr_faction_technologies_photo_l|faction technologies photo lateshells
qstr_faction_technologies_photo_i|faction technologies photo improvedlogistics
qstr_Infantry_Adaptive^Tr|Infantry Adaptive^Training
qstr_faction_technologies_photo_ad|faction technologies photo adaptivetraining
qstr___already_invested_| (already invested)
qstr___already_researched| (already researched)
qstr__Current_progress___| Current progress - {reg2}%.
qstr_Cost___{reg0}_pounds|Cost - {reg0} pounds{s1}.^Available after {reg1} year.{s2}
qstr_Select_Faction|Select Faction
qstr_Start_Game|Start Game
qstr_Chosen_Faction:^{s1}|Chosen Faction:^{s1}
qstr_Select_flag_for_your|Select flag for your faction
qstr_Peace_negotiations_w|Peace negotiations with {s1}
qstr_Stop_Negotiations|Stop Negotiations
qstr_Make_Peace|Make Peace
qstr_Opposite_side_diplom|Opposite side diplomats^cannot agree with terms
qstr_Current_winner:_{s1}|Current winner: {s1}
qstr_War_reparations_amou|War reparations amount: {reg11} pounds
qstr_Infamy_penalty:_{reg|Infamy penalty: {reg12}
qstr_Cannot_claim_{s31}__|Cannot claim {s31} - it doesn't have supply routes to your faction.
qstr_Diplomats_from_{s32}|Diplomats from {s32} refuse to give {s31} to the {s33}.
qstr_vSeason|vSeason
qstr_{s1}_of_{s3}_was_def|{s1} ({s3}) потерпел поражение в битве но смог сбежать.
qstr_{s54}_is_a_claimant_|{s54} является претендентом на трон {s56}.
qstr_nowhere|нигде
qstr_{s57}_and_{s58}|{s57} и {s58}
qstr_{reg3?She:He}|{reg3?Она:Он}
qstr_The_town_of_{s50}|Город {s50}
qstr_The_village_of_{s50}|Деревня {s50} около {s52}
qstr_{s51}_belongs_to_{s1|{s51}, владельцем является {s1} ({s2}).^
qstr_{s7}_and_{s8}|{s7} и {s8}
qstr_{s2}It_has_no_villag|{s2} не имеет деревень.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Деревни:Деревня} {s8}.^
qstr_{s63}_is_connected_t|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network. Region of this center has access to a seaport.
qstr_{s63}_is_connected_to|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network.
qstr_{s2}Its_prosperity_i|{s2}Достаток: {s50}
qstr_noone|пусто
qstr_{s9}_and_{s10}|{s9} и {s10}
qstr_{s21}^*_The_{s5}_is_|{s21}^* The {s5} is in alliance with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has|{s21}^* The {s5} has friendly diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_|{s21}^* The {s5} has warm diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_i|{s21}^* The {s5} has indifferent diplomatic relationship with {s14} ({reg11}).
qstr_{s5}_has_been_defeat|{s5} потерпел поражение!
qstr_{s7}_opened_the_gate|{s7} открыл ворота
qstr_{s7}_closed_the_gate|{s7} закрыл ворота
qstr_Has_second_barrel__p|Has second barrel (press action^key while aiming to fire a buckshot)
qstr_Uses_pistol_cartridg|Uses pistol cartridges
qstr_Smoothbore_musket|Smoothbore musket
qstr_Rifled_musket|Rifled musket
qstr_Converted_breech_load|Converted breech loaded rifle
qstr_Modern_breech_loaded|Modern breech loaded rifle
qstr_Smoothbore_pistol|Smoothbore pistol
qstr_Revolver__6_rounds_|Revolver (6 rounds)
qstr_Pocket_Revolver__6_r|Pocket Revolver (6 rounds)
qstr_Self_Loading_Pistol_|Self-Loading Pistol (8 rounds)
qstr_Revolver__9_rounds_|Revolver (9 rounds)
qstr_Shotgun__2_rounds_|Shotgun (2 rounds)
qstr_Lever_action_shotgun|Lever action shotgun (6 rounds)
qstr_Lever_action_shotgun_|Lever action shotgun (1 round)
qstr_Bolt_action_magazine|Bolt-action magazine rifle (5 rounds)
qstr_Straight_pull_bolt_a|Straight-pull bolt-action^magazine rifle (5 rounds)
qstr_Bolt_action_magazine_|Bolt-action magazine rifle (8 rounds)
qstr_Bolt_action_magazine_r|Bolt-action magazine rifle (10 rounds)
qstr_Pocket_Pistol__6_rou|Pocket Pistol (6 rounds)
qstr_Pocket_Pistol__4_rou|Pocket Pistol (4 rounds)
qstr_Breech_loaded_rifle|Breech loaded rifle
qstr_Lever_action_magazin|Lever action magazine rifle (8 rounds)
qstr_Lever_action_magazine|Lever action magazine rifle (5 rounds)
qstr_Lever_action_magazine_|Lever action magazine rifle (9 rounds)
qstr_Lever_action_magazine_r|Lever action magazine rifle (16 rounds)
qstr_Lever_action_magazine_ri|Lever action magazine rifle (7 rounds)
qstr_+{reg1}_to_party_mor|+{reg1} к морали отряда
qstr_Requires_{reg1}_inte|Требует {reg1} интеллекта для прочтения
qstr_Reading_Progress:_{r|Прогресс чтения: {reg1}%
qstr_wound_treament|первой помощи
qstr_trainer|обучению
qstr_surgery|хирургии
qstr_+1_to_{s1}_while_in_|+1 к {s1} пока находится в инвентаре
qstr_Move_here|Перейти
qstr_View_notes|Заметки
qstr_Accompany|Сопровождать
qstr_killed|убито
qstr_wounded|ранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^Всего: {reg3} ({s2})
qstr_^None|^ничего
qstr_nothing|ничего
qstr_{reg0}_village{reg1?|{reg0} {reg1?деревень:деревня}
qstr_{reg0}_castle{reg1?s|{reg0} {reg1?замков:замок}
qstr_{reg0}_castle{reg1?s:|{reg0} {reg1?замков:замок} и {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} {reg1?городов:город}
qstr_{reg0}_town{reg1?s:}_|{reg0} {reg1?городов:город} и {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} {reg1?городов:город}, {s0}
qstr_Your_opponents_are_r|Ваши противники готовы к бою.
qstr_Try_to_destroy_as_ma|Старайтесь уничтожить как можно больше целей. У Вас две с половиной минуты для того, чтобы очистить путь.
qstr_Stay_behind_the_line|Стойте перед чертой и стреляйте по мишеням. Старайтесь не промахиваться.
qstr_Battle_Advantage_=_{|Боевое преимущество = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} хочет, чтобы Вы следовали за его армией до его дальнейших указаний.
qstr__Being_Raided_|(Под нападением)
qstr__Looted_|(Разграблено)
qstr__Under_Siege_|(В осаде)
qstr_The_village_of_{s1}_|{s2} ограбил деревню {s1}.
qstr_{s3}_is_no_longer_un|{s3} более не находится в осаде.
qstr_Small_bands_of_enemi|Малые отряды врагов замечены около {s1}.
qstr_Enemy_patrols_spotte|Вражеские патрули замечены около {s1}.
qstr_Medium_sized_group_o|Средняя группа врагов замечена около {s1}.
qstr_Significant_group_of|Большая группа врагов замечена около {s1}.
qstr_Army_of_enemies_spot|Вражеская армия замечена около {s1}.
qstr_Large_army_of_enemie|Большая вражеская армия замечена около {s1}.
qstr_Great_host_of_enemie|Гигантская вражеская армия замечена около {s1}.
qstr_{s1}_has_been_besieg|{s1} осаждает {s2} ({s3}).
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}:{s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} стал новым маршалом {s2}.
qstr_You_gained_{reg12}_r|Вы получили {reg12} к известности.
qstr_You_lose_{reg12}_ren|Вы потеряли {reg12} известности.
qstr_Your_relation_with_{|Ваши отношения с {s1} улучшились.
qstr_Your_relation_with_{s|Ваши отношения с {s1} ухудшились.
qstr_You_gain_honour.|Ваша честь увеличивается.
qstr_You_lose_honour.|Ваша честь уменьшается.
qstr_{s1}_has_declared_wa|{s1} и {s2} теперь в состоянии войны.
qstr_{s1}_has_declared_war|{s1} has declared war against {s2} in support of {s31}.
qstr_{s1}_and_{s2}_have_m|{s1} и {s2} заключили мирное соглашение.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{reg4?была:был}:находится} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?{reg4?направлялась:направлялся}:направляется} в {s3} и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?{reg4?была:был}:находится} в пути и{reg3?: на данный момент} {reg3?{reg4?находилась:находился}:{reg4?должна быть:должен быть}} около {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?{reg4?была:был}:находится} пленником в {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?{reg4?была:был}:находится} в плену у {reg4?ее:его} врагов.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} находится неизвестно где:Я не знаю, где сейчас {s2}}.
qstr_{s6}_has_joined_your|{s6} присоединяется к Вашему отряду.
qstr_You_now_owe_{reg2}_p|You now owe {reg2} pounds to {s1}.
qstr_Renown_value_for_thi|Рейтинг битвы {reg8}.
qstr_You_have_run_into_a_|Вы попали в западню!
qstr_You_are_attacked_by_|Вас атаковала группа разбойников!
qstr_Holding|Держат позицию
qstr_Following|Следуют
qstr_Charging|Атакуют
qstr_Advancing|Продвигаются
qstr_Falling_Back|Отступают
qstr_Standing_Closer|Сдвигаются
qstr_Spreading_Out|Рассыпаются
qstr_Standing|Стоят
qstr_N/A|Н/Д
qstr_Free|Свободно
qstr_Any_Weapon|Любое оружие
qstr_Blunt_Weapons|Дробящее оружие
qstr_{s1}_Rebels|{s1} мятежники
qstr_Given_by:_{s62}|Получено у: {s62}
qstr_Given_on:_{s60}|Получено: {s60}
qstr_You_have_{reg0}_days|У Вас {reg0} дней до истечения срока задания.
qstr_This_quest_has_been_|Это задание выполнено. {s59} ожидает Вас.
qstr_This_quest_has_been_s|Это задание успешно выполнено. {s59} ждет Вас для вручения награды.
qstr_This_quest_has_faile|Это задание провалено. {s59} ждет Ваших объяснений.
qstr_At_the_time_quest_wa|Во время начала задания:^{s1}
qstr_{s5}_has_a_strength_|{s5} располагает армией численностью: {reg1}.
qstr_The_last_time_you_sa|В последний раз, когда Вы {reg1?ее:его} видели, {s1}
qstr_The_last_time_you_he|В последний раз, когда Вы о {reg1?ней:нем} слышали, {s1}
qstr_Current_garrison_con|В настоящий момент гарнизон составляет {reg5} человек.^Запасов еды хватит на {reg6} дней.
qstr_Very_Poor|Очень бедный
qstr_Poor|Бедный
qstr_Average|Средний
qstr_Rich|Богатый
qstr_Very_Rich|Очень богатый
qstr_Manor|Поместье
qstr_A_manor_lets_you_res|Поместье позволяет Вам отдыхать в деревне и плата войскам в это время уменьшается на 50%.
qstr_Mill|Мельница
qstr_A_mill_increases_vil|Мельница увеличивает благосостояние деревни на 5%.
qstr_Watch_Tower|Вышка дозорного
qstr_A_watch_tower_lets_t|Вышка дозорного позволяет жителям деревни раньше поднять тревогу. Время необходимое врагам на грабеж деревни увеличивается на 50%.
qstr_School|Школа
qstr_A_shool_increases_th|Школа увеличивает верность жителей деревни к вам на +1 ежемесячно.
qstr_Messenger_Post|Пост посыльного
qstr_A_messenger_post_let|Пост посыльного позволяет жителям отправить Вам сообщение о находящихся поблизости врагах, даже когда Вы находитесь вдалеке.
qstr_Prison_Tower|Тюрьма
qstr_A_prison_tower_reduc|Тюрьма уменьшает шанс на успешный побег пленников.
qstr_Prosperity_of_{s2}_h|Благосостояние {s2} изменилось с {s3} до {s4}.
qstr_{s4}_looks_upset.|{s4} огорчается.
qstr_your_party|ваш отряд
qstr_{reg0?One_of_your_pr|{reg0?Ваш пленник, :}{s1} ({s3}){reg0?, сбежал: сбегает из плена}!
qstr_You_brought_{reg3}_h|Вы доставили {reg3} голов скота {s1}.
qstr_I_heard_that_there_w|Говорят, что скоро в {s62} будет турнир.
qstr_I_heard_that_one_can|Говорят, что можно дешево купить товар {s62} в {s63}.
qstr_I_heard_that_they_pa|Говорят, что можно дорого продать товар {s62} в {s63}.
qstr_two_days_ago|два дня назад
qstr_Best_threat_of_{s4}_|Самый опасный из {s4} имеет {reg1} уровень
qstr_No_center_found_to_d|Не найдено центра для защиты
qstr_You_gain_right_to_ru|Ваше право на правление увеличивается.
qstr_You_lose_right_to_ru|Ваше право на правление уменьшается.
qstr_Added_money_for_your|Добавлены деньги за вашу старую лошадь
qstr_Line_Infantry_Company|Line Infantry Company
qstr_Light_Infantry_Compan|Light Infantry Company
qstr_Guard_Infantry_Compan|Guard Infantry Company
qstr_Cavalry_Squadron|Cavalry Squadron
qstr_Mounted_Rifles_Squad|Mounted Rifles Squadron
qstr_Cavalry_Guard_Squadr|Cavalry Guard Squadron
qstr_Field_Guns_Battery|Field Guns Battery
qstr_Howitzers_Battery|Howitzers Battery
qstr_Empty|Empty
qstr__I.| I.
qstr_L.I.|L.I.
qstr__G.| G.
qstr_M.C.|M.C.
qstr_M.R.|M.R.
qstr_C.G.|C.G.
qstr_G.B.|G.B.
qstr_H.B.|H.B.
qstr_Cannot_form_square:_t|Cannot form square: too few soldiers (need at least 25).
qstr_{s1}|{s1}
qstr_{s31}_created_a_casu|{s31} created a casus belli for {s32} for {reg10} days.
qstr_{s31}_s_infamy_is_in|{s31}'s infamy is increased by {reg10} and is now {reg11}.
qstr_{s31}_s_infamy_is_de|{s31}'s infamy is decreased by {reg10} and is now {reg11}.
qstr_Belongs_to_{s31}|Belongs to {s31}
qstr_Controlled_by_{s31}^|Controlled by {s31}^Belongs to {s32}
qstr_{s31}_becomes_an_all|{s31} becomes an ally of {s32}.
qstr_{s31}_breaks_an_alli|{s31} breaks an alliance with {s32}.
qstr_day|day
qstr_cloud1|cloud1
qstr_cloud2|cloud2
qstr_cloud3|cloud3
qstr_cloud4|cloud4
qstr_cloud5|cloud5
qstr_sunset|sunset
qstr_clouds1|clouds1
qstr_clouds2|clouds2
qstr_clouds3|clouds3
qstr_clouds4|clouds4
qstr_evening|evening
qstr_night|night
qstr_dusk|dusk
qstr_Hotkeys:_U_to_access|Hotkeys: U to access the aerial view E and Q to turn Shift and Control to control your height ~ tilde (next to 1) to make your troops run. You can select companies either by clicking on the units on screen, or by selecting them in the UI in the bottom left Use your right mouse button to place, and orientate your units.
qstr_{reg0}._Company_has_|{reg0}. Company has switched to running.
qstr_{reg0}._Company_has_s|{reg0}. Company has switched to walking.
qstr_{reg0}._Company_was_|{reg0}. Company was forced to retreat.
qstr_1st_{s1}|1st {s1}
qstr_2nd_{s1}|2nd {s1}
qstr_3rd_{s1}|3rd {s1}
qstr_4th_{s1}|4th {s1}
qstr_5th_{s1}|5th {s1}
qstr_6th_{s1}|6th {s1}
qstr_7th_{s1}|7th {s1}
qstr_8th_{s1}|8th {s1}
qstr_You_got_keys_of_dung|Вы получаете ключи от темницы.
qstr_You_must_stay_behind|Вы должны стоять ЗА линией! Очки не засчитываются.
qstr_Tutorial|Инструкция
qstr_^{s32}_s_Infamy:_{re|^{s32}'s Infamy: {reg10}
qstr_You_were_born_the_{r|Вы родились {reg3?дочерью:сыном} в чете странствующих торговцев, путешествовавших с места на место в поисках дохода. Несмотря на то, что родители Ваши по благосостоянию превосходили большинство людей и дали Вам настолько хорошее образование, насколько были в силах, у Вас было немного возможностей обзавестись друзьями, поскольку основой жизни было желание продать кому-нибудь что либо.
qstr_You_were_born_the_{re|You were born the {reg3?daughter:son} of a small businessman, always dealing with different sorts of customers and partners. Your parents were wealth enough to send you to a private school. You father wasn't able to deal with the new times, which changed trading technoligies, so after his death you had only a small part of his business.
qstr_You_were_born_the_{reg|You were born the {reg3?daughter:son} of a minor staff officer, who took a part in a lot of conflicts of the early 19th century. Born in one of his campaigns, you never knew your mother. Although your father tried to teach you everything he knew, he wasn't a good teacher, so after his death you had only some army skills and his last bought gun.
qstr_{reg3?daughter:son}|{reg3?дочерью:сыном}
qstr_You_were_born_the_{reg3|You were born the {reg3?daughter:son} of a mafia capo, who was a respected member of a local band. Your father didn't want you to follow his steps, so you had a chance for a lawful life. But circumstances of the new times left you no choice, so after his death you replaced him with his mafia heritage.
qstr_You_were_born_the_{reg3?|You were born the {reg3?daughter:son} of a university professor. As a son of a science man, you got a very good education. Although your family wasn't rich your father tought you that money aren't the most important, so after his death you entered the world with a good amount of knowledge.
qstr_You_were_born_the_{reg3?d|You were born the {reg3?daughter:son} of a regular factory laborer, who spent his life toughly working for his family. Although you were tought to live fairly, your father gave you freedom of chosing your future profession. After his death, you still was seeking for a business to get in your live.
qstr_You_were_a_child_of_|Вы родились и выросли в степях в одном из племен, которое кочевало по засушливым пастбищам. Как и у других кочевников, в Вашей семье превыше всего ценились лошади и умение ездить верхом, которое Вы освоили еще до того, как стать на ноги.
qstr_As_the_{reg3?daughte|Будучи {reg3?дочерью:сыном} вора Вы не получили никакого упорядоченного образования. Вместо учебы Вы все время проводили на улице, попрошайничали, пока не научились срезать кошельки у прохожих, срезая кошельки, пока не научились вскрывать замки. Так прошло все детство и подобный образ жизни открыл Вам много городских секретов и потайных путей.
qstr_You_were_as_far_as_a|You were, as far as anyone outside the university could tell, a studious person. Always obeying the rules, always getting good grades. If that was an illusion or not, only you know. But suffice you say, you were in university, be it because of a patronage from someone wealthy or because your family was rich enough to afford it, and even if you were a student whose record was questionable at best, it gained you valuable insight and experience.
qstr_The_thrumming_of_mac|The thrumming of machines and the pounding of metal is a sound you know better than anyone. It was hard work, waking up real early and going to bed real late, working every second between those two events under the watchful eye of demanding overseers. You became intimately familiar with technology, particularly industry, as you worked. Your calloused hands are proof that you know hard work, and though you left the factory life behind, it will never leave you.
