str_no_string|ŽÁDNÉ ŘETĚZCE!
str_july_reg1_reg2|{reg1}. července {reg2}
str_august_reg1_reg2|{reg1}. srpna {reg2}
str_september_reg1_reg2|{reg1}. září {reg2}
str_october_reg1_reg2|{reg1}. října {reg2}
str_november_reg1_reg2|{reg1}. listopadu {reg2}
str_december_reg1_reg2|{reg1}. prosince {reg2}
str_town_nighttime| Je pozdě v noci a slušní lidé už se po ulicích nepotulují.
str_door_locked|Dveře jsou zamčené.
str_castle_is_abondened|Vypadá to, že je hrad opuštěný.
str_town_is_abondened|Město nebrání žádná posádka.
str_place_is_occupied_by_player|Toto místo je v držení tvých vlastních jednotek.
str_place_is_occupied_by_enemy|Toto místo je v držení nepřátelských jednotek.
str_place_is_occupied_by_friendly|Toto místo je v držení spřátelených jednotek.
str_do_you_want_to_retreat|Chceš opravdu ustoupit?
str_give_up_fight|Chceš opravdu zanechat boje?
str_do_you_wish_to_leave_tutorial|Chceš odejít z výukové hry?
str_do_you_wish_to_surrender|Chceš opravdu se vzdát?
str_can_not_retreat|Nemůžeš se stáhnout, nepřátelé jsou příliš blízko!
str_s1_joined_battle_enemy|{s1} se připojil k bitvě na straně nepřítele.
str_s1_joined_battle_friend|{s1} se připojil k bitvě na tvé straně.
str_entrance_to_town_forbidden|Městské stráže bedlivě pátrají po případných narušitelích a vypadá to, že se ti bránou nepodaří projít nepozorovaně.
str_sneaking_to_town_impossible|Městské stráže mají pohotovost. Branou se ti nepodaří proplížit ani v tom nejlepším převleku.
str_battle_won|{Vyhrál/Vyhrála} jsi!
str_battle_lost|{Prohrál/Prohrála} jsi!
str_attack_walls_success|Po krvavém boji se tvým statečným vojákům podařilo vytlačit nepřítele z hradeb.
str_attack_walls_failure|Tví vojáci padají mrtví, jedna útočná vlna za druhou, a ta hrstka, které se podařilo přežít, bude brzy rozprášena, rozuteče se na všechny strany a ty už je nikdy neuvidíš.
str_attack_walls_continue|Rozhořela se krvavá bitva, v níž obě strany bojují stejně statečně. Navzdory úporné snaze tvých vojsk zůstává hrad stále v rukou nepřátel.
str_order_attack_success|Tví vojáci bojovali statečně a porazili nepřítele.
str_order_attack_failure|Se vzrůstajícím zoufalstvím pozoruješ, jak nepřítel pobíjí tvé vojsko a pak snadno rozežene hrstku přeživších.
str_order_attack_continue|Přestože tvé jednotky bojovaly ze všech sil, nepodařilo se jim zvítězit.
str_join_order_attack_success|Tví vojáci bojovali po boku svých spojenců dobře a podělí se s nimi o věhlas, neboť nepřátele slavně porazili.
str_join_order_attack_failure|Se vzrůstajícím zoufalstvím pozoruješ, jak nepřítel pobíjí tvé vojsko a pak snadno rozežene hrstku přeživších.
str_join_order_attack_continue|Přestože tvé jednotky i tví spojenci bojovali ze všech sil, nepodařilo se jim zvítězit.
str_siege_defender_order_attack_success|Muži z posádky brání hradby zkušeně a odvážně, odrážejí nepřátelské útoky a dovedně mění vlastní neodvratnou porážku ve zmatený ústup nepřátel.
str_siege_defender_order_attack_failure|Útok se záhy změnil v krveprolití. Statečné úsilí se obrátilo vniveč, posádce se proti přílišné přesile nepodařilo udržet hradby a nepřítel povolal do zbraně každého, kdo dokáže pozvednout meč.
str_siege_defender_order_attack_continue|Opakované pokusy o zlezení hradeb provázelo krveprolití na obou stranách. Útočníkům se nepodařilo postoupit ani o píď, ale ani obránci si nemohou blahopřát k vítězství - nepřátel je stále příliš mnoho. Obléhání pokračuje.
str_hero_taken_prisoner|{s2} získává cenného zajatce. Je jím {s1}, jehož sídlem je {s3}.
str_hero_freed|{s2} osvobodil jednoho ze zajatců. Byl to {s1}, jehož sídlem je {s3}.
str_center_captured|{s2} převzal {s1} od říše {s3}.
str_troop_relation_increased|Dobré vztahy, které s tebou má {s1}, se zlepšily z {reg1} na {reg2}.
str_troop_relation_detoriated|Vztahy, které s tebou má {s1}, se zhoršily z {reg1} na {reg2}.
str_faction_relation_increased|Dobré vztahy, které s tebou má {s1}, se zlepšily z {reg1} na {reg2}.
str_faction_relation_detoriated|Vztahy, které s tebou má {s1}, se zhoršily z {reg1} na {reg2}.
str_party_gained_morale|Morálka tvé družiny se zvýšila o {reg1}.
str_party_lost_morale|Morálka tvé družiny se snížila o {reg1}.
str_other_party_gained_morale|{s1} získává {reg1} morálky.
str_other_party_lost_morale|{s1} získává {reg1} morálky.
str_qst_follow_spy_noticed_you|Zpozoroval tě špeh! Dal se do běhu!
str_father|otec
str_husband|manžel
str_wife|manželka
str_daughter|dcera
str_mother|matka
str_son|syn
str_brother|bratr
str_sister|sestra
str_he|on
str_she|ona
str_s3s_s2|{s3} a jeho {s2}
str_s5_is_s51|{s5} je {s51}.
str_s5_is_the_ruler_of_s51|{s5} je vládcem panství {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} je šlechtic z panství {s6}. 
str_relation_mnus_100|Pomstychtivý
str_relation_mnus_90|Pomstychtivý
str_relation_mnus_80|Pomstychtivý
str_relation_mnus_70|Nenávistný
str_relation_mnus_60|Nenávistný
str_relation_mnus_50| Nepřátelský
str_relation_mnus_40|  Rozzlobený
str_relation_mnus_30|   Vzteklý
str_relation_mnus_20|    Naštvaný
str_relation_mnus_10|     Nabručený
str_relation_plus_0|      Podezíravý
str_relation_plus_10|       Ochotný ke spolupráci
str_relation_plus_20|        Vstřícný
str_relation_plus_30|         Příznivě nakloněný
str_relation_plus_40|          Nápomocný
str_relation_plus_50|           Přátelský
str_relation_plus_60|            Štědrý
str_relation_plus_70|             Laskavý
str_relation_plus_80|              Loajální
str_relation_plus_90|               Oddaný
str_relation_mnus_100_ns|{s60} se ti touží pomstít.
str_relation_mnus_90_ns|{s60} se ti touží pomstít.
str_relation_mnus_80_ns|{s60} se ti touží pomstít.
str_relation_mnus_70_ns|{s60} tě nenávidí.
str_relation_mnus_60_ns|{s60} tě nenávidí.
str_relation_mnus_50_ns|{s60} je tvým nepřítelem.
str_relation_mnus_40_ns|{s60} se na tebe zlobí.
str_relation_mnus_30_ns|{s60} má na tebe vztek.
str_relation_mnus_20_ns|{s60} je na tebe naštvaný.
str_relation_mnus_10_ns|{s60} tě podezírá.
str_relation_plus_0_ns|{s60} je vůči tobě neutrální.
str_relation_plus_10_ns|{s60} je ochoten s tebou spolupracovat.
str_relation_plus_20_ns|{s60} je k tobě vstřícný.
str_relation_plus_30_ns|{s60} je ti příznivě nakloněn.
str_relation_plus_40_ns|{s60} tě podporuje.
str_relation_plus_50_ns|{s60} je tvým přítelem.
str_relation_plus_60_ns|{s60} je k tobě štědrý.
str_relation_plus_70_ns|{s60} je k tobě laskavý.
str_relation_plus_80_ns|{s60} je ti loajální.
str_relation_plus_90_ns|{s60} je ti vroucně oddán.
str_relation_reg1|Vztah: {reg1}
str_center_relation_mnus_100|Obyvatelstvo tě z hloubi duše nenávidí. 
str_center_relation_mnus_90|Obyvatelstvo tě upřímně nenávidí. 
str_center_relation_mnus_80|Obyvatelstvo tě silně nenávidí. 
str_center_relation_mnus_70|Obyvatelstvo tě nenávidí. 
str_center_relation_mnus_60|Obyvatelstvo k tobě chová nenávist. 
str_center_relation_mnus_50|Obyvatelstvo se k tobě chová krajně nepřátelsky. 
str_center_relation_mnus_40|Obyvatelstvo se k tobě chová značně nepřátelsky. 
str_center_relation_mnus_30|Obyvatelstvo se k tobě chová nepřátelsky. 
str_center_relation_mnus_20|Obyvatelstvo je proti tobě. 
str_center_relation_mnus_10|Obyvatelstvo si tě protiví. 
str_center_relation_plus_0|Obyvatelstvo je k tobě lhostejné. 
str_center_relation_plus_10|Obyvatelstvo tě přijímá. 
str_center_relation_plus_20|Obyvatelstvo je ochotné ke spolupráci. 
str_center_relation_plus_30|Obyvatelstvo tě do jisté míry podporuje. 
str_center_relation_plus_40|Obyvatelstvo tě podporuje. 
str_center_relation_plus_50|Obyvatelstvo tě silně podporuje. 
str_center_relation_plus_60|Obyvatelstvo je ti loajální. 
str_center_relation_plus_70|Obyvatelstvo je ti velmi loajální. 
str_center_relation_plus_80|Obyvatelstvo je ti hluboce oddáno. 
str_center_relation_plus_90|Obyvatelstvo je ti vroucně oddáno. 
str_town_prosperity_0|Ve městě zvaném {s60} panuje nesnesitelná bída. 
str_town_prosperity_10|Zbídačené město {s60} už se téměř vylidnilo. 
str_town_prosperity_20|Město {s60} vypadá jako pěkně zaneřáděné, ubohé a bezútěšné místo.
str_town_prosperity_30|Město {s60} vypadá uboze a zanedbaně.
str_town_prosperity_40|Město {s60} vypadá, že tře bídu s nouzí.
str_town_prosperity_50|Město {s60} vypadá žalostně obyčejně.
str_town_prosperity_60|Město {s60} zřejmě vzkvétá a daří se mu.
str_town_prosperity_70|Prosperující město {s60} překypuje aktivitou. 
str_town_prosperity_80|Město {s60} se zdá být bohaté a dobře udržované. 
str_town_prosperity_90|Město {s60} je plné blahobytu a místní lidé se mají dobře. 
str_town_prosperity_100|Vyšňořené město {s60} otevřeně staví na odiv své bohatství. 
str_village_prosperity_0|Ve vesnici zvané {s60} panuje nesnesitelná bída. 
str_village_prosperity_10|Zbídačená vesnice {s60} už se téměř vylidnila. 
str_village_prosperity_20|Vesnice {s60} vypadá jako pěkně zaneřáděné, ubohé a bezútěšné místo.
str_village_prosperity_30|Vesnice {s60} vypadá uboze a zanedbaně.
str_village_prosperity_40|Vesnice {s60} vypadá, že občas tře bídu s nouzí.
str_village_prosperity_50|Vesnice {s60} vypadá žalostně obyčejně.
str_village_prosperity_60|Vesnice {s60} zřejmě vzkvétá a lidem se tu daří.
str_village_prosperity_70|Vesnice {s60} zjevně prosperuje a rozvíjí se.
str_village_prosperity_80|Vesnice {s60} se zdá být bohatá a dobře spravovaná.
str_village_prosperity_90|Vesnice {s60} se těší blahobytu a místní lidé se mají dobře.
str_village_prosperity_100|Hezká, úpravná vesnice {s60}, obklopená širými lány úrodných polí, staví na odiv své bohatství. 
str_town_alt_prosperity_0|Těch pár předmětů prodávaných na tržišti je pro zdejší obyvatele příliš cenným zbožím. Lidé jsou špatně živení, jejich zvířata strádají nebo umírají a zdejší obchod upadá. V zapadlých uličkách není kromě much a prašivých psů ani živáčka.
str_town_alt_prosperity_20|Z tržiště k tobě doléhá reptání na ceny předmětů každodenní potřeby a obchody jsou poloprázdné. Jak na lidech, tak na zvířatech nelze přehlédnout známky podvýživy a budovy i další objekty očividně trpí nedostatkem péče. Mnoho lidí už toto místo opustilo a šlo si hledat práci jinam.
str_town_alt_prosperity_40|Sice z tržiště zaslechneš občasné reptání na ceny předmětů každodenní potřeby, ale zdá se, že v obchodech je rozumná zásoba zboží na prodej. Neujde ti několik opuštěných budov, stánků nebo vozů, ale nejedná se o nic mimořádného.
str_town_alt_prosperity_60|Zdejší lidé se těší vcelku dobrému zdraví a vypadají poměrně spokojeně. Řemeslníci se věnují prosperujícím živnostem a občas se tu objeví několik přistěhovalců z jiných oblastí, kteří se sem vydali hledat štěstí.
str_town_alt_prosperity_80|Hradby, ulice i domy jsou udržovány v dobrém stavu. Tržiště zaplavují přistěhovalci z okolních oblastí, které sem přilákala dobrá dostupnost jak zboží, tak práce. Rytmické zvuky kladiv a tkalcovských stavů ukazují na rušný chod řemeslnických dílen.
str_village_alt_prosperity_0|Jen hrstka lidí je natolik silná, aby zvládla práci na polích, která už začínají zarůstat plevelem. Ostatní jsou slabí a podvyživení, nebo už dávno odešli hledat štěstí jinam. Tažná zvířata jsou vyzáblá a máš pocit, že většina jich dříve či později skončí v žaludcích zdejších obyvatel. Na hranicích města se povaluje množství ohlodaných kostí.
str_village_alt_prosperity_20|Několik rolníků je i se svými zvířaty venku na poli, ale jejich nevelké počty naznačují, že další vesničané pravděpodobně odešli hledat obživu jinam. Zemědělské vybavení vypadá zanedbaně a opotřebovaně. Nejvzdálenější pozemky už začínají zarůstat plevelem a křovinami.
str_village_alt_prosperity_40|Na polích a v sadech panuje čilý ruch, vesničané se tu věnují sezónním pracím. Lidé i zvířata vypadají poměrně zdravě a na pohled netrpí nedostatkem potravy. Malá část půdy nicméně zůstala ladem a zdi nejsou na některých místech opravené. Což napovídá tomu, že v této obci stále ještě není dostatek lidí, kteří by zvládli odvést všechnu potřebnou práci.
str_village_alt_prosperity_60|Na polích a v sadech panuje čilý ruch, plné pytle obilí a sušeného masa vypovídají o bohatých výnosech zdejších pastvin i orné půdy.
str_village_alt_prosperity_80|Na polích a v sadech panuje čilý ruch, nově vykopané části závlahového systému napovídají, že rolníci mají dost času i energie na to, aby rozšiřovali plochu obdělávané půdy. Zdá se, že toto místo láká sezónní dělníky, kteří tu pomáhají s prací a podílejí se na obecném blahobytu. 
str_oasis_village_alt_prosperity_0|Palmové háje působí opuštěně a zavlažovací kanály zanesly naplaveniny. Ta hrstka vesničanů, které tu můžeš zahlédnout, vypadá pohuble a nespokojeně. Tažná zvířata jsou vyzáblá a máš pocit, že většina jich dříve či později skončí v žaludcích zdejších obyvatel. Na hranicích města se povaluje množství ohlodaných kostí.
str_oasis_village_alt_prosperity_20|O palmové háje se stará pouze několik málo vesničanů a na několika místech už zahrady začala pohlcovat poušť. Mnoho kanálů zanesly naplaveniny a studny i nádrže jsou plné písku.
str_oasis_village_alt_prosperity_40|Muži i ženy mají plné ruce práce se starostí o palmové háje. Šplhají na vrcholky stromů, kde češou plody. Zdravá zvířata pohánějí čerpadla, která dodávají vodu na pole. Přesto je na některých závlahových příkopech a nádržích vidět, že by jim neuškodilo více péče.
str_oasis_village_alt_prosperity_60|V palmových hájích a sadech panuje čilý ruch. Rolníci na sebe bezstarostně volají z vrcholků stromů, kde opylují květy. Skřípění dřevěných čerpadel poháněných tažnými zvířat a šumění proudící vody jsou důkazem dobře fungujícího zavlažovacího systému.
str_oasis_village_alt_prosperity_80|V palmových hájích a sadech panuje čilý ruch, rolníci zrovna shromažďují úrodu k odvozu na trh. Muži i ženy tvrdě pracují na hloubení nových studní a příkopů, aby mohli v budoucnu zavlažovat více půdy.
str_acres_grain|akry obilných polí
str_acres_orchard|akry ovocných sadů a vinic
str_acres_oasis|akry zavlažovaných pouštních zahrad
str_looms|tkalcovské stavy
str_boats|čluny
str_head_cattle|pasák dobytka
str_head_sheep|ovčák
str_mills|mlýny
str_kilns|vypalovací pece
str_pans|naleziště
str_deposits|ložiska
str_hives|kopřivy
str_breweries|pivovary
str_presses|lisy
str_smithies|kovárny
str_caravans|karavany
str_traps|pasti
str_gardens|malé zahrady
str_tanneries|koželužny
str_master_miller|Mistr mlynář
str_master_brewer|Mistr sládek
str_master_presser|Mistr vinař
str_master_smith|Mistr kovář
str_master_tanner|Mistr koželuh
str_master_weaver|Mistr tkadlec
str_master_dyer|Mistr barvič
str_war_report_minus_4|tuhle válku pravděpodobně prohrajeme
str_war_report_minus_3|situace vypadá bledě
str_war_report_minus_2|věci se pro nás nevyvíjejí moc dobře
str_war_report_minus_1|pokud spojíme své síly, stále ještě můžeme válku vyhrát
str_war_report_0|máme se soupeřem zhruba vyrovnané síly
str_war_report_plus_1|máme slušnou šanci vyhrát válku
str_war_report_plus_2|věci se pro nás vyvíjejí celkem dobře
str_war_report_plus_3|měli bychom je bez problému porazit
str_war_report_plus_4|tuhle válku pravděpodobně vyhrajeme
str_persuasion_summary_very_bad|{Snažil/Snažila} ses, jak umíš nejlépe, aby se od tebe {s50} nechal přesvědčit, ale žádný z tvých argumentů nepadl na úrodnou půdu. Vždycky, když už to vypadalo, že se ti začíná dařit, jsi {řekl/řekla} něco, co jsi říct {neměl/neměla}, a celé jsi to {zbabral/zbabrala}. Za celou dobu se ti nepodařilo předložit žádný přesvědčivý argument ve svůj prospěch a uvědomuješ si, že sis tím jenom {přitížil/přitížila}. {s50} z toho nebyl nijak nadšený, což tě ostatně příliš nepřekvapuje.
str_persuasion_summary_bad|{Snažil/Snažila} ses, jak umíš nejlépe, aby se od tebe {s50} {reg51?nechala:nechal} přesvědčit, ale {reg51?ta ti vzala:ten ti vzal} hned od začátku vítr z plachet. I když jsi {použil/použila} své nejlepší argumenty, bylo to, jako bys hrách na stěnu {házel/házela}. {s50} si o tom, co jsi {chtěl/chtěla} říct, {reg51?neudělala:neudělal} zrovna dobré mínění.
str_persuasion_summary_average|{s50} se {reg51?ukázala:ukázal} být {reg51?zkušenou diskutující:zkušeným diskutujícím} s bystrou myslí a tobě se nepodařilo najít žádný vhodný argument, proti kterému by {reg51?nemohla:nemohl} vznést žádné racionální námitky. Nakonec se ani jednomu z vás nepodařilo získat během diskuse žádnou výhodu.
str_persuasion_summary_good|Díky bystrému myšlení a šikovné argumentaci se ti podařilo předestřít celý případ v příznivém světle a {s50} {reg51?byla nucena:byl nucen} učinit mírné ústupky. Přesto však {reg51?vyjádřila:vyjádřil} ohledně tvých požadavků určité pochybnosti.
str_persuasion_summary_very_good|{Přednesl/Přednesla} jsi strhující řeč, která posluchačům připadala spíše jako básnické dílo. Celý svět jako by se ztišil, aby ti mohl lépe naslouchat. Tvými podnětnými slovy se {reg51?nechala:nechal} hluboce ovlivnit i {s50} a je nyní mnohem ochotnější ti pomoci.
str_secret_sign_1|Sotva odbije půlnoc, dá se almara do tance...
str_secret_sign_2|Mám na prodej moc pěkné khergitské tapisérie. Nechceš si nějakou koupit?
str_secret_sign_3|Posílá mě jeden kamarád mého kamaráda...
str_secret_sign_4|Od východu se zvedá silný vítr a voda v řece rudne krví...
str_countersign_1|Tančí, aby potěšila svícen, nebo snad má spadeno na prádelník?
str_countersign_2|Ano, chtěl bych, máš tam nějakou modrou?
str_countersign_3|Jo, příteli, kamarád tvého kamaráda by těžko hledal kamaráda, jako jsem já.
str_countersign_4|Není ti dobře?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesk
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurke
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Šulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulk
str_name_17|Marlund
str_name_18|Augurin
str_name_19|Dajnad
str_name_20|Joajah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pečnak
str_surname_1|{s50} z Uxhalu
str_surname_2|{s50} z Werchegu
str_surname_3|{s50} z Rejvadinu
str_surname_4|{s50} ze Suna
str_surname_5|{s50} z Jelkaly
str_surname_6|{s50} z Veluky
str_surname_7|{s50} z Halmaru
str_surname_8|{s50} z Curaw
str_surname_9|{s50} ze Sargotu
str_surname_10|{s50} z Tihru
str_surname_11|{s50} ze Zendaru
str_surname_12|{s50} z Rivachegu
str_surname_13|{s50} z Werchegu
str_surname_14|{s50} z Ehlerdagu
str_surname_15|{s50} z Jaragaru
str_surname_16|{s50} z Burglenu
str_surname_17|{s50} ze Šapešte
str_surname_18|{s50} z Hanúnu
str_surname_19|{s50} ze Sarenu
str_surname_20|{s50} z Tosdaru
str_surname_21|{s50} Dlouhán
str_surname_22|{s50} Vychrtlý
str_surname_23|{s50} Hedvábný vous
str_surname_24|{s50} Vrabčák
str_surname_25|{s50} Chuďas
str_surname_26|{s50} Vyděšený
str_surname_27|{s50} Spravedlivý
str_surname_28|{s50} Zachmuřený
str_surname_29|{s50} Rudý
str_surname_30|{s50} Černý
str_surname_31|{s50} Vysoký
str_surname_32|{s50} Hvězdné oko
str_surname_33|{s50} Neohrožený
str_surname_34|{s50} Udatný
str_surname_35|{s50} Bystrý
str_surname_36|{s50} Poseroutka
str_surname_37|{s50} Jasný
str_surname_38|{s50} Rychlý
str_surname_39|{s50} Pěvec
str_surname_40|{s50} Statečný
str_surname_41|{s50} Horká hlava
str_surnames_end|Konec přezdívek
str_number_of_troops_killed_reg1|Počet zabitých jednotek: {reg1}
str_number_of_troops_wounded_reg1|Počet zraněných jednotek: {reg1}
str_number_of_own_troops_killed_reg1|Počet zabitých spojeneckých jednotek: {reg1}
str_number_of_own_troops_wounded_reg1|Počet zraněných spojeneckých jednotek: {reg1}
str_retreat|Ústup!
str_siege_continues|Boj pokračuje...
str_casualty_display|Tvoje ztráty: {s10}^Nepřátelské ztráty: {s11}{s12}
str_casualty_display_hp|^Zranili tě za {reg1} bodů zdraví.
str_quest_log_updated|Seznam úkolů se aktualizoval...
str_banner_selection_text|{Získal/Získala} jsi právo nosit praporec. Tvůj praporec je znakem tvého stavu a dělá ti čest. Jaký praporec si chceš zvolit?
str_retirement_text_1|Příliš pozdě sis {uvědomil/uvědomila}, že ti peníze nevydrží věčně. Netrvalo dlouho a ty jsi {utratil/utratila} i to málo, co se ti podařilo našetřit. Několik zoufalých pokusů vrátit se k dobrodružnému životu skončilo fiaskem. Končíš jako žebrák v obci {s9} a žiješ z almužen a z milosti církve.
str_retirement_text_2|Příliš pozdě sis {uvědomil/uvědomila}, že ti peníze nevydrží věčně. Netrvalo dlouho a zcela jsi {utratil/utratila} to málo, co se ti podařilo našetřit. Když ti z rukou zmizel poslední denár, nezbylo ti, než se dát na zločineckou dráhu v uličkách města {s9} a vydělávat si na živobytí svými schopnostmi okrádat ženské a chudé měšťany o pár měďáků.
str_retirement_text_3|Příliš pozdě sis {uvědomil/uvědomila}, že ti peníze nevydrží věčně. Netrvalo dlouho a zcela jsi {utratil/utratila} to málo, co se ti podařilo našetřit. Končíš jako nemajetný povaleč. Obcházíš jednu krčmu po druhé, loudíš pití od shovívavých štamgastů a platíš jim za ně válečnými historkami, kterým beztak nikdo nevěří, ani co by se za nehet vešlo.
str_retirement_text_4|Našetřené stříbro ti dlouho nevydrželo, ale podařilo se ti dát dohromady dost na koupi menších polností u vesnice zvané {s7}. Stáváš se svobodným sedlákem a brzy se začneš poohlížet po vhodné partii a plánovat svatbu. Vesničané tě považují za jakéhosi místního hrdinu. Na oslavách vždycky sedáváš na čestném místě a o tvých hrdinských skutcích se tlachá v hospodách a krčmách znovu a znovu, aby na tebe ani děti nikdy nezapomněly.
str_retirement_text_5|Našetřené stříbro ti dlouho nevydrželo, ale podařilo se ti dát dohromady dost na koupi malé hospody v obci {s9}. Místní lidé se tě sice zpočátku báli, ale brzy tě přijali mezi sebe. Po nějaké době začala hospoda hezky prosperovat a stala se oblíbeným dějištěm oslav a vhodným místem k setkání. Lidé si sem byli ochotni zajít dlouhé míle, jen aby tu pojedli nebo chvíli poseděli, ať už díky tvé proslulosti nebo aby si poslechli tvé vyprávění z dobrodružných časů.
str_retirement_text_6|Celý život jsi uvážlivě {šetřil/šetřila} peníze, a teď ti stříbro spolu s inteligencí a obchodním duchem umožnily pustit se do několika vynikajících investic, které ti zajistily budoucnost. {Koupil/Koupila} jsi několik obchodů a skladišť ve městě zvaném {s9}, což z tebe učinilo jednoho z nejvlivnějších místních obchodníků, brzy se z tebe stal boháč a tvá obchodní říše byla stejně vyhlášená jako tvé bojové schopnosti.
str_retirement_text_7|Jako {šlechtic/šlechtična} žijící na vlastním panství, i když nevelkém, máš budoucnost v podstatě zajištěnou. {s7} jsi {vzal/vzala} pevně do rukou, staráš se o vesnice i o přilehlé polnosti, vynášíš rozsudky u místního soudu a plníš všechny povinnosti vůči svému lennímu pánovi. Ten tě občas požádá, abys pro něho {naplánoval/naplánovala} vojenské tažení nebo aby ses {ujal/ujala} velení, ale nestává se to moc často a k dřívějšímu dobrodružnému životu, jaký se ti podařilo vést v mládí, už se v podstatě nikdy nevrátíš. Své štěstí už sis ve světě {vydobyl/bydobyla}. Máš vlastní sídlo a panství, a skoro žádné nevyplněné touhy, jejichž splnění by sis z příjmů ze svého panství {nemohl/nemohla} dopřát.
str_retirement_text_8|Není pochyb o tom, že se ti vede dobře. Tvé rozsáhlé državy i bohatství našetřené za dobrodružných let ti stačí na bohatý a pohodlný život do konce tvých dnů. {Odešel/Odešla} jsi na odpočinek na své panské sídlo ve městě {s8}, místo dobrodružství ses {dal/dala} na politiku a v království svého lenního pána ses brzy {stal/stala} významnou politickou veličinou. Když se zrovna nebavíš intrikařením, můžeš lovit ve vlastních hvozdech, pořádat oslavy ve svém sídle a vyprávět tisíce skvělých válečnických historek. V následujících letech si určitě budeš skvěle užívat života.
str_retirement_text_9|Tvůj lenní pán vydal dekret, v němž ti za dlouhé spolehlivé a věrné služby uděluje dědičný titul, čímž tě zařadil mezi přední šlechtice v zemi. Brzy tě čeká slavnostní jmenování {baronem/baronkou} panství {s7} a staneš se jedním z nejbližších rádců a pobočníků svého vladaře. Díky svému věhlasu máš vedle zjevné politické moci i další, jemnější vliv a možnosti působení. Zabýváš se teď převážně plánováním mocenských her, správou svých rozsáhlých držav a občas vzpomínáš na staré časy dobrodružství a slávy.
str_retirement_text_10|Přestože jsi prostého původu, tvůj lenní pán si tě vysoce váží, a tak celá země jen uvítala, když ti vládce udělil dědičný titul {hraběte/hraběnky} z panství {s9}. Máš velké štěstí a spravuješ teď rozsáhlé léno. Brzy ses {stal/stala} {nejdůvěryhodnějším/nejdůvěryhodnější} {rádcem/rádkyní} svého panovníka, který tě považuje téměř za sobě {rovného/rovnou} a z větší části tě pověřil správou své říše. Sedáváš na trůně ve vlastním nádherném paláci jako jedna z nejmocnějších osob Calradie. 
str_loot_village|zaútočili na nevinné vesničany
str_steal_from_villagers|okradli ubohé vesničany
str_rob_caravan|okradli kupeckou karavanu
str_sell_slavery|prodali lidi do otroctví
str_men_hungry|vyčerpali všechny zásoby jídla
str_men_unpaid|neměli lidem z čeho zaplatit
str_excessive_casualties|v každé bitvě, do které jsme se zapojili, skončili krveprolitím na naší straně
str_surrender|se vzdali nepříteli
str_flee_battle|utekli z bitvy
