qstr_thawb1_belt1|thawb1 belt1
qstr_You_have_retired_at_|{reg5} günlük maceradan sonra {reg4}. seviyede emekli oldun.
qstr_Effect_on_Score|Skora etki
qstr_Settlements_owned_by|Sahip olduğun yerleşimler: {reg0}
qstr_Friendly_Settlements|Dost yerleşimler: {reg0}
qstr_Hostile_Settlements:|Düşman yerleşimler: {reg0}
qstr_Friendly_Lords:_{reg|Dost Lordlar: {reg0}
qstr_Enemy_Lords:_{reg0}|Düşman Lordlar: {reg0}
qstr_Victories:_{reg0}|Galibiyetler: {reg0}
qstr_Defeats:_{reg0}|Mağlubiyetler: {reg0}
qstr_Quests_Completed:_{r|Tamamlanan Görevler: {reg0}
qstr_Companions_Found:_{r|Bulunan Yoldaşlar: {reg0}
qstr_Companions_Lost/Depa|Ayrılan/Kaybedilen Yoldaşlar: {reg0}
qstr_Wealth:_{reg0}_pound|Wealth: {reg0} pounds
qstr_Inventory:_{reg0}_po|Inventory: {reg0} pounds
qstr_Renown:_{reg0}|Nam: {reg0}
qstr_Experience:_{reg0}|Tecrübe: {reg0}
qstr_Days_Passed:_{reg0}|Geçen gün sayısı: {reg0}
qstr_Difficulty:_{reg0}%|Zorluk: %{reg0}
qstr_TOTAL_SCORE:_{reg0}|TOPLAM PUAN: {reg0}
qstr_Income_from_factorie|Income from factories share:
qstr_{reg10}|{reg10}
qstr_None|Hiç
qstr_Back|Back
qstr_Empty|Empty
qstr_Number_of^artillery_|Number of^artillery shells.
qstr_1._{s1}|1. {s1}
qstr___c.|  c.
qstr_90%|90%
qstr_2._{s1}|2. {s1}
qstr__%| %
qstr_3._{s1}|3. {s1}
qstr_4._{s1}|4. {s1}
qstr_5._{s1}|5. {s1}
qstr_6._{s1}|6. {s1}
qstr_7._{s1}|7. {s1}
qstr_8._{s1}|8. {s1}
qstr_Form_Square^^Selecte|Form Square^^Selected companies (not more than two)^will form a square formation. It is effective in melee^fighting, especially against cavalry, but vulnarable^to an enemy fire. To selected companies be able to^form square, they need to have at least 25 soldiers^in total.^Company types: Line infantry, Guard.
qstr_pbs_activeability_me|pbs activeability merge
qstr_Merge_Companies^^Sel|Merge Companies^^Selected companies (not less than one)^will be merged into one that has highest number of soldiers.
qstr_pbs_activeability_di|pbs activeability digin
qstr_Dig_In^^Selected_com|Dig In^^Selected companies will dig in,^creating trenches on their position.^Only available once per battle.^Company types: Line infantry, Guard.
qstr_pbs_activeability_co|pbs activeability coveringfire on
qstr_pbs_activeability_ga|pbs activeability gas
qstr_Gas_Attack^^.^Compan|Gas Attack^^.^Company types: Field Guns and Howitzers.
qstr_pbs_activeability_gr|pbs activeability grenades
qstr_Grenade_Attack^^Sele|Grenade Attack^^Selected companies launch a grenade attack, throwing^hand grenades at enemies which are at close distance.^Only available once per 3 minutes.^Company types: Shock troops.
qstr_Suppression_fire:_on|Suppression fire: on
qstr_Suppression_fire:_of|Suppression fire: off
qstr_pbs_activeability_cov|pbs activeability coveringfire off
qstr_Suppression_fire:_on/|Suppression fire: on/off
qstr_pbs_activeability_cove|pbs activeability coveringfire onoff
qstr_No_companies_selecte|No companies selected
qstr_pbs_activeability_cover|pbs activeability coveringfire noselected
qstr_{s1}^^Turning_on_sup|{s1}^^Turning on suppression fire will increase shooting speed^and decreasing enemy discipline level three times faster,^on exchange of drastically decreasing your own accuracy.^Company types: any.
qstr_Gas_masks:_always_we|Gas masks: always wear
qstr_pbs_activeability_gas|pbs activeability gasmasks on
qstr_Gas_masks:_at_will|Gas masks: at will
qstr_pbs_activeability_gasm|pbs activeability gasmasks off
qstr_Gas_masks:_always_wea|Gas masks: always wear/at will
qstr_pbs_activeability_gasma|pbs activeability gasmasks onoff
qstr_pbs_activeability_gasmas|pbs activeability gasmasks noselected
qstr_{s1}^^Gas_masks_make|{s1}^^Gas masks make troops invulnerable to poison gas, but decrease shooting accuracy and energy level.^Company types: any.
qstr_{reg0}|{reg0}
qstr_{reg0}%|{reg0}%
qstr_{reg0}_c.|{reg0} c.
qstr_Cannot_dig_in:_wrong|Cannot dig in: wrong company types (only line infantry and guard infantry can dig in).
qstr_Cannot_launch_gas_at|Cannot launch gas attack: wrong company types (only artillery can use gas attack).
qstr_Cannot_launch_grenad|Cannot launch grenade attack: wrong company types (only shock troops can throw grenades).
qstr_Select_2_or_more_com|Select 2 or more companies with soldiers to merge.
qstr_Others|Others
qstr_Outlaws|Outlaws
qstr_Mercenary|Mercenary
qstr_Close|Close
qstr_Click_the_center_but|Click the center button to toggle faction^Click the avatars to view details of them
qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
qstr_Attributes|Attributes
qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Skills
qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
qstr_Proficiencies|Proficiencies
qstr_1H_Weapons^2H_Weapon|1H Weapons^2H Weapons^Polearms^Archery^Rifles^Throwing
qstr_Equipments|Equipments
qstr_Factions|Factions
qstr_Show_towns|Show towns
qstr_Show_castles|Show castles
qstr_Show_villages|Show villages
qstr_Tip:_move_the_mouse_|Tip: move the mouse onto the black blocks to show their names.
qstr_The_World_Map|The World Map
qstr_Done|Done
qstr_Press_Escape_to_clos|Press Escape to close menu...
qstr_{s7}__s_Army|{s7} 's Army
qstr_Attribute_points_{re|Attribute points {reg40}
qstr_Skill_points_{reg41}|Skill points {reg41}
qstr_Weapon_points_{reg42|Weapon points {reg42}
qstr_Save|Save
qstr_Reset|Reset
qstr_Current:{s1}|Current:{s1}
qstr_{s2}^Base_Attribute:|{s2}^Base Attribute:CHA
qstr_{s2}^Base_Attribute:I|{s2}^Base Attribute:INT
qstr_{s2}^Base_Attribute:A|{s2}^Base Attribute:AGI
qstr_{s2}^Base_Attribute:S|{s2}^Base Attribute:STR
qstr_Battle_role:|Battle role:
qstr_Line_Infantry|Line Infantry
qstr_Light_Infantry|Light Infantry
qstr_Guard_Infantry|Guard Infantry
qstr_Melee_Cavalry|Melee Cavalry
qstr_Ranged_Cavalry|Ranged Cavalry
qstr_Guard_Cavalry|Guard Cavalry
qstr_Next|Next
qstr_Price_{reg42}^Weight|Price {reg42}^Weight {reg43}
qstr_{reg5}_to_{reg6}|{reg5} to {reg6}
qstr_You_can_t_equip_this|You can't equip this item - wrong slot.
qstr_Military_Technologie|Military Technologies of the {s1}
qstr_Research|Research
qstr_Select_technology|Select technology
qstr_Rifled_Caplock^^Musk|Rifled Caplock^^Muskets
qstr_Conversion_Breech_lo|Conversion Breech-loaded^^Rifles
qstr_Modern^^Breech_loade|Modern^^Breech-loaded Rifles
qstr_Breech_loaded^^Canno|Breech-loaded^^Cannons
qstr_Improved_Percussion^|Improved Percussion^^Mechanisms
qstr_Early_Magazine^^Rifl|Early Magazine^^Rifles
qstr_Machine_Guns|Machine Guns
qstr_Modern_Magazine_Rifl|Modern Magazine Rifles
qstr_Light_Machine^^Guns|Light Machine^^Guns
qstr_Landships|Landships
qstr_Crimean_War^^Experie|Crimean War^^Experience
qstr_Skirmish_Line^^Tacti|Skirmish Line^^Tactics
qstr_Modern_Defence^^Tact|Modern Defence^^Tactics
qstr_Modern_Attack_Tactic|Modern Attack Tactics
qstr_Rapid_Firing^^Artill|Rapid Firing^^Artillery
qstr_Infantry_Machine^^Gu|Infantry Machine^^Gun Tactics
qstr_Covering_Fire|Covering Fire
qstr_Gas_Attacks|Gas Attacks
qstr_Shock_Troops|Shock Troops
qstr_You_do_not_have_enou|You do not have enough money.
qstr_faction_technologies|faction technologies tech available
qstr_faction_technologies_|faction technologies tech inprogress
qstr_Rifled_Caplock^Muske|Rifled Caplock^Muskets
qstr_faction_technologies_p|faction technologies photo riflesrifled
qstr_Rapid_Firing^Artille|Rapid Firing^Artillery
qstr_faction_technologies_ph|faction technologies photo modernartillery
qstr_faction_technologies_pho|faction technologies photo modernattack
qstr_Crimean_War^Experien|Crimean War^Experience
qstr_faction_technologies_phot|faction technologies photo crimeanwar
qstr_Modern_Magazine^Rifl|Modern Magazine^Rifles
qstr_faction_technologies_photo|faction technologies photo riflesboltactionmodern
qstr_Conversion_Breech_loa|Conversion Breech-loaded^Rifles
qstr_faction_technologies_photo_|faction technologies photo riflesconverted
qstr_Infantry_Machine^Gun|Infantry Machine^Gun Tactics
qstr_faction_technologies_photo_i|faction technologies photo infantrymgtactics
qstr_faction_technologies_photo_c|faction technologies photo coveringfire
qstr_faction_technologies_photo_g|faction technologies photo gasattacks
qstr_Converted_breech_loa|Converted breech-loaded rifles have several issues. They have big caliber, because of which during fast shooting the barrel heats up so much that it becomes hard to handle rifle during reload or melee fighting. Inserted breech-loading mechanisms are not perfect and often cause cartridge case to jam inside after shot, and being hard to get out. Next step in firearms rearmament should be adopting new breech-loaded rifle: it will have much smaller caliber than before, which will improve bullet ballistics, and will have improved breech-loading mechanism, that will further increase rate of fire by making reloading process easier.^^Effects: army changes it's firearms to small-caliber breech-loading rifles.
qstr_faction_technologies_photo_r|faction technologies photo riflessmallcaliber
qstr_faction_technologies_photo_t|faction technologies photo tanks
qstr_Skirmish_Line^Tactic|Skirmish Line^Tactics
qstr_faction_technologies_photo_s|faction technologies photo skirmishline
qstr_Light_Machine^Guns|Light Machine^Guns
qstr_faction_technologies_photo_l|faction technologies photo lmgs
qstr_Early_Magazine^Rifle|Early Magazine^Rifles
qstr_faction_technologies_photo_ri|faction technologies photo riflesboltaction
qstr_Breech_loaded^Cannon|Breech-loaded^Cannons
qstr_faction_technologies_photo_ca|faction technologies photo cannonsbreechloading
qstr_faction_technologies_photo_m|faction technologies photo machineguns
qstr_Improved_Percussion^M|Improved Percussion^Mechanisms
qstr_faction_technologies_photo_la|faction technologies photo lateshells
qstr_faction_technologies_photo_sh|faction technologies photo shocktroops
qstr_Modern_Defence^Tacti|Modern Defence^Tactics
qstr_faction_technologies_photo_mo|faction technologies photo moderndefence
qstr___already_invested_| (already invested)
qstr___already_researched| (already researched)
qstr__Current_progress___| Current progress - {reg2}%.
qstr_Cost___{reg0}_pounds|Cost - {reg0} pounds{s1}.^Available after {reg1} year.{s2}
qstr_Select_Faction|Select Faction
qstr_Start_Game|Start Game
qstr_Chosen_Faction:^{s1}|Chosen Faction:^{s1}
qstr_Select_flag_for_your|Select flag for your faction
qstr_Peace_negotiations_w|Peace negotiations with {s1}
qstr_Stop_Negotiations|Stop Negotiations
qstr_Make_Peace|Make Peace
qstr_Opposite_side_diplom|Opposite side diplomats^cannot agree with terms
qstr_Current_winner:_{s1}|Current winner: {s1}
qstr_War_reparations_amou|War reparations amount: {reg11} pounds
qstr_Infamy_penalty:_{reg|Infamy penalty: {reg12}
qstr_Cannot_claim_{s31}__|Cannot claim {s31} - it doesn't have supply routes to your faction.
qstr_Diplomats_from_{s32}|Diplomats from {s32} refuse to give {s31} to the {s33}.
qstr_{s1}|{s1}
qstr_Executive_Branch_Com|Executive Branch Composition 
qstr_Not_a_ruling_party.^|Not a ruling party.^Click to make this party^ a ruling party.
qstr_Upper_Class___Aristo|Upper Class - Aristocracy
qstr_Upper_Class___Bourge|Upper Class - Bourgeoisie
qstr_Middle_Class|Middle Class
qstr_Lower_Class___Urban|Lower Class - Urban
qstr_Lower_Class___Rural|Lower Class - Rural
qstr_Loyalty_to_parties:|Loyalty to parties:
qstr_Wealth:_{reg1}%|Wealth: {reg1}%
qstr_Satisfaction_with_ne|Satisfaction with needs: {reg2}%
qstr_Political_activity:_|Political activity: {reg3}%
qstr_State_Laws:|State Laws:
qstr_Nomination_Rules|Nomination Rules
qstr_Upper_Class_Only|Upper Class Only
qstr_Universal|Universal
qstr_Vote_Franchise|Vote Franchise
qstr_Aristocracy_Only|Aristocracy Only
qstr_Upper_and_Middle_Cla|Upper and Middle Class Only
qstr_Universal_Weighted|Universal Weighted
qstr_Voting_System|Voting System
qstr_Ruling_Party_Influen|Ruling Party Influence
qstr_Non_secret_Ballot|Non-secret Ballot
qstr_Secret_Ballot|Secret Ballot
qstr_Press_Censorship|Press Censorship
qstr_State_Press|State Press
qstr_Heavy_Censorship|Heavy Censorship
qstr_Light_Censorship|Light Censorship
qstr_Free_Press|Free Press
qstr_Executive_Branch_Ele|Executive Branch Elective Posts
qstr_Selected_by_State|Selected by State
qstr_Partially_Elected|Partially Elected
qstr_Mostly_Elected|Mostly Elected
qstr_Military_Service_Ter|Military Service Term
qstr_Short|Short
qstr_Medium|Medium
qstr_Long|Long
qstr_Production_Safety_Re|Production Safety Regulations
qstr_Minimum_Wage|Minimum Wage
qstr_Trade_Unions|Trade Unions
qstr_Public_Meetings|Public Meetings
qstr_Income_tax:_{reg10}%|Income tax: {reg10}%
qstr_Goods_and_Services_t|Goods and Services tax: {reg10}%
qstr_Import/Export_tax:_{|Import/Export tax: {reg11}%/{reg12}%
qstr_Military_Expenses:_{|Military Expenses: {reg10}%
qstr_Education_Expenses:_|Education Expenses: {reg10}%
qstr_Infrastructure_Expen|Infrastructure Expenses: {reg10}%
qstr_Healthcare_Expenses:|Healthcare Expenses: {reg10}%
qstr_Slot:_not_selected|Slot: not selected
qstr_Party:_not_selected|Party: not selected
qstr_Party:_{reg1}___{s1}|Party: {reg1} - {s1}
qstr_{reg1}|{reg1}
qstr_N_A|N A
qstr_Slot:_{reg1}|Slot: {reg1}
qstr_JUST_MONIKA_JUST_MON|JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^
qstr_monika1|monika1
qstr_00|00
qstr_{reg1}.{s2}{reg2}_mi|{reg1}.{s2}{reg2} millions of population
qstr_Literacy_is_{reg1}.{|Literacy is {reg1}.{reg2}%
qstr_Urbanization_is_{reg|Urbanization is {reg1}.{reg2}%
qstr_Daily_GDP_is_{reg1}_|Daily GDP is {reg1} pounds.
qstr_{reg1}_craftsmen_{re|{reg1} craftsmen, {reg2} of which are employed^in mass production, and {reg3} are^occupied in handicraft production.
qstr_Region_of_{s1}|Region of {s1}
qstr_Resource_Menu|Resource Menu
qstr_X_thousands_of_popul|X thousands of population
qstr_Literacy_is_X%|Literacy is X%
qstr_Urbanization_is_X%|Urbanization is X%
qstr__+| +
qstr_Balance_change:{s1}{|Balance change:{s1}{reg10} pounds.
qstr_BUY|BUY
qstr_SELL|SELL
qstr_Balance_change:_+0_p|Balance change: +0 pounds.
qstr_Manage_share__Now_is|Manage share (Now is {reg10})%.
qstr_Not_enough_money.|Not enough money.
qstr_Price_history_chart:|Price history chart:
qstr_Country|Country
qstr_Supply|Supply
qstr_Demand|Demand
qstr_Number_of^Factories|Number of^Factories
qstr_Quality|Quality
qstr_GDP|GDP
qstr_Population|Population
qstr_Literacy|Literacy
qstr_Urbanization|Urbanization
qstr_Select_factory_to_bu|Select factory to build:
qstr_Your_current_balance|Your current balance is {reg10} pounds.
qstr_Initial_Capital:_500|Initial Capital: 50000 pounds.
qstr_*Rest_of_initial_bud|*Rest of initial budget will be found via investitions.^Speed of funding depends on region and country.
qstr_Start_Enterprise|Start Enterprise
qstr_pes_region_factoryca|pes region factorycard2
qstr_{s3}|{s3}
qstr_{s2}|{s2}
qstr_Same_type_of_factory|Same type of factory does already exist in this town.
qstr_Initial_Capital:_{re|Initial Capital: {reg10} pounds.
qstr_vSeason|vSeason
qstr_{s1}_of_{s3}_was_def|{s3} {s1}ı yenildi, ama kaçmayı başardı.
qstr_{s54}_is_a_claimant_|{s54}, {s56} tahtında hak talep ediyor.
qstr_nowhere|Hiçbir yer
qstr_{s57}_and_{s58}|{s57} ve {s58}
qstr_{reg3?She:He}|{reg3?O:O}
qstr_The_town_of_{s50}|{s50}
qstr_The_village_of_{s50}|{s52} yakınlarındaki {s50}
qstr_{s51}_belongs_to_{s1|{s51} {s2}ndan {s1}'{.e} ait.^
qstr_{s7}_and_{s8}|{s7} ve {s8}
qstr_{s2}It_has_no_villag|{s2}Hiç köyü yok.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Bağlı köyleri:Bağlı köyü} {s8}.^
qstr_{s63}_is_connected_t|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network. Region of this center has access to a seaport.
qstr_{s63}_is_connected_to|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network.
qstr_{s2}Its_prosperity_i|{s2}Refah durumu: {s50}
qstr_noone|hiçkimse
qstr_{s9}_and_{s10}|{s9} ve {s10}
qstr_{s21}^*_The_{s5}_is_|{s21}^* The {s5} is in alliance with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has|{s21}^* The {s5} has friendly diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_|{s21}^* The {s5} has warm diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_i|{s21}^* The {s5} has indifferent diplomatic relationship with {s14} ({reg11}).
qstr_{s5}_has_been_defeat|{s5} yenildi!
qstr_{s7}_opened_the_gate|{s7} kapıları açtı
qstr_{s7}_closed_the_gate|{s7} kapıları kapattı
qstr_Has_second_barrel__p|Has second barrel (press action^key while aiming to fire a buckshot)
qstr_Uses_pistol_cartridg|Uses pistol cartridges
qstr_Smoothbore_musket|Smoothbore musket
qstr_Rifled_musket|Rifled musket
qstr_Converted_breech_load|Converted breech loaded rifle
qstr_Modern_breech_loaded|Modern breech loaded rifle
qstr_Smoothbore_pistol|Smoothbore pistol
qstr_Revolver__6_rounds_|Revolver (6 rounds)
qstr_Pocket_Revolver__6_r|Pocket Revolver (6 rounds)
qstr_Self_Loading_Pistol_|Self-Loading Pistol (8 rounds)
qstr_Revolver__9_rounds_|Revolver (9 rounds)
qstr_Pump_shotgun__6_roun|Pump shotgun (6 rounds)
qstr_Shotgun__2_rounds_|Shotgun (2 rounds)
qstr_Lever_action_shotgun|Lever action shotgun (6 rounds)
qstr_Lever_action_shotgun_|Lever action shotgun (1 round)
qstr_Bolt_action_magazine|Bolt-action magazine rifle (5 rounds)
qstr_Straight_pull_bolt_a|Straight-pull bolt-action^magazine rifle (5 rounds)
qstr_Bolt_action_magazine_|Bolt-action magazine rifle (4 rounds)
qstr_Bolt_action_magazine_r|Bolt-action magazine rifle (8 rounds)
qstr_Bolt_action_magazine_ri|Bolt-action magazine rifle (10 rounds)
qstr_Pocket_Pistol__6_rou|Pocket Pistol (6 rounds)
qstr_Pocket_Pistol__4_rou|Pocket Pistol (4 rounds)
qstr_Breech_loaded_rifle|Breech loaded rifle
qstr_Lever_action_magazin|Lever action magazine rifle (8 rounds)
qstr_Lever_action_magazine|Lever action magazine rifle (5 rounds)
qstr_Lever_action_magazine_|Lever action magazine rifle (9 rounds)
qstr_Lever_action_magazine_r|Lever action magazine rifle (16 rounds)
qstr_Lever_action_magazine_ri|Lever action magazine rifle (7 rounds)
qstr_+{reg1}_to_party_mor|Grup moraline +{reg1}
qstr_Requires_{reg1}_inte|Okumak için {reg1} zekâ gerekir.
qstr_Reading_Progress:_{r|Okuma süreci: %{reg1}
qstr_wound_treament|yara bakımı
qstr_trainer|talimci
qstr_surgery|cerrahlık
qstr_+1_to_{s1}_while_in_|Envanterdeyken {s1} becerisine +1
qstr_Move_here|Buraya hareket et.
qstr_View_notes|Notlara bak.
qstr_Accompany|Refakat et.
qstr_killed|ölü
qstr_wounded|yaralı
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOPLAM: {reg3} ({s2})
qstr_^None|^Hiç
qstr_nothing|hiç
qstr_{reg0}_village{reg1?|{reg0} köy{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} kale{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} kale{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} şehir{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} şehir{reg1?s:} ve {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} şehir{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Rakiplerin dövüşe hazır.
qstr_Try_to_destroy_as_ma|Olabildiğince fazla hedefi yoketmeye çalış. Pisti tamamlamak için iki buçuk dakikan var.
qstr_Stay_behind_the_line|Çizginin arkasında durup hedefleri vur. Boşa sallamamaya çalış.
qstr_Battle_Advantage_=_{|Savaş Avantajı = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} sonraki emre kadar ordusunu takip etmeni istiyor.
qstr__Being_Raided_|(Saldırı altında)
qstr__Looted_|(Yağmalandı)
qstr__Under_Siege_|(Kuşatma Altında)
qstr_The_village_of_{s1}_|{s1} {s2} tarafından yağmalandı.
qstr_{s3}_is_no_longer_un|{s3} artık kuşatma altında değil.
qstr_Small_bands_of_enemi|{s1} yakınlarında ufak bir düşman grubu tespit edildi.
qstr_Enemy_patrols_spotte|{s1} yakınlarında düşman grubu tespit edildi.
qstr_Medium_sized_group_o|{s1} yakınlarında orta büyüklükte bir düşman grubu tepit edildi.
qstr_Significant_group_of|{s1} yakınlarında kalabalık bir düşman grubu tespit edildi..
qstr_Army_of_enemies_spot|Düşman ordusu {s1} yakınlarında tespit edildi.
qstr_Large_army_of_enemie|Kalabalık bir düşman ordusu {s1} yakınlarında tespit edildi.
qstr_Great_host_of_enemie|Dev bir düşman ordusu {s1} yakınlarında tepsit edildi.
qstr_{s1}_has_been_besieg|{s1} {s3}ndan {s2} tarafından kuşatıldı.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1}'nın yenimareşali {s2}.
qstr_You_gained_{reg12}_r|{reg12} nam kazandın.
qstr_You_lose_{reg12}_ren|{reg12} nam kaybettin.
qstr_Your_relation_with_{|{s1} ile ilişkin ilerledi.
qstr_Your_relation_with_{s|{s1} ile ilişkin geriledi.
qstr_You_gain_honour.|Onur kazandın.
qstr_You_lose_honour.|Onur kaybettin.
qstr_{s1}_has_declared_wa|{s1}, {s2}na savaş açtı.
qstr_{s1}_has_declared_war|{s1} has declared war against {s2} in support of {s31}.
qstr_{s1}_and_{s2}_have_m|{s1} ve {s2} barış anlaşması imzaladılar.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?{s3} topraklarındaydı:şu anda {s3} topraklarında}.
qstr_{s2}_{reg3?was:is}_t|{s2} {s3} topraklarına doğru {reg3?gidiyordu:gidiyor} ve {reg3?:şu sıralar} {s4} yakınlarında {reg3?idi:olmalı}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?kırdaydı:kırda} ve {reg3?: şu sıralar} {s3} {reg3?yakınlarındaydı:yakınlarında olmalı}.
qstr_{s2}_{reg3?was:is}_b|{s2} {s3} zindanında {reg3?hapsedilmişti:tutuluyor}.
qstr_{s2}_{reg3?was:has_b|{s2} düşmanları tarafından esir {reg3?alınmıştı:tutuluyor}. 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} nerede bilinmiyordu:{s2} nerede bilmiyorum}.
qstr_{s6}_has_joined_your|{s6} grubuna katıldı
qstr_You_now_owe_{reg2}_p|You now owe {reg2} pounds to {s1}.
qstr_Renown_value_for_thi|Bu savaşın nam değeri {reg8}.
qstr_You_have_run_into_a_|Bir tuzağa düştün!
qstr_You_are_attacked_by_|Bir grup haydut tarafından saldırıya uğradın!
qstr_Holding|Duruyor
qstr_Following|İzliyor
qstr_Charging|Hücum ediyor
qstr_Advancing|İlerliyor
qstr_Falling_Back|Geri Çekiliyor
qstr_Standing_Closer|Birbirine yaklaşıyor
qstr_Spreading_Out|Birbirinden uzaklaşıyor
qstr_Standing|Duruyor
qstr_N/A|N/A
qstr_Free|Serbest
qstr_Any_Weapon|Silah serbest
qstr_Blunt_Weapons|Bayıltıcı Silahlar
qstr_{s1}_Rebels|{s1} Asileri
qstr_Given_by:_{s62}|{s62} tarafından verildi.
qstr_Given_on:_{s60}|{s60} tarihinde verildi.
qstr_You_have_{reg0}_days|Bu görevi bitirmek için {reg0} günün var.
qstr_This_quest_has_been_|Bu görev sonlandı. Bitirmek için {s59} ile konuş.
qstr_This_quest_has_been_s|Bu görev başarıyla tamamlandı. {s59} ile konuşup ödülünü al.
qstr_This_quest_has_faile|Bu görev başarısız oldu. {s59} ile konuşup durumu açıkla.
qstr_At_the_time_quest_wa|Görev verildiğinde:^{s1}
qstr_{s5}_has_a_strength_|{s5} gücü : {reg1} asker
qstr_The_last_time_you_sa|Onu son gördüğün yer {s1}.
qstr_The_last_time_you_he|Onun hakkında son haber aldığın zaman {s1}.
qstr_Current_garrison_con|Garnizonda {reg5} asker bulunuyor.{reg4?^{reg6} gün yetecek yiyecek stoğu var.:}
qstr_Very_Poor|Çok Fakir
qstr_Poor|Fakir
qstr_Average|Ortalama
qstr_Rich|Zengin
qstr_Very_Rich|Çok Zengin
qstr_Manor|Malikane
qstr_A_manor_lets_you_res|Malikane köyde kalmanı sağlar ve  burada kalırken askerlerin maaşını yarıya düşürür.
qstr_Mill|Değirmen
qstr_A_mill_increases_vil|Değirmen köyün refah seviyesini %5 artırır.
qstr_Watch_Tower|Gözcü Kulesi
