dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_drunk_player_high_renown:drunk_player_high_renown|Em... Właściwie... Tak, doskonale wiem, kim jesteś, {panie/pani}. Wybacz mi, proszę, wasza miłość, chyba za dużo wypiłem. Pójdę już...
dlga_drunk_player_high_renown:drunk_fight_start.1|Jeśli chcesz walczyć, niech i tak będzie!
dlga_drunk_player_high_renown:close_window|Tak mi się właśnie wydawało. Zabieraj się stąd.
dlga_start:fistfight_response|Wyglądasz na {męża/niewiastę}, co żadnej pracy się nie boi. Mam dla ciebie propozycję.
dlga_fistfight_response:fistfight_response_2|Każde zajęcie jest godne uwagi. Zatem słucham, co masz do zaproponowania.
dlga_fistfight_response_2:fistfight_response_2a|Dobrze, cieszę się, że jesteś zainteresow{any/ana}. Oto plan... Jest dość skomplikowany, więc słuchaj uważnie.
dlga_fistfight_response_2a:fistfight_response_3|Ty i twój przeciwnik rozpoczniecie walkę. Bez broni i zbroi. Ja usiądę tutaj i będę przyjmował zakłady, a po walce podzielę się profitami ze zwycięzcą. Pokryję również poniesione straty. Ty nie masz nic do stracenia, oczywiście oprócz odrobiny krwi.
dlga_fistfight_response_3:fistfight_response_4|Oczywiście, nie możemy tego zorganizować, jak te wszystkie ładne turnieje, gdzie wszyscy obstawiają z góry. Będziemy musieli przyciągnąć ludzi odgłosami walki, a gdy wejdą, obstawią tego, kto według nich ma większe szanse na wygraną. Dam im równy kurs, ponieważ wszystkie inne możliwości będą za trudne dla kogoś po kilku głębszych.
dlga_fistfight_response_4:fistfight_response_4a|Jak widzisz, sztuczka polega na tym, że musisz przeciągać walkę jak najdłużej, w taki sposób, żeby wszyscy myśleli, że przegrywasz. Ludzie będą stawiali przeciw tobie, a ty odwrócisz losy walki w ostatnim momencie. Najlepszym sposobem na zdobycie pieniędzy jest zostać zbitym na kwaśne jabłko, a następnie podnieść się i wygrać. Musisz to zrobić pod koniec walki, inaczej ani ja, ani ty, nic nie zarobimy.
dlga_fistfight_response_4a:fistfight_response_5|Oczywiście, nie możesz przeciągać walki za bardzo, ponieważ ludzie zaczną podejrzewać ustawkę. Każde z was będzie musiało zadać kilka ciosów co chwilę. Nie dbam o to, kto zostanie ranny, ale widzowie muszą zobaczyć krew.
dlga_fistfight_response_5:fistfight_response_5a|Jeszcze jedno. Mój kolega, z którym przyjdzie ci się zmierzyć, nie jest zbyt bystry. Będzie szedł prosto na ciebie. Do ciebie należy wprowadzenie inwencji twórczej.
dlga_fistfight_response_5a:fistfight_response_confirm|I jak ci się to podoba?
dlga_fistfight_response_confirm:close_window.1|Mam lepsze rzeczy do roboty
dlga_start:ramun_introduce_1|Witaj {młodzieńcze/młoda damo}.
dlga_ramun_introduce_1:ramun_introduce_2|Wybacz, wyglądasz mi na kupca, ale nie widzę żadnych towarów.
dlga_ramun_introduce_1:close_window|Nieważne.
dlga_ramun_introduce_2:ramun_introduce_3|Kupiec? Och, tak, jestem kupcem. Mój towar różni się jednak nieco od tradycyjnych. Trzeba go karmić i poić dwa razy dziennie, a kiedy się odwrócę, próbuje uciekać.
dlga_ramun_introduce_3:ramun_introduce_4|Zwierzę?
dlga_ramun_introduce_4:ramun_introduce_5|Blisko. Lubię określać siebie mianem człowieka, który porusza każdą łodzią na tym oceanie. Łodzie sterowane są wiosłami, a wiosła potrzebują ludzi, w przeciwnym razie zatrzymają się. Tu właśnie ja wkraczam.
dlga_ramun_introduce_5:ramun_introduce_6|Galernicy.
dlga_ramun_introduce_6:ramun_introduce_7|No, wreszcie chwytasz! Taki port handlowy jak ten, nie poradziłby sobie bez nich. Na statkach, za każdym razem, kilka par rąk odpadnie, więc zawsze jest na nich duży popyt. Kapitanowie przychodzą do mnie i dobrze płacą.
dlga_ramun_introduce_7:ramun_introduce_8|Skąd są ci niewolnicy?
dlga_ramun_introduce_8:ramun_introduce_9|W większości są to skazani przestępcy, których odkupuję od władz. Inni to jeńcy wojenni z różnych krajów, którzy trafiają do mnie, ponieważ oferuję najlepsze ceny. Jednak od czasu do czasu, kupuję również od piratów i innych... ''indywiduów''. W tym zawodzie nie można wybrzydzać w kwestii towaru. Nie masz przypadkiem tutaj jakichś więźniów?
dlga_ramun_introduce_9:ramun_introduce_10|Ja? 
dlga_ramun_introduce_10:ramun_introduce_11|Dlaczego nie? Jeśli zamierzasz postawić stopę za tym miastem, prędzej czy później będziesz musiał skrzyżować z kimś miecze. I, daj Boże, abyś wyszedł na tym dobrze. Dlaczego przy okazji nie zarobić paru groszy? Weź ich żywcem, przyprowadź do mnie, a ja zapłacę ci pięćdziesiąt denarów od głowy. Nie obchodzi mnie, skąd pochodzą i kim są.
dlga_ramun_introduce_11:ramun_introduce_12|Hm. Muszę to przemyśleć.
dlga_ramun_introduce_12:close_window|Nie myśl o tym! Można tu zarobić sporo srebra, mówię ci. Więcej, niż dla nas dwóch.
dlga_start:ramun_talk|Witaj, {playername}.
dlga_ramun_pre_talk:ramun_talk|Coś jeszcze?
dlga_ramun_talk:ramun_sell_prisoners|Przyprowadziłem ci więźniów, Ramun. Chcesz rzucić na nich okiem?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Niech no zobaczę, co tam masz...
dlga_ramun_sell_prisoners_2:close_window|Interesy z tobą to czysta przyjemność.
dlga_ramun_talk:ramun_ask_about_capturing|W jaki sposób mam kogoś wziąć do niewoli?
dlga_ramun_talk:ramun_ask_about_capturing.1|Możesz jeszcze raz opowiedzieć mi o łapaniu więźniów?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Dopiero zaczynasz w tym temacie, co? Wyjaśnię ci to w prosty sposób. Podstawową zasadą przy braniu kogoś do niewoli jest ogłuszenie za pomocą tępej broni, takiej jak kij czy maczuga, a nie używanie miecza. W ten sposób delikwent idzie spać, a nie wykrwawia się na śmierć, rozumiesz? Zakładam, że masz przy sobie jakąś tępą broń...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Oczywiście.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Prawdę mówiąc, nie.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Dobrze. Pozostaje ci więc tylko powalić bydlaka, a kiedy jest po wszystkim, zakuć go w żelazo. W przypadku arystokratów i takich tam, jest nieco inaczej. Zwykle są na tyle chronieni, że nie ma znaczenia, jakiej broni używasz, ale przeciętny demagog wykrwawi się jak prosię, jeśli trafisz go czymś ostrym. Nie mam wielu wymagań w kwestii towaru, ale nalegam, by oddychali, kiedy ich kupuję.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Nie? Ha, no cóż, to musi być twój szczęśliwy dzień. Mam tu gdzieś starą maczugę, którą i tak chciałem wyrzucić. Jest nieco sfatygowana, ale wciąż dobra do tego, by kogoś unieruchomić. Bierz, proszę.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Dzięki, Ramun. Może wkrótce ją wypróbuję.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|W porządku, postaram się jeszcze raz wyjaśnić ci wszystko w prosty sposób. Podstawową zasadą przy braniu kogoś do niewoli jest ogłuszenie za pomocą tępej broni, takiej jak kij czy maczuga, a nie używanie miecza. W ten sposób delikwent idzie spać, a nie wykrwawia się na śmierć, rozumiesz? W przypadku arystokratów i takich tam, jest nieco inaczej. Zwykle są na tyle chronieni, że nie ma znaczenia, jakiej broni używasz, ale przeciętny demagog wykrwawi się jak prosię, jeśli trafisz go czymś ostrym.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|W porządku, chyba już rozumiem. Coś jeszcze?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|No cóż, to nie jest takie proste. Broń obuchowa nie zadaje tylu obrażeń co ostra, więc tak szybko nie powalisz swoich wrogów. I uwierz mi, większość szumowin, jakie napotkasz, zechce zabić cię momentalnie, więc nie spodziewaj się grzeczności, kiedy wyjmiesz maczugę zamiast miecza. Co więcej, ciągając za sobą więźniów, będziesz spowalniać drużynę, dlatego większość ludzi po prostu wypuszcza jeńców po zakończeniu walki. To szaleństwo. Jak ludzie mogą rezygnować ze srebra?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Czy to wszystko?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Jeszcze jedna rzecz. Bezpieczne nadzorowanie więźniów nie jest proste, więc możesz to nazwać umiejętnością samą w sobie. Jeśli chcesz pojmać wielu więźniów, musisz spróbować poznać zasady tego fachu, w przeciwnym razie nie dasz sobie rady z jednym człowiekiem.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Dzięki, zwrócę na to uwagę.
dlga_ramun_talk:ramun_leave|Lepiej już pójdę.
dlga_ramun_leave:close_window|Pamiętaj, jeśli będziesz miał jakiegoś więźnia, przyprowadź go do mnie. Zapłacę dobrą cenę za każdego.
dlga_start:close_window.3|Upraszam waszą lordowską mość, by trzymała ręce na widoku.
dlga_start:manhunter_talk_b|Hej, ty! Nie było tu jakichś przestępców?
dlga_manhunter_talk_b:manhunter_talk_b1|Tak, przeszli tędy jakąś godzinę temu.
dlga_manhunter_talk_b1:close_window|Wiedziałem! Dalej {panowie/panowie i panie}, dopadnijmy sukinsynów! Wielkie dzięki, {przyjacielu/koleżanko}.
dlga_manhunter_talk_b:manhunter_talk_b2|Nie, ostatnio żadnych przestępców me oczy nie widziały.
dlga_manhunter_talk_b2:close_window|Ba! Zagnieździli się w tym kraju jak szczury, ale prędzej czy później wykurzymy ich stąd.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Nie boję się was. Walcz ze mną, jeśli się odważysz!
dlga_looters_2:close_window.1|Nie dostaniesz ode mnie niczego poza zimną stalą śmieciu.
dlga_start:village_farmer_talk| {Panie/Pani}, jesteśmy tylko biednymi farmerami z wioski {s11}. {reg1?Zabieramy nasze produkty na rynek w miejscowości {s12}.:Wracamy z rynku z miejscowości {s12}, z powrotem do naszej wioski.}
dlga_village_farmer_talk:farmer_bandit_information|Poluję na grupę bandytów, którzy pasują do opisu... Nie rzucili ci się przypadkiem w oczy?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Zobaczymy, jacy jesteście biedni, kiedy zabierzemy to co macie!
dlga_village_farmer_talk:close_window.1|Śmiało, w takim razie. Żegnaj.
dlga_start:minister_issues|Jestem do twojej dyspozycji, {panie/pani}.
dlga_start:close_window.4|To był prawdziwy zaszczyt służyć ci, {panie/pani}.
dlga_start:member_castellan_talk|Tak, {playername}? Co mogę dla ciebie zrobić?
dlga_member_castellan_pretalk:member_castellan_talk|Coś jeszcze?
dlga_member_castellan_talk:member_review_castle_garrison|Chcę przyjrzeć się zamkowemu garnizonowi.
dlga_member_review_castle_garrison:member_castellan_pretalk|Oczywiście. Oto nasze listy, poinformuj mnie o wszelkich niezbędnych zmianach...
dlga_member_castellan_talk:member_review_castellan_equipment|Chcę zobaczyć twoje wyposażenie.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Proszę bardzo, wszystko tu jest...
dlga_member_castellan_talk:member_castellan_join|Chcę, abyś opuścił zamek i dołączył do mojej drużyny.
dlga_member_castellan_join:close_window|Przyznam, że polubiłem to miejsce... Ale jeśli takie jest twoje życzenie, {playername}, pójdę z tobą.
dlga_member_castellan_join:member_castellan_pretalk|A gdzie będziemy spać? {playername}, ciągniesz ze sobą całą armię,  nie ma miejsca dla nas wszystkich.
dlga_member_castellan_talk:close_window|[Odejdź]
dlga_start:close_window.5|Ruszymy, kiedy będziesz gotów.
dlga_start:close_window.6|Proszę, nie marnuj więcej mojego czasu, {panie/pani}. Może spotkamy się jeszcze w podróży.
dlga_member_chat:kidnapped_girl_chat_1|Czy jesteśmy już w domu?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Jeszcze nie.
dlga_kidnapped_girl_chat_2:close_window|Nie mogę się doczekać powrotu. Tak bardzo tęsknię za rodziną, oddałabym wszystko, żeby ich znów zobaczyć.
dlga_member_chat:member_lady_1|{playername}, jak sądzisz, kiedy dotrzemy do celu?
dlga_member_lady_1:member_lady_2a|Wciąż mamy przed sobą daleką drogę.
dlga_member_lady_1:member_lady_2b|Wkrótce. Jesteśmy już prawie na miejscu.
dlga_member_lady_2a:close_window|Ach, w takim razie nacieszę się jeszcze drogą. Nie będę narzekać. Jazda na otwartej przestrzeni jest znacznie ciekawsza od siedzenia w zamku przez cały dzień. Wiesz, zazdroszczę ci, możesz tak żyć przez cały czas.
dlga_member_lady_2b:close_window|Dobre wieści. Nie, żeby było mi źle w twoim towarzystwie, ale tęsknię za moimi słodkimi luksusami. Mimo to żałuję, że wkrótce cię opuszczę. Musisz mi obiecać, że pojawisz się z wizytą przy każdej możliwej okazji.
dlga_member_chat:supported_pretender_talk|Witaj, {playername}, mój pierwszy i najważniejszy wasalu. Oczekuję na twoje rady.
dlga_supported_pretender_pretalk:supported_pretender_talk|Coś jeszcze?
dlga_supported_pretender_talk:pretender_progress|Co myślisz o naszym dotychczasowym postępie?
dlga_pretender_progress:pretender_progress_2|{reg11?Po naszej stronie stoi {reg11} lordów:Żaden lord nie stoi jeszcze po naszej stronie}, podczas gdy {reg21?{s9} ma wciąż {reg21} lordów, którzy go wspierają:{s9} nie ma żadnych lojalnych lordów}. {reg19?Mamy pod kontrolą {reg13?miasta w liczbie {reg13}, :}{reg14?zamki w liczbie {reg14}, :}{reg15?a także wioski w liczbie {reg15}:}:Nie mamy kontroli nad żadnymi miejscowościami}, podczas gdy {reg29?oni posiadają {reg23?miast - {reg23}, :}{reg24?zamków - {reg24} :}{reg25?oraz wiosek - {reg25}:}:oni nie mają już żadnych osad}. Łącznie {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Musimy w takim razie walczyć dalej i wspierać naszych stronników!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Wygląda na to, że ta rebelia prowadzi donikąd. Musimy się poddać.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, nie możesz mnie teraz opuścić. Mówisz poważnie?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|W rzeczy samej. Nie mogę cię już dłużej wspierać.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|To tylko żart. Będę walczyć dla ciebie aż do zwycięstwa.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Czy to ostateczna decyzja? Nigdy ci nie wybaczę, jeśli mnie teraz zostawisz.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Tak, to ostateczna decyzja.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Zastanowię się jeszcze nad tym.
dlga_pretender_quit_rebel:close_window|Niech tak będzie. Moje plany legły w gruzach. Teraz pozostaje mi tylko jedno. Odejdę z Calradii i nigdy nie wrócę. Gdy mnie nie będzie, możesz spróbować zawrzeć pokój na linii twoje królestwo - {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Pani:Panie}, czy pozwolisz, że sprawdzę twój sprzęt?
dlga_supported_pretender_equip:supported_pretender_pretalk|Proszę bardzo, wszystko tu jest...
dlga_supported_pretender_talk:pretneder_view_char_requested|Czy możesz opowiedzieć mi o swoich umiejętnościach?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|No cóż, w porządku.
dlga_supported_pretender_talk:supported_pretender_grant_fief|Sugeruję, że {powinieneś/powinnaś} wybrać, który z obecnych lordów dostanie lenno.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Które lenno masz na myśli?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|A kto winien je dostać?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Nieważne.
dlga_supported_pretender_talk:close_window|Ruszajmy w drogę, {reg65?pani:panie}.
dlga_do_member_trade:member_talk|Coś jeszcze?
dlga_member_pretalk:member_talk|Coś jeszcze?
dlga_member_chat:member_talk|Tak, {s5}?
dlga_member_talk:member_direct_campaign|Jako marszałek, pragnę przydzielić ci zadanie wysłania wiadomości do wasali tego królestwa.
dlga_member_talk:member_trade|Chcę zobaczyć twoje wyposażenie.
dlga_member_trade:do_member_trade|Proszę bardzo, wszystko tu jest...
dlga_member_talk:view_member_char_requested|Co możesz mi powiedzieć o swoich umiejętnościach?
dlga_view_member_char_requested:do_member_view_char|W porządku, powiem ci...
dlga_member_talk:member_separate|Musimy się na jakiś czas rozdzielić.
dlga_member_separate:member_separate_confirm|Och, naprawdę? No cóż, nie zamierzam tutaj czekać. Udam się do miasta w poszukiwaniu innej pracy. Czy tego właśnie chcesz?
dlga_member_separate:companion_quitting|Cóż, jest coś, o czym muszę ci powiedzieć.
dlga_member_separate_confirm:member_separate_yes|Zgadza się. Musimy się rozdzielić.
dlga_member_separate_confirm:do_member_trade|Nie, wolę cię mieć w pobliżu.
dlga_member_separate_yes:close_window|Cóż... W takim razie ruszam w drogę. Poszukaj mnie w razie potrzeby.
dlga_member_talk:member_question|Chciał{bym/abym} cię o coś zapytać.
dlga_member_talk:close_window|Nieważne.
dlga_member_question:member_question_2|Dobrze. O co chcesz zapytać?
dlga_member_question_2:member_morale|Co myślisz na temat tego wszystkiego, co dzieje się w tej kompanii?
dlga_member_question_2:member_background_recap|Opowiedz mi jeszcze raz swoją historię.
dlga_member_question_2:member_kingsupport_1|Chyba wiesz, że aspiruję do miana {króla/królowej} tych ziem?
dlga_member_question_2:member_intelgathering_1|Masz jakieś kontakty, które mogłyby się przydać w tej sprawie?
dlga_member_question_2:member_fief_grant_1|Czy interesuje cię lenno?
dlga_member_morale:do_member_trade|{s21}
