str_no_string|NO STRING!
str_village_prosperity_100|Wioska {s60}, otoczona rozległymi, żyznymi polami, wygląda na niezwykle bogatą.
str_town_alt_prosperity_0|Te kilka przedmiotów na rynku zdaje się zbyt drogie dla mieszkańców. Lud jest niedożywiony, zwierzęta chorują i padają, a narzędzia są chyba zniszczone. Małe uliczki opuszczono - panoszą się tam stada much i bezpańskie psy.
str_town_alt_prosperity_20|Na rynku słychać narzekania na ceny artykułów codziennego użytku, a sklepy są w połowie puste. Niedożywienie widać tak po ludziach, jak i po zwierzętach, a budynki i narzędzia wymagają naprawy. Wielu zapewne uciekło gdzie indziej w poszukiwaniu pracy.
str_town_alt_prosperity_40|Na rynku czasem słychać narzekania na ceny artykułów codziennego użytku, ale wygląda na to, że oferta jest wystarczająco bogata. Czasem widzisz gdzieś opuszczony budynek, sklep lub wóz, ale to nic niezwykłego. 
str_town_alt_prosperity_60|Ludność wygląda na dobrze odżywioną i ogólnie zadowoloną. Rzemieślnicy prowadzą kwitnące warsztaty, a z innych regionów czasem przybywają tu imigranci w poszukiwaniu szczęścia.
str_town_alt_prosperity_80|Mury, ulice i domy są zadbane. Rynki pełne są przybyszów z pobliskich regionów. Przybywają przyciągnięci dostępnością dóbr i pracy. Młoty i krosna wystukują rytm dobrze prosperujących warsztatów rzemieślniczych.
str_village_alt_prosperity_0|Tylko garstka ludzi ma dość siły, by pracować na polach, które teraz zarastają chwastami. Reszta ludności jest słaba i niedożywiona, a część zdążyła już uciec. Zwierzęta pociągowe padły z głodu lub zostały zjedzone, choć zdarza się znaleźć na peryferiach truchło z kośćmi przeżutymi przez dzikie zwierzęta.
str_village_alt_prosperity_20|Garstka gospodarzy wraz ze zwierzętami pracuje na polach, chociaż ich niewielka populacja sugeruje raczej, że niektórzy chłopi emigrują w poszukiwaniu strawy. Narzędzia gospodarskie wydają się pordzewiałe i zepsute. Na odleglejsze pola powracają chwasty i krzewy.
str_village_alt_prosperity_40|Na polach i w ogródkach widać chłopów trudzących się zajęciami właściwymi dla pory roku. Zarówno ludzie jak i zwierzęta wydają się zdrowi i dobrze odżywieni. Jednakże, niewielka liczba leżących na skraju wsi pól pozostaje niezaorana, a część murów pozostaje nienaprawiona. Można z tego wywnioskować, że wciąż brakuje nieco rąk, zdolnych wykonać wszystkie potrzebne prace.
str_village_alt_prosperity_60|Na polach i w ogrodach praca wre. Pełne ziarna worki i suszące się mięso to dowód produktywności pól i pastwisk tej wioski.
str_village_alt_prosperity_80|Na polach i w ogrodach praca wre. Niedawno wykopane rowy irygacyjne dają dowód, iż chłopi mają dość czasu i energii, by rozszerzać swe hodowle. Robotnicy sezonowi przybywają w te okolice, by pomóc przy pracy i skorzystać z miejscowego bogactwa.
str_oasis_village_alt_prosperity_0|Gaje palmowe opuszczono, a nawadniające je kanały irygacyjne zapchane są nieczystościami. Garstka wieśniaków, którą udało ci się zauważyć, wydawała się niedożywiona i niespokojna. Zwierzęta pociągowe padły z głodu lub zostały zjedzone, chodź na peryferiach leżą jeszcze truchła, z ogryzionymi przez pustynne szakale kośćmi.
str_oasis_village_alt_prosperity_20|Ledwie kilku chłopów zajmuje się tu gajami palmowymi. Miejscami pustynne wydmy wdzierają się na powrót do ogrodów. Wiele kanałów pozostaje zatkanych, a studnie i zbiorniki wypełnia piach.
str_oasis_village_alt_prosperity_40|Mężczyźni i kobiety znoją się przy gajach palmowych i wspinają na drzewa, by zapylić owoce. Zdrowe zwierzęta ciągną pompy i koła, które nawadniają pola. Niektóre kanały irygacyjne i cysterny wymagają jednak dodatkowej opieki.
str_oasis_village_alt_prosperity_60|W gajach palmowych i ogrodach praca wre. Chłopi pokrzykują do siebie radośnie z koron drzew, gdzie zapylają owoce. Skrzypienie drewnianych pomp, porykiwanie pociągowych zwierząt i szum płynącej wody to pieśń dobrze działającego i otoczonego opieką przez mieszkańców systemu nawadniającego.
str_oasis_village_alt_prosperity_80|W gajach palmowych praca wre, a plony trafiają na wozy, by znaleźć się na rynku. Chłopi kopią nowe studnie i kanały, by nawodnić kolejne połacie ziemi.
str_acres_grain|akry pól uprawnych
str_acres_orchard|akry ogrodów i winnic
str_acres_oasis|akry nawodnionych ogrodów w oazach
str_looms|krosna
str_boats|łodzie
str_head_cattle|pogłowie bydła
str_head_sheep|pogłowie owiec
str_mills|młyny
str_kilns|piece
str_pans|panewki
str_deposits|złoża
str_hives|ule
str_breweries|browary
str_presses|prasy
str_smithies|kuźnie
str_caravans|karawany
str_traps|dwukółki
str_gardens|małe ogrody
str_tanneries|garbarnie
str_master_miller|Mistrz młynarski
str_master_brewer|Mistrz piwowar
str_master_presser|Mistrz wytłaczania
str_master_smith|Mistrz kowalski
str_master_tanner|Mistrz garbarz
str_master_weaver|Mistrz tkacz
str_master_dyer|Mistrz farbiarz
str_war_report_minus_4|jesteśmy o krok od przegrania wojny
str_war_report_minus_3|sytuacja wygląda kiepsko
str_war_report_minus_2|sprawy nie układają się po naszej myśli
str_war_report_minus_1|wciąż są szanse na wygranie wojny
str_war_report_0|nasze szanse są takie jak wroga
str_war_report_plus_1|mamy całkiem duże szanse na wygranie wojny
str_war_report_plus_2|sprawy układają się całkiem dobrze
str_war_report_plus_3|nie mamy trudności z pokonaniem wroga
str_war_report_plus_4|jesteśmy o krok od wygrania wojny
str_persuasion_summary_very_bad|{s50} opiera się wszystkim twoim argumentom. Za każdym razem, kiedy już zaczynasz mówić z sensem, nagle rzucasz jakieś niewłaściwe słowo, które wybija cię z rytmu. Kiedy kończysz swoją wypowiedź, nie udaje ci się utworzyć nawet jednego spójnego argumentu i zdajesz sobie sprawę, że jedyne, co udało ci się osiągnąć, to jeszcze większe pogrążenie się. Jak można się było spodziewać, {s50} nie wygląda na kogoś, na kim zrobiła wrażenie twoja mowa.
str_persuasion_summary_bad|{s50} od samego początku dysponuje lepszymi argumentami, podczas gdy próbujesz {reg51?ją:jego} przekonać do swoich racji. Z twoich ust, nawet najlepsze argumenty brzmią dla ciebie same{go/ej} pusto. {s50} również nie wyrabia sobie dobrej opinii na temat twoich wypowiedzi.
str_persuasion_summary_average|{s50} okazuje się być dobrym mówcą o przenikliwym umyśle i nie jesteś w stanie powiedzieć niczego konkretnego, na co nie {reg51?miałaby:miałby} gotowej odpowiedzi. Ostatecznie, żadne z was nie wychodzi zwycięsko z tej dyskusji
str_persuasion_summary_good|Dzięki szybkiemu myśleniu i gładkiej argumentacji udaje ci się wygłosić dobrą mowę, która zmusza: {s50} do ustąpienia w kilku kwestiach. Wciąż jednak wyraża {reg51?ona:on} wątpliwości związane z twoją prośbą.
str_persuasion_summary_very_good|Wygłaszasz mowę pełną pasji, która brzmi w uszach wszystkich słuchających niczym poezja. Cały świat zdaje się ucichnąć, aby dobrze usłyszeć twoje słowa. {s50} głęboko poruszają te inspirujące myśli, przez co jest {reg51?ona:on} bardziej {reg51?skłonna:skłonny} do służenia tobie pomocą.
str_secret_sign_1|Wielka szafa tańczy o północy...
str_secret_sign_2|Sprzedaję te wspaniałe khergickie gobeliny. Czy chcesz kilka z nich kupić?
str_secret_sign_3|Przysyła mnie przyjaciel...
str_secret_sign_4|Wiatr wieje mocno ze wschodu i rzeka zabarwia się purpurą...
str_countersign_1|Ale czy tańczy dla kredensu czy świecznika?
str_countersign_2|Tak, czy masz jakieś niebieskie?
str_countersign_3|Ale, mój przyjacielu, przyjaciel twojego przyjaciela nigdy nie będzie mieć takiego przyjaciela, jak ja.
str_countersign_4|Czy dopadła cię ostatnio choroba?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} z Uxhal
str_surname_2|{s50} z Wercheg
str_surname_3|{s50} z Reyvadinu
str_surname_4|{s50} z Suno
str_surname_5|{s50} z Jelkali
str_surname_6|{s50} z Veluki
str_surname_7|{s50} z Halmar
str_surname_8|{s50} z Curaw
str_surname_9|{s50} z Sargoth
str_surname_10|{s50} z Tihr
str_surname_11|{s50} z Zendaru
str_surname_12|{s50} z Rivacheg
str_surname_13|{s50} z Wercheg
str_surname_14|{s50} z Ehlerdag
str_surname_15|{s50} z Yaragar
str_surname_16|{s50} z Burglen
str_surname_17|{s50} z Shapeshte
str_surname_18|{s50} z Hanun
str_surname_19|{s50} z Saren
str_surname_20|{s50} z Tosdhar
str_surname_21|{s50} Długi
str_surname_22|{s50} Ponury
str_surname_23|{s50} Brodaty
str_surname_24|{s50} Wróbel
str_surname_25|{s50} Ubogi
str_surname_26|{s50} Bliznowaty
str_surname_27|{s50} Sprawiedliwy
str_surname_28|{s50} Posępny
str_surname_29|{s50} Rudy
str_surname_30|{s50} Czarny
str_surname_31|{s50} Wysoki
str_surname_32|{s50} Gwieździstooki
str_surname_33|{s50} Nieustraszony
str_surname_34|{s50} Chwalebny
str_surname_35|{s50} Przebiegły
str_surname_36|{s50} Tchórz
str_surname_37|{s50} Jasny
str_surname_38|{s50} Szybki
str_surname_39|{s50} Minstrel
str_surname_40|{s50} Łysy
str_surname_41|{s50} Narwany
str_surnames_end|koniec nazwisk
str_number_of_troops_killed_reg1|Liczba zabitych jednostek: {reg1}
str_number_of_troops_wounded_reg1|Liczba ranionych jednostek: {reg1}
str_number_of_own_troops_killed_reg1|Liczba zabitych jednostek sojuszniczych: {reg1}
str_number_of_own_troops_wounded_reg1|Liczba ranionych jednostek sojuszniczych: {reg1}
str_retreat|Odwrót!
str_siege_continues|Walka trwa...
str_casualty_display|Twoje straty: {s10}^Straty wroga: {s11}{s12}
str_casualty_display_hp|^Trafiono cię i tracisz {reg1} punktów zdrowia.
str_quest_log_updated|Dziennik zadań został zaktualizowany...
str_banner_selection_text|Nadano ci prawo noszenia sztandaru. Sztandar należący do ciebie wskazuje twój status i przynosi ci chwałę. Który sztandar chcesz wybrać?
str_retirement_text_1|Niestety za późno orientujesz się, że twoje pieniądze nie wystarczyły na długo. W krótkim czasie trwonisz to, co udało ci się zaoszczędzić i podróżujesz w biedzie, rozpaczliwie próbując od nowa rozpocząć karierę łowcy przygód. Kończysz jako żebrak w {s9}, żyjąc z jałmużny i pomocy kościoła.
str_retirement_text_2|Niestety za późno orientujesz się, że twoje pieniądze nie wystarczyły na długo. W krótkim czasie trwonisz to, co udało ci się zaoszczędzić. Kiedy ostatni denar wyparowuje ci z rąk, nie masz innego wyjścia, jak rozpocząć przestępcze życie na ulicach miasta {s9}, używając swoich umiejętności do zdobywania miedziaków od kobiet i ubogich mieszczan.
str_retirement_text_3|Niestety za późno orientujesz się, że twoje pieniądze nie wystarczyły na długo. W krótkim czasie trwonisz to, co udało ci się zaoszczędzić i kończysz jako ubogi włóczęga, chodząc od tawerny do tawerny, żebrząc o alkohol wśród bywalców i opowiadając im wojenne historie, w które już nikt nie wierzy.
str_retirement_text_4|Srebro, które udało ci się zaoszczędzić nie wystarcza na długo, udaje ci się jednak odłożyć dość, aby kupić trochę ziemi nieopodal wioski {s7}. Tam zostajesz {wolnym farmerem/wolną gospodynią} i wkrótce zaczynasz przyciągać {potencjalne żony/potencjalnych mężów}. Z czasem wieśniacy zaczynają cię traktować jak {miejscowego bohatera/miejscową bohaterkę}. Zawsze otrzymujesz honorowe miejsce na biesiadach, a o twoich wyczynach opowiada się w gospodach i tawernach, aby pamięć o tobie już nigdy nie przepadła.
str_retirement_text_5|Srebro, które udało ci się zaoszczędzić nie wystarcza na długo, ale było go wystarczająco wiele, aby kupić małą tawernę w miejscowości {s9}. Choć miejscowi początkowo byli do ciebie wrogo nastawieni, szybko stajesz się {jednym z nich/jedną z nich}. Z czasem twoja rozrastająca się tawerna zostaje popularnym miejscem spotkań i biesiad. Dzięki twojej renomie i wygłaszanych przez ciebie epickich opowieściach o dawnych czasach, ludzie przebywają całe mile, aby tu zjeść lub przenocować. 
str_retirement_text_6|Podczas swojej kariery udało ci się mądrze zaoszczędzić pieniądze. Dzięki temu posunięciu, teraz twoje srebro i inteligencja umożliwia ci dokonanie znakomitych inwestycji na przyszłość. Po kupnie kilku sklepów i magazynów w miejscowości {s9}, twoja przenikliwość zmienia cię w jednego z najlepszych kupców w mieście i wkrótce stajesz się {bogatym mężczyzną, znanym/bogatą kobietą, znaną} zarówno z twojego handlowego imperium, jak i z wyczynów w bitwach.
str_retirement_text_7|Zostajesz {arystokratą/arystokratką} posiadając{ym/ą} ziemię, mimo że nie jest to wielki majątek, to jednak zabezpiecza twoją przyszłość. Osiadasz w swojej rezydencji w miejscowości {s7}, administrując wioską i polami, orzekając w miejscowych sądach i wypełniając swoje obowiązki względem lennego pana. Okazjonalnie wzywa cię on do dowodzenia podczas kampanii, lecz te zadania są krótkie i nigdy tak naprawdę nie wracasz do dni pełnych przygód. Masz już fortunę. Dzięki swojemu majątkowi i posiadłościom, niewiele jest takich rzeczy, na które nie możesz sobie pozwolić.
str_retirement_text_8|Nie ma wątpliwości, że w swoim życiu {odniosłeś/odbiosłaś} sukces. Twoje rozległe posiadłości oraz majątek zgromadzony podczas przygód gwarantują ci bogate i łatwe życie do końca twoich dni. Osiadasz w rezydencji w miejscowości {s8}, zamieniasz przygody na politykę i wkrótce stajesz się wielce wpływową osobą w królestwie swojego pana lennego. Dzięki intrygom dworskim, własnym lasom, w których możesz polować, salom, w których możesz biesiadować i setkom wojennych opowieści z przeszłości, kolejne lata spędzasz tak dobrze, jak to tylko możliwe.
str_retirement_text_9|W nagrodę za kompetentną i lojalną służbę, pan lenny nadaje ci tytuł {spadkobiercy/spadkobierczyni}, dzięki czemu dołączasz do największych arystokratów w królestwie. Wkrótce kończysz swoją inwestyturę jako {baron/baronowa} reprezentujący  {s7} i stajesz się jednym z najbliższych doradców i adiutantów swojego pana lennego. Twoja reputacja zapewnia ci wpływy i znajomości, jak również otwartą polityczną władzę. Spędzasz kolejne dni zajmując się rozgrywkami u jej szczytu, administrując swoimi wielkimi lennami i wspominając dawne czasy pełne przygód i chwały.
str_retirement_text_10|Choć twoje początki były bardzo skromne, to jednak {zasłużyłeś/zasłużyłaś} sobie na uznanie swojego pana lennego. W królestwie aż zawrzało, kiedy określił cię swoim następcą, nadając tytuł {hrabiego/hrabiny} reprezentujące{go/j} {s9}. Rządzisz teraz wielkimi majątkami i lennami. Szybko zostajesz najbardziej zaufanym doradcą swojego lennego pana, który powierza ci zadanie prowadzenia jego majątku. Zasiadasz na tronie we własnym, wspaniałym pałacu jako jedna z najpotężniejszych postaci w całej Calradii.
str_loot_village|atakować niewinnych wieśniaków
str_steal_from_villagers|ograbić ubogich wieśniaków
str_rob_caravan|napaść na kupiecką karawanę
str_sell_slavery|sprzedać ludzi łowcom niewolników
str_men_hungry|brak żywności
str_men_unpaid|nie wypłacasz ludziom żołdu
str_excessive_casualties|zamieniasz każdą bitwę w rzeź
str_surrender|poddać się naszym wrogom
str_flee_battle|uciekać z pola bitwy
str_pay_bandits|płacić pospolitym bandytom
str_fail_quest|niewykonywać zadań, których się podjęliśmy
str_squander_money|trwonić pieniądze przekazane nam w zaufaniu
str_murder_merchant|angażować się w morderstwo z zimną krwią
str_round_up_serfs|gnębić i zaganiać poddanych na pola w imieniu jakiegoś arystokraty
str_battle_fate_1|Zostaliśmy rozdzieleni w ogniu walki
str_battle_fate_2|Zadano mi rany i pozostawiono na pewną śmierć
