str_no_string|NINCS SZÖVEG!
str_june_reg1_reg2|{reg2}. június {reg1}.
str_july_reg1_reg2|{reg2}. július {reg1}.
str_august_reg1_reg2|{reg2}. augusztus {reg1}.
str_september_reg1_reg2|{reg2}. szeptember {reg1}.
str_october_reg1_reg2|{reg2}. október {reg1}.
str_november_reg1_reg2|{reg2}. november {reg1}.
str_december_reg1_reg2|{reg2}. december {reg1}.
str_town_nighttime| Késő éjjelre jár, a tisztességes emberek otthonaikba húzódtak már.
str_door_locked|Az ajtó zárva.
str_castle_is_abondened|A vár lakatlannak tűnik.
str_town_is_abondened|A várost nem védi helyőrség.
str_place_is_occupied_by_player|Ezt a helyet a saját erőid védik.
str_place_is_occupied_by_enemy|Ezt a helyet ellenséges erők védik.
str_place_is_occupied_by_friendly|Ezt a helyet szövetséges erők védik.
str_do_you_want_to_retreat|Biztos, hogy vissza akarsz vonulni?
str_give_up_fight|Feladod a harcot?
str_do_you_wish_to_leave_tutorial|Kilépsz az oktatórészből?
str_do_you_wish_to_surrender|Megadod magad?
str_can_not_retreat|Nem vonulhatsz vissza, ellenség van a közeledben!
str_s1_joined_battle_enemy|{s1} az ellenség oldalán csatlakozott a harchoz.
str_s1_joined_battle_friend|A(z) {s1} egysége a te oldaladon csatlakozott a harchoz.
str_entrance_to_town_forbidden|A városi őrség behatolókra számítva áll a vártán, így úgy tűnik, nem juthatsz át a kapukon nehézség nélkül.
str_sneaking_to_town_impossible|A városi őrség riadókészültségben van. Nem fogsz tudni átosonni a kapun, bármennyire is álcáztad magad.
str_battle_won|Megnyerted a csatát!
str_battle_lost|Elvesztetted a csatát!
str_attack_walls_success|Véres harc árán bátor katonáid bevették a falakat, a vár a tiéd!
str_attack_walls_failure|Katonáid tömegével hullanak, ahogy megpróbálják bevenni a falakat, az a kevés pedig, ki életben marad, fejvesztve menekül, s nem látod őket soha többé.
str_attack_walls_continue|Véres küzdelem zajlik, mindkét oldal vitézül harcol. Sereged minden erőfeszítése ellenére a vár az ellenség kezén marad.
str_order_attack_success|Embereid bátran küzdöttek, és legyőzték az ellenséget.
str_order_attack_failure|Kétségbeesve figyeled a csatát, ahogy az ellenség lemészárolja embereid, majd könnyedén megfutamítja a pár meggyötört túlélőt.
str_order_attack_continue|A hatalmas küzdelem ellenére seregeid képtelenek voltak döntő csapást mérni az ellenségre.
str_join_order_attack_success|Embereid jól harcoltak szövetségeseid oldalán, osztozva az ellenség felett aratott diadal dicsőségén.
str_join_order_attack_failure|Kétségbeesve figyeled a csatát, ahogy az ellenség lemészárolja embereid, majd könnyedén megfutamítja a pár meggyötört túlélőt.
str_join_order_attack_continue|A hatalmas küzdelem ellenére sem a saját, sem a szövetséges csapatok nem voltak képesek döntő csapást mérni az ellenségre.
str_siege_defender_order_attack_success|A helyőrség emberei ügyesen és bátran védték a falakat, megtörve az ellenség támadását, és megfutamítva őket győzelmet arattak.
str_siege_defender_order_attack_failure|A támadás pillanatok alatt vérfürdőbe fúl. A bátor kísérlet haszontalannak bizonyul; a helyőrség nem tudja tartani a falakat a túlerő ellen, s az ellenség minden védőt kardélre hány.
str_siege_defender_order_attack_continue|Az ismétlődő, véres támadások a falak ellen nem érnek célt, de túl sok ellenség maradt, hogy a védők győzelmet ünnepelhessenek. Az ostrom folytatódik.
str_hero_taken_prisoner|{s1} ({s3}) {s2} fogságába esett.
str_hero_freed|{s1} ({s3}) megszökött {s2} fogságából.
str_center_captured|{s1} {s3} birtokából {s2} kezére került.
str_troop_relation_increased|{s1} és közted a viszony javult: {reg1} helyett {reg2} lett.
str_troop_relation_detoriated|{s1} és közted a viszony megromlott: {reg1} helyett {reg2} lett
str_faction_relation_increased|{s1} és közted a viszony javult: {reg1} helyett {reg2} lett.
str_faction_relation_detoriated|{s1} és közted a viszony megromlott: {reg1} helyett {reg2} lett.
str_party_gained_morale|Sereged harci szelleme {reg1} ponttal nőtt.
str_party_lost_morale|Sereged harci szelleme {reg1} ponttal csökkent.
str_other_party_gained_morale|{s1} harci szelleme {reg1} ponttal nőtt.
str_other_party_lost_morale|{s1}  harci szelleme {reg1} ponttal csökkent.
str_qst_follow_spy_noticed_you|A kém észrevett téged, és menekülőre fogja a dolgot!
str_father|atyja
str_husband|férje
str_wife|felesége
str_daughter|leánya
str_mother|anyja
str_son|fia
str_brother|bátyja
str_sister|nővére
str_he|Ő
str_she|Ő
str_s3s_s2|{s3} {s2}
str_s5_is_s51|{s5} {s51}.
str_s5_is_the_ruler_of_s51|{s5} {s51} uralkodója. 
str_s5_is_a_nobleman_of_s6|{s5} {s6} nemese. 
str_relation_mnus_100|Bosszúszomjas
str_relation_mnus_90|Bosszúszomjas
str_relation_mnus_80|Bosszúszomjas
str_relation_mnus_70|Gyűlölködő
str_relation_mnus_60|Gyűlölködő
str_relation_mnus_50| Ellenséges
str_relation_mnus_40|  Dühös
str_relation_mnus_30|    Neheztelő
str_relation_mnus_20|      Elégedetlenkedő
str_relation_mnus_10|        Bizalmatlan
str_relation_plus_0|         Közömbös
str_relation_plus_10|          Együttműködő
str_relation_plus_20|           Készséges
str_relation_plus_30|            Kedves
str_relation_plus_40|             Támogató
str_relation_plus_50|              Barátságos
str_relation_plus_60|               Szívélyes
str_relation_plus_70|                 Elfogult
str_relation_plus_80|                  Hű
str_relation_plus_90|                   Elkötelezett
str_relation_mnus_100_ns|{s60} bosszúszomjas irányodban.
str_relation_mnus_90_ns|{s60} bosszúszomjas irányodban.
str_relation_mnus_80_ns|{s60} bosszúszomjas irányodban.
str_relation_mnus_70_ns|{s60} gyűlölködik rád.
str_relation_mnus_60_ns|{s60} gyűlölködik rád.
str_relation_mnus_50_ns|{s60} ellenséges veled szemben.
str_relation_mnus_40_ns|{s60} dühös rád.
str_relation_mnus_30_ns|{s60} neheztel rád.
str_relation_mnus_20_ns|{s60} elégedetlenkedik veled szemben.
str_relation_mnus_10_ns|{s60} bizalmatlan veled szemben.
str_relation_plus_0_ns|{s60} közömbös irántad.
str_relation_plus_10_ns|{s60} együttműködő veled.
str_relation_plus_20_ns|{s60} készséges veled.
str_relation_plus_30_ns|{s60} kedves veled
str_relation_plus_40_ns|{s60} támogató veled szemben.
str_relation_plus_50_ns|{s60} barátságos veled.
str_relation_plus_60_ns|{s60} szívélyes hozzád.
str_relation_plus_70_ns|{s60} elfogult veled.
str_relation_plus_80_ns|{s60} hű hozzád.
str_relation_plus_90_ns|{s60} elkötelezett veled.
str_relation_reg1| Kapcsolat: {reg1}
str_center_relation_mnus_100|A lakosság tiszta szívből gyűlöl
str_center_relation_mnus_90|A lakosság mérhetetlenül gyűlöl
str_center_relation_mnus_80|A lakosság erősen utál
str_center_relation_mnus_70|A lakosság utál
str_center_relation_mnus_60|A lakosság gyűlölködik irányodban
str_center_relation_mnus_50|A lakosság mérhetetlenül ellenséges veled
str_center_relation_mnus_40|A lakosság nagyon ellenséges veled
str_center_relation_mnus_30|A lakosság ellenséges veled szemben
str_center_relation_mnus_20|A lakosság ellened van
str_center_relation_mnus_10|A lakosság szemben áll veled
str_center_relation_plus_0|A lakosság közömbös irántad
str_center_relation_plus_10|A lakosság elfogad téged
str_center_relation_plus_20|A lakosság együttműködik veled
str_center_relation_plus_30|A lakosság feléd húz
str_center_relation_plus_40|a lakosság melletted áll
str_center_relation_plus_50|A lakosság mindenben támogat téged
str_center_relation_plus_60|A lakosság hű hozzád
str_center_relation_plus_70|A lakosság elkötelezett feléd
str_center_relation_plus_80|A lakosság odaadóan szeret téged
str_center_relation_plus_90|A lakosság imád téged
str_town_prosperity_0|{s60} városának nyomora elviselhetetlen
str_town_prosperity_10|{s60} nyomorgó városa szinte kihalt.
str_town_prosperity_20|{s60} városa egy nyomorgó, elhagyatott helynek tűnik.
str_town_prosperity_30|{s60} városa szegénynek és elhanyagoltnak tűnik.
str_town_prosperity_40|{s60} városa nyomorgónak tűnik.
str_town_prosperity_50|{s60} városa egy átlagos helynek tűnik.
str_town_prosperity_60|{s60} városa virágzónak tűnik.
str_town_prosperity_70|{s60} virágzó városa élettel teli.
str_town_prosperity_80|{s60} városa gazdagnak és gondozottnak tűnik.
str_town_prosperity_90|{s60} városa fényűző, tele jómódú emberrel.
str_town_prosperity_100|{s60} tündöklő városa nyíltan kérkedik nagy jómódjával.
str_village_prosperity_0|{s60} falvának nyomora elviselhetetlen.
str_village_prosperity_10|{s60} falva szánalmasan szegénynek és siralmasnak tűnik.
str_village_prosperity_20|{s60} falva nincstelennek és elhagyatottnak tűnik.
str_village_prosperity_30|{s60} falva szegénynek és sivárnak tűnik.
str_village_prosperity_40|{s60} falva szegényesnek és nyomorgónak tűnik.
str_village_prosperity_50|{s60} falva egy átlagos helynek tűnik.
str_village_prosperity_60|{s60} falva virágzónak tűnik.
str_village_prosperity_70|{s60} falva jól prosperálónak tűnik.
str_village_prosperity_80|{s60} falva gazdagnak és gondozottnak tűnik.
str_village_prosperity_90|{s60} falva dúsgazdagnak és jól ápoltnak tűnik.
str_village_prosperity_100|A hatalmas, termékeny földekkel övezett {s60} falva végtelenül gazdagnak tűnik.
str_town_alt_prosperity_0|A piacon árult pár dolog meglehetősen drágának tűnik a lakosok helyzetéhez képest. Az emberek alultápláltak, az állataik betegek, vagy haldokolnak, szerszámaik töröttek. A hátsó sikátorokat a legyek és loncsos kutyák uralják. 
str_town_alt_prosperity_20|A piacon morgolódnak az emberek a mindennapi használati tárgyak drágasága miatt, a boltok félig üresen állnak. Az embereken és az állatokon is az alultápláltság jelei mutatkoznak és mind az épületekre, mind a szerszámokra ráférne a felújítás. Sokan már elvándoroltak máshová munkát keresni.
str_town_alt_prosperity_40|Lépten-nyomon hallani a szokásos morgolódást a piactéren a mindennapi áruk drágasága miatt, de egyébként láthatóan elfogadható a választék. Van néhány elhagyatott épület, bolt, vagy szekér elvétve, de semmi olyasmi, ami eltérne a megszokottól.
str_town_alt_prosperity_60|Az emberek jóltápláltnak és viszonylag elégedettnek tűnnek. Az iparosok üzlete prosperál, és néhányan ide is vándorolnak a könnyebb boldogulás reményében.
str_town_alt_prosperity_80|A falak, utcák és otthonok jól karbantartottak. A piacokra özönlenek a a környező régiókból érkezők, akiket az áruk és a munkalehetőség vonz ide. A kalapácsok és szövőszékek ritmusa felesel a kézművesműhelyekből kiszűrődő zajjal.
str_village_alt_prosperity_0|Csak egy maroknyi ember elég erős ahhoz, hogy a földeken dolgozzon, így a legtöbbet gaz nőtte be. Az itt lakók nagy része gyenge és alultáplált, vagy már elmenekült máshová. A haszonállatok már rég éhen haltak, vagy megették őket, bár néhány dög elterül még a határban, maradványaikat vadállatok marcangolják.
str_village_alt_prosperity_20|Néhány állat és gazda kint van a földeken, de kis létszámuk azt sejteti, jó néhány falubéli máshol próbál élelemhez jutni. A szerszámok rozsdásak és töröttek. Mindenféle gizgaz növi be egyre inkább a környező földeket.
str_village_alt_prosperity_40|A szántók és a gyümölcsösök tele vannak az idénymunkákat végző falubeliekkel. Az emberek és az állatok egyaránt viszonylag egészségesnek és jól tápláltnak tűnnek. Azért van néhány bevetetlen szántó a határban és néhány falra rászorulna a tatarozás, ami azt jelzi, hogy nincs elég szorgos kéz, amely minden munkát el tudna végezni.
str_village_alt_prosperity_60|A szántók és gyümölcsösök tele vannak élettel, tömött gabonás zsákok és száradó hús jelzi a falu termőföldjeinek és legelőinek termőképességét.
str_village_alt_prosperity_80|A szántók és gyümölcsösök tele vannak élettel, frissen ásott öntözőcsatornák árkai jelzik, hogy a gazdáknak van elég szabadidejük és energiájuk, hogy kiterjesszék a megművelt területet. Idénymunkások gyülekeznek, hogy napszámosként vegyék ki részüket a jólétből.
str_oasis_village_alt_prosperity_0|A pálmaligetek gyakorlatilag elhagyatottak, az őket öntöző csatornákat iszap tömítette el. A maroknyi falubeli, akivel találkozol, alultápláltnak és kimerültnek látszik. A haszonállatok már rég éhen haltak, vagy vacsoraként végezték, bár hever még néhány tetem a határban, amelyeket vadállatok marcangolnak szét.
str_oasis_village_alt_prosperity_20|Kevés falubeli tart a pálmaligetek felé és helyenként a sivatag kezdi elfoglalni a kerteket. A csatornák jó részét iszap tömíti el, a kutak és a ciszternák nagy része  homokkal van tele.
str_oasis_village_alt_prosperity_40|A férfiak és asszonyok szorgosan gondozzák a pálmaligeteket, s másznak egyre a fák tetejére, hogy beporozzák őket. Egészséges állatok húzzák a szivattyúkat és kerekeket, amelyek vizet szállítanak a földekre. Ugyanakkor az öntözőcsatornák és ciszternák egy része felújításra szorul.
str_oasis_village_alt_prosperity_60|A pálmaligetek és gyümölcsösök tele vannak élettel. A gazdák vidáman szólongatják egymást a fák tetejéről, ahol épp a datolya gyümölcsét porozzák be. A fából készült szivattyúk recsegése, a haszonállatok bőgése és a folyóvíz csobogása válaszolgat az öntözőrendszer morajára, amelynek gyarapodását a falubeliek vigyázó tekintete kíséri.
str_oasis_village_alt_prosperity_80|A pálmaligetek tele vannak élettel, a gazdák rekord datolyaterméssel feltöltve indulnak a vásárba. Férfiak és nők kemény munkával ássák az új kutakat és csatornákat, hogy további földeket vonhassanak művelés alá. 
str_acres_grain|több hektárnyi gabonaföld
str_acres_orchard|több hektárnyi szőlő és gyümölcsös
str_acres_oasis|több hektárnyi öntözött oázisbéli kert
str_looms|szövőszékek
str_boats|csónakok
str_head_cattle|marhafej
str_head_sheep|birkafej
str_mills|malmok
str_kilns|szárítókemencék
str_pans|teknők
str_deposits|lelőhelyek
str_hives|kaptárok
str_breweries|sörfőzdék
str_presses|prések
str_smithies|kovácsműhelyek
str_caravans|utazókaravánok
str_traps|csapdák
str_gardens|kiskertek
str_tanneries|cserzőkádak
str_master_miller|Molnármester
str_master_brewer|Serfőző mester
str_master_presser|Présmester
str_master_smith|Kovácsmester
str_master_tanner|Tímármester
str_master_weaver|Takácsmester
str_master_dyer|Ruhafestő mester
str_war_report_minus_4|vesztésre állunk
str_war_report_minus_3|a helyzet kilátástalannak tűnik
str_war_report_minus_2|a dolgok nem néznek ki jól számunkra
str_war_report_minus_1|ha összekapjuk magunkat, még győzhetünk
str_war_report_0|az ellenséggel azonos erőt képviselünk
str_war_report_plus_1|jó esélyünk van megnyerni a harcot
str_war_report_plus_2|elég jól állnak a dolgaink
str_war_report_plus_3|nem okozhat nehézséget a legyőzésük
str_war_report_plus_4|győzelemre állunk
str_persuasion_summary_very_bad|Minden tudásodat beveted {s50} meggyőzésére, de egyetlen érved sem ér célba. Mindig, ha rá akarsz világítani valamire, egészen máshová lyukadsz ki. Mire befejezed a mondandódat, már semmi nem támasztja alá igazadat, és rádöbbensz, hogy már magadnak sem hiszel. Úgy tűnik, {s50} nem került a hatásod alá, amin nem is csodálkozol...
str_persuasion_summary_bad|Minden tudásodat bevezeted {s50} meggyőzésére, de ő az elejétől fogva fölényesen riposztol, és még a legjobb érveid is üres lózungnak hatnak, még saját magad számára is. Így aztán a végén {s50} nincs is nagy véleménnyel mondandódról.
str_persuasion_summary_average|Mint kiderül, {s50} pallérozott elméjű, született szónok, és nem tudsz olyan érvet felvetni, melyre ő ne tudna logikusan visszavágni. A végén egyértelművé válik, hogy egyikőtök sem jutott előbbre a másik meggyőzésében.
str_persuasion_summary_good|Gyors gondolkodással és egyértelmű érvekkel sikeresen vezeted elő mondandódat, és {s50} bizonyos vonatkozásban egyet is ért veled. Ennek ellenére még kétségeit fejezi ki kéréseddel kapcsolatban.
str_persuasion_summary_very_good|A legszenvedélyesebb trubadúrok sem dalolnak úgy szívük hölgyének, mint ahogy te előadod mondandódat. Még a madarak is elhallgatnak, hogy téged hallhassanak. Az ihletett szavak meglágyítják {s50} szívét, így örömmel tesz eleget kérésednek.
str_secret_sign_1|A szekrény éjfélkor táncra perdül...
str_secret_sign_2|E kiváló khergit falikárpitokat árulom. Kíván venni belőlük?
str_secret_sign_3|Egy barátom barátja küldött...
str_secret_sign_4|A szél ádázul fú keletről, s a folyó vörösen hömpölyög...
str_countersign_1|De az asztalnak vagy a széknek táncol ő?
str_countersign_2|Örömmel. Kék színben is kapható?
str_countersign_3|De barátom, az ön barátjának barátja soha nem bírt oly baráttal, mint jómagam.
str_countersign_4|Beteg voltál tán?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|Uxhali {s50}
str_surname_2|Werchegi {s50}
str_surname_3|Reyvadini {s50}
str_surname_4|Sunói {s50}
str_surname_5|Jelkalai {s50}
str_surname_6|Velucai {s50}
str_surname_7|Halmari {s50}
str_surname_8|Curaw-i {s50}
str_surname_9|Sargothi {s50}
str_surname_10|Tihri {s50}
str_surname_11|Zendari {s50}
str_surname_12|Rivachegi {s50}
str_surname_13|Werchegi {s50}
str_surname_14|Ehlerdagi {s50}
str_surname_15|Yaragari {s50}
str_surname_16|Burgleni {s50}
str_surname_17|Shapeshtei {s50}
str_surname_18|Hanuni {s50}
str_surname_19|Sareni {s50}
str_surname_20|Tosdhari {s50}
str_surname_21|Hosszú {s50}
str_surname_22|Nyurga {s50}
str_surname_23|Selyemszakállú {s50}
str_surname_24|Veréb {s50}
str_surname_25|Nincstelen {s50}
str_surname_26|Heges {s50}
str_surname_27|Igazságos {s50}
str_surname_28|Bősz {s50}
str_surname_29|Vörös {s50}
str_surname_30|Fekete {s50}
str_surname_31|Magas {s50}
str_surname_32|Csillagszemű {s50}
str_surname_33|Bátor {s50}
str_surname_34|Vitéz {s50}
str_surname_35|Ravasz {s50}
str_surname_36|Gyáva {s50}
str_surname_37|Okos {s50}
str_surname_38|Gyors {s50}
str_surname_39|Trubadúr {s50}
str_surname_40|Merész {s50}
str_surname_41|Forrófejű {s50}
str_surnames_end|ragadványnevek vége
str_number_of_troops_killed_reg1|Elpusztított katonák száma: {reg1}
str_number_of_troops_wounded_reg1|Sebesült katonák száma: {reg1}
str_number_of_own_troops_killed_reg1|Megölt szövetségesek száma: {reg1}
str_number_of_own_troops_wounded_reg1|Megsebesült szövetségesek száma: {reg1}
str_retreat|Visszavonulás!!
str_siege_continues|A harc folytatódik...
str_casualty_display|A veszteséged: {s10}^Az ellenség vesztesége: {s11}{s12}
str_casualty_display_hp|^{reg1} életerő pontot veszítettél.
str_quest_log_updated|A küldetésnapló új bejegyzéssel bővült...
str_banner_selection_text|Méltónak bizonyultál zászló viselésére, mely kifejezi státuszodat, és tiszteletet kelt irántad. Melyik lobogót választod?
str_retirement_text_1|Túl későn eszmélsz rá, hogy a pénzed nem tart ki örökké. Nem telik el sok idő, és összekuporgatott vagyonodnak nyoma sem marad. Kétségbeesett kísérleteid, hogy ismét kalandozni kezdj, kudarcba fúlnak. Végül koldussá válva bolyongsz {s9} utcáin, alamizsnán és az egyház könyöradományain tengődve.
str_retirement_text_2|Túl későn eszmélsz rá, hogy a pénzed nem tart ki örökké. Nem telik el sok idő, és összekuporgatott vagyonodnak nyoma sem marad. Miután az utolsó dénárodat is elköltöd, rákényszerülsz, hogy bűnözőként boldogulj {s9} sikátoraiban, képességeidet nők és szegény polgárok kifosztására tékozolva.
str_retirement_text_3|Túl későn eszmélsz rá, hogy a pénzed nem tart ki örökké. Nem telik el sok idő, összekuporgatott vagyonodnak nyoma sem marad, és nincstelen csavargóként kocsmáról kocsmára járva italért kuncsorogsz a jószívű vendégeknél, háborús történetekkel traktálva őket, melyeket már senki sem hisz el.
str_retirement_text_4|Összespórolt ezüstjeid hamar elfogynak, de még sikerül belőlük egy kis földet venni {s7} falu mellett. Szabad földművesként élsz tovább, és hamarosan jó partivá válsz a {nők/férfiak} szemében. Nemsokára már a falusiak helyi hősként tisztelnek, és a lakomákon mindig a főhelyre ültetnek. Hőstetteid szájról szájra járnak a kocsmákban és fogadókban, így a felnövekvő generációk emlékeiben mindörökké fennmaradsz.
str_retirement_text_5|Összespórolt ezüstjeid hamar elfogynak, de még sikerül belőlük egy kis kocsmát venni {s9} városában. Bár a helybéliek először bizalmatlanok veled szemben, hamarosan befogadnak maguk közé. Nem telik el sok idő, és egyre bővülő-szépülő fogadód népszerű lakomázó- és találkozóhellyé válik. Hírnevednek köszönhetően az emberek messze földről jönnek, hogy nálad egyenek és vendégeskedjenek, s hallgassák a hősi történeteket, melyeket kalandozásod éveiből mesélsz nekik.
str_retirement_text_6|Kalandozásaid során bölcsen spóroltál, s most ezüstjeid és intelligenciád jövőd megalapozásaként remek befektetéseket tesz lehetővé. Miután megvásárolod {s9} néhány boltját és raktárát, kiváló üzleti érzéked a város egyik legprominensebb kereskedőjévé tesz, s hamarosan vagyonos {férfivá/asszonnyá} válsz, kit kereskedőbirodalma éppoly ismertté tesz, mint annak idején hőstettei a csatamezőkön.
str_retirement_text_7|Földbirtokos nemesként (hacsak kisnemesként is) a jövőd szinte biztosított. Letelepedsz őseid birtokán, {s7} mellett, igazgatod a falut és a földeket, ítélkezel a helyi bíróságon, és teljesíted kötelességedet hűbéruraddal szemben. Néha urad szólít, hogy összetoborozd és kommandírozd seregeit hadjárataiban, de ezek a feladatok rövidek, és igazán soha nem térsz vissza fiatalabb napjaid kalandozásaihoz. Már elég vagyonra tettél szert. Saját házaddal és birtokoddal kevés olyan igényed van, melyet személyes vagyonod és földjeid jövedelme ne tudna kielégíteni.
str_retirement_text_8|Nem kétséges, hogy megcsináltad szerencsédet . Kiterjedt földbirtokaid és a kalandozások során szerzett vagyonod gazdag és könnyű életet biztosítanak neked hátralévő napjaidra. Visszavonulva nemesi székhelyedre, {s8} városába, a kalandokat politikára cseréled, és hamarosan jelentős hatalomra teszel szert hűbérurad királyságában. Az intrikákat elkerülve, saját erdővel, ahol vadászhatsz, saját házzal, ahol lakomákat rendezhetsz, és sok száz háborús történettel, melyet elmesélhetsz, az elkövetkező évek csak jót tartogathatnak számodra.
str_retirement_text_9|Hozzáértő és hűséges szolgálatod jutalmaként hűbérurad örökölhető címet adományoz neked, így csatlakozol a birodalom főnemeseinek sorába. Hamarosan {s7} bárójává avatnak, és hűbérurad legközelebbi tanácsadójává és hadsegédjévé válsz. Hírnevednek köszönhetően jelentős befolyásra és politikai hatalomra teszel szert. Mostantól éveidet a politikai játszmákat bonyolítva, hatalmas hűbérbirtokaidat irányítva, és a kalandozásokkal és dicsőségekkel telt régi éveidet felemlegetve töltöd.
str_retirement_text_10|Bár alulról jöttél, hűbérurad nagy becsben tart téged, s az egész birodalmat megdöbbenti, amikor {s9} {grófjává/grófnőjévé} kinevezve örökölhető nemesi címet adományoz neked. Hatalmas hűbérbirtok és vagyon száll rád. Hamarosan hűbérurad legmegbízhatóbb tanácsadójává válsz, szinte vele egyenrangúvá, s birodalma irányításának nagy részét rád bízza. Saját pompás kastélyodban egy trónon ülsz, mint Calradia egyik legnagyobb hatalommal bíró figurája.
str_loot_village|ártatlan falusiakat támadunk meg
str_steal_from_villagers|a szegény falusiaktól lopunk
str_rob_caravan|kirabolunk egy kereskedőkaravánt
str_sell_slavery|rabszolgának adjuk el a népet
str_men_hungry|elfogyott az élelmünk
str_men_unpaid|nem tudod kifizetni az embereket
str_excessive_casualties|minden csata véresen tizedeli a sorainkat
str_surrender|megadjuk magunkat az ellenségnek
str_flee_battle|megfutamodunk a csatából
str_pay_bandits|fizetünk a hitvány banditáknak
str_fail_quest|elbuktunk egy küldetést, melynek teljesítésére becsületszavunkat adtuk
str_squander_money|elszórtuk a pénzt, melyet ránk bíztak
str_murder_merchant|hidegvérű gyilkosságba keveredünk
str_round_up_serfs|valami nemes nevében rabszolgákat gyűjtünk
str_battle_fate_1|A csata hevében szétszakadtunk
str_battle_fate_2|Megsebesültem, és otthagytak meghalni
str_battle_fate_3|Az ellenség agyba-főbe vert
str_battle_fate_4|Túszul ejtettek váltságdíjért
str_battle_fate_5|Fogságba estem, de később sikerült megszöknöm
str_npc_morale_report|{s6} vagyok az embereiddel, {s7} a vezetési stílusoddal, és {s8} a dolgaink állásával.
str_happy|teljesen elégedett
str_content|elégedett
str_concerned|nyugtalan
str_not_happy|elégedetlen
str_miserable|teljesen elégedetlen
str_morale_reg1| Harci szellem: {reg1}
str_bar_enthusiastic|                   Lelkes
str_bar_content|              Elégedett
str_bar_weary|          Elnyűtt
str_bar_disgruntled|     Háborgó
str_bar_miserable|  Siralmas
str_here_plus_space|itt 
str_npc1_intro|Hahó, utazó! Véletlenül nincs egy jó nyomkövetőre szükséged?
str_npc2_intro|Üdv néked! Lennél oly kedves, és koccintanál velem? Ez az utolsó öt dénárom, s nem szívesen iszom magamban.
str_npc3_intro|Szép napot!
str_npc4_intro|Légy üdvözölve! Rolf vagyok, Rolf fia, a legősibb és leghatalmasabb Rolfok sorából.
str_npc5_intro|Légy üdvözölve, utazó! Iszol velem egy pohárral?
str_npc6_intro|Kárhozott vagyok... Kárhozott...
str_npc7_intro|Igen? Hé, ne gyere közelebb!
str_npc8_intro|Mit akar?
str_npc9_intro|Maga ott, jó{ember/asszony}, lenne oly kedves, és töltene nekem még egy italt?
str_npc10_intro|Üdv néked, {testvérem/nővérem}! Igyunk minden előkelő lord és lady végzetére, s bukására!
str_npc11_intro|Üdv, {fiacskám/leányom}, igyál egyet velem!
