dlga_ramun_introduce_8:ramun_introduce_9|A legtöbb elítélt bűnöző, akiket a hatóságoktól veszek. Aztán vannak hadifoglyok több nemzetből, kikhez úgy jutottam, hogy én kínáltam értük a legtöbbet. Ám néha kalózoktól és más... 'egyénektől' is vásárolok. Ebben a szakmában nem lehetsz finnyás a szállítóid tekintetében. Véletlenül nincs veled egy-két fogoly?
dlga_ramun_introduce_9:ramun_introduce_10|Velem?
dlga_ramun_introduce_10:ramun_introduce_11|Miért ne? Ha úgy döntesz, kiteszed a lábad ebből a városból, előbb-utóbb összeakaszkodsz valakivel. És ha az Úr úgy akarja, felülkerekedsz. Miért ne keresnél némi plusz pénzt az egészen? Fogd el őket élve, hozd el nekem, és én ötven dénárt fizetek értük fejenként. Ne nagyon érdekeljen, kik ők, és honnan jöttek.
dlga_ramun_introduce_11:ramun_introduce_12|Hm. Gondolkodom rajta.
dlga_ramun_introduce_12:close_window|Jól teszed! Rengeteg ezüstöt ígér a dolog, beláthatod. Bőven eleget mindkettőnk számára.
dlga_start:ramun_talk|Üdv, {playername}!
dlga_ramun_pre_talk:ramun_talk|Van még valami?
dlga_ramun_talk:ramun_sell_prisoners|Hoztam pár foglyot, Ramun. Megnézed?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Lássuk, mid van!
dlga_ramun_sell_prisoners_2:close_window|Öröm üzletelni veled.
dlga_ramun_talk:ramun_ask_about_capturing|Hogy ejthetek foglyul valakit?
dlga_ramun_talk:ramun_ask_about_capturing.1|Mesélnél még egyszer a foglyul ejtésről?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Még nem csináltál ilyet, ugye? A foglyul ejtés alapszabálya, hogy fejbe verd őt egy ütőfegyverrel, például buzogánnyal vagy husánggal, ahelyett, hogy kardélre hánynád. Így elájul egy kis időre, ahelyett, hogy elvérezne. Érted, ugye? Felteszem, van nálad valami ütőfegyver...
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Természetesen.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Igazság szerint nincs...
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Remek. Akkor csak annyi a dolgod, hogy leüsd a gazfickót a fegyvereddel, és amikor vége a csatának, vasra verd. Nemesek és más effélék esetében könnyebb a helyzet, őket általában páncél védi, így mindegy, milyen fegyvert használsz, de az átlagos harctéri csőcselék kivérzik, mint egy leszúrt disznó, ha valami élessel találod el. Nincsenek nagy elvárásaim az árummal szemben, de ahhoz ragaszkodom, hogy még lélegezzenek, mikor megveszem őket.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Nincs? Nos, szerencsés napra ébredtél! Van itt egy régi husángom, amit épp ki akartam dobni. Kicsit viharvert már, de arra még jó, hogy bárki lába alól kirántsa a talajt. Tessék, tedd el.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Köszönöm, Ramun! Talán teszek vele egy próbát.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Rendben, megpróbálom még egyszer elmagyarázni, egyszerűen. A foglyul ejtés alapszabálya, hogy fejbe verd őt egy ütőfegyverrel, például buzogánnyal vagy husánggal, ahelyett, hogy kardélre hánynád. Így elájul egy kis időre, ahelyett, hogy elvérezne. Érted, ugye? Nemesek és más effélék esetében könnyebb a helyzet, őket általában páncél védi, így mindegy, milyen fegyvert használsz, de az átlagos harctéri csőcselék kivérzik, mint egy leszúrt disznó, ha valami élessel találod el. 
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Rendben, azt hiszem, értem. Más valami?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Nos, ennyire nem egyszerű a helyzet. Az ütőfegyverek nem okoznak akkora sebzést, mint az élesek, így nem viszik földre az ellenséget olyan gyorsan. És higgy nekem, a legtöbb rohadék, akivel összefutsz errefelé, ha lehetőséget adsz rá, egy szempillantás alatt megöl, szóval ne számíts semmi előzékenységre, ha kard helyett husángot veszel elő. Ezenfelül, ha foglyokkal mászkálsz, lelassítanak, ezért engedik sokan szabadon az elfogottakat a csata végén. Tiszta őrültség! Hogy mondhat le bárki ennyi ezüstről, kérdem én.
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Ez minden?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Csak még egy utolsó dolog. Nem könnyű a rabokat biztonságosan kezelni, úgy is mondhatjuk, egyedi képességet igényel. Ha sok foglyot akarsz ejteni, meg kell tanulnod a trükkjeit, vagy egyetlen szerencsétlent sem fogsz tudni magaddal vinni.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Köszönöm. Észben tartom.
dlga_ramun_talk:ramun_leave|Jobb, ha indulok.
dlga_ramun_leave:close_window|Ne feledd, ha foglyot ejtesz, hozd el nekem! Jó pénzt fizetek mindegyikért.
dlga_start:close_window.3|Alázatosan megkérem uraságodat, olyan helyen tartsa kezeit, ahol láthatom őket.
dlga_start:manhunter_talk_b|Hé, te! Nem láttál errefelé zsiványokat?
dlga_manhunter_talk_b:manhunter_talk_b1|De igen, erre mentek, úgy egy órája.
dlga_manhunter_talk_b1:close_window|Tudtam! Gyerünk, fiúk, kapjuk el ezeket a fattyúkat! Hálás köszönet, barátom!
dlga_manhunter_talk_b:manhunter_talk_b2|Nem, mostanában egyet sem láttam.
dlga_manhunter_talk_b2:close_window|Eh.. Úgy bujkálnak ebben az országban, mint a patkányok, de mi ki fogjuk füstölni őket. Előbb vagy utóbb.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Nem félek tőled! Küzdj meg velem, ha mersz!
dlga_looters_2:close_window.1|Semmim nem lesz a tiéd, legfeljebb a kardom hegye, nyomorult!
dlga_start:village_farmer_talk|{uram/hölgyem}, mi csak szegény földművelők vagyunk, {s11} faluból. {reg1?Terményeinket visszük eladni {s12} piacára.:{s12} piacáról tartunk hazafelé falunkba.}
dlga_village_farmer_talk:farmer_bandit_information|Egy zsiványbandára vadászom épp, a következőképp festenek... Nem láttad őket?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Meglátjuk, milyen szegények vagytok, miután kiforgattunk benneteket!
dlga_village_farmer_talk:close_window.1|Menjetek hát utatokra! Minden jót!
dlga_start:minister_issues|Szolgálatodra, {uram/úrnőm}
dlga_start:close_window.4|Megtiszteltetés számomra téged szolgálni, {uram/úrnőm}
dlga_start:member_castellan_talk|Igen, {playername}? Mit tehetek érted?
dlga_member_castellan_pretalk:member_castellan_talk|Van még valami?
dlga_member_castellan_talk:member_review_castle_garrison|Ellenőrizni akarom a vár helyőrségét.
dlga_member_review_castle_garrison:member_castellan_pretalk|Természetesen. Ímhol a lajstrom. Tudasd velem, ha bármi változtatásra van szükséged...
dlga_member_castellan_talk:member_review_castellan_equipment|Hadd látom a felszerelésed.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Rendben van, ímhol...
dlga_member_castellan_talk:member_castellan_join|Azt akarom, hogy itt hagyd a várat, és csatlakozz seregemhez.
dlga_member_castellan_join:close_window|Eléggé hozzánőttem a helyhez... De ha így akarod, {playername}, veled tartok.
dlga_member_castellan_join:member_castellan_pretalk|És hol fogunk aludni? Egy egész sereget hurcolsz magaddal, {playername}, nincs hely mindannyiunk számára.
dlga_member_castellan_talk:close_window|[Távozás]
dlga_start:member_wilderness_talk|Akarod, hogy ismét csatlakozzak hozzád?
dlga_start:member_inn_talk|Akarod, hogy ismét csatlakozzak hozzád?
dlga_member_chat:kidnapped_girl_chat_1|Otthon vagyunk már?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Még nem.
dlga_kidnapped_girl_chat_2:close_window|Nem bírom kivárni. Annyira hiányzik a családom, mindent odaadnék, hogy lássam őket.
dlga_member_chat:member_lady_1|{playername}, mit gondolsz, mikor érjük el célunkat?
dlga_member_lady_1:member_lady_2a|Még hosszú út áll előttünk.
dlga_member_lady_1:member_lady_2b|Hamarosan. Már majdnem ott vagyunk.
dlga_member_lady_2a:close_window|Ah, akkor élvezem tovább az utat még egy kicsit. Nem panaszkodom. Sokkal élvezetesebbnek találom a szabadban lovaglást, mint az egész napos ücsörgést a várban. Tudod, irigyellek, hogy te így élhetsz állandóan.
dlga_member_lady_2b:close_window|Ez jó hír. Nem mintha nem élvezném a társaságodat, de hiányzik az én kis fényűzésem. Bár azt sajnálom, hogy hamarosan elválunk. Meg kell ígérned, hogy meglátogatsz, ha teheted.
dlga_member_chat:supported_pretender_talk|Légy üdvözölve, {playername}, első és legfőbb vazallusom! Várom tanácsodat.
dlga_supported_pretender_pretalk:supported_pretender_talk|Van még valami?
dlga_supported_pretender_talk:pretender_progress|Mit gondolsz, hogy haladunk?
dlga_pretender_progress:pretender_progress_2|{reg11?{reg11} úr áll mellettünk:Még nem áll mellettünk egy úr sem}, míg {reg21?{s9} még {reg21} úr támogatását élvezi:{s9} elveszítette hű urait}. {reg19?{reg13?{reg13} város:} {reg14?{reg14} vár:} {reg15?és {reg15} falu:} felett uralkodunk:Nem uralkodunk egy település felett sem}, míg {reg29?{reg23?{reg23} várost:} {reg24?{reg24} várat:} {reg25?és {reg25} falut:} tud magáénak:nem tud magáénak egy települést sem már}. Összességében {s30}
dlga_pretender_progress_2:supported_pretender_pretalk|Akkor folytatnunk kell a harcot, és össze kell gyűjtenünk támogatóinkat!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Úgy látszik, ez a lázadás sehova nem vezet. Fel kell adnunk.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, most nem hagyhatsz itt! Ezt komolyan gondolod?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Igen. Nem támogathatlak tovább.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Csak vicceltem. Harcolok érted, míg el nem érjük célunk.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Egészen biztos vagy benne? Soha nem fogom megbocsátani, ha elárulod ügyemet.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Biztos vagyok benne.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Hadd gondoljam végig még egyszer!
dlga_pretender_quit_rebel:close_window|Legyen hát. Eszerint ügyem elbukott. Már csak egyetlen dolgot tehetek: itt hagyom Calradiát, és soha nem térek vissza. Ha elmegyek, talán béke lesz közted és {s4} között.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Úrnőm:Uram}, megengeded, hogy átnézzem a felszerelésedet?
dlga_supported_pretender_equip:supported_pretender_pretalk|Rendben van, ímhol...
dlga_supported_pretender_talk:pretneder_view_char_requested|Ha megkérhetlek rá, beszélnél nekem a képességeidről?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Nos, rendben...
dlga_supported_pretender_talk:supported_pretender_grant_fief|Azt javaslom, hogy te döntsd el, kié legyen az a hűbérbirtok, amelynek nincs ura.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Mely birtokra gondolsz?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|És ki kaphatná meg?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Hagyjuk.
dlga_supported_pretender_talk:close_window|Menjünk tovább, {reg65?hölgyem:uram}.
dlga_do_member_trade:member_talk|Van még valami?
dlga_member_pretalk:member_talk|Van még valami?
dlga_member_chat:member_talk|Igen, {s5}?
dlga_member_talk:member_direct_campaign|Azt kívánom, hogy te, mint tábornagy, üzenj a birodalom vazallusainak
dlga_member_talk:member_trade|Hadd lássam a felszerelésedet.
dlga_member_trade:do_member_trade|Rendben van, ímhol...
dlga_member_talk:view_member_char_requested|Beszélnél nekem a képességeidről?
dlga_view_member_char_requested:do_member_view_char|Rendben, hadd mondom el...
dlga_member_talk:member_separate|El kell válnunk egy kis időre.
dlga_member_separate:member_separate_confirm|Ó, valóban? Nos, nem fogok itt várni rád. Bejárom a városokat, hogy másik munkát keressek. Ezt akarod?
dlga_member_separate:companion_quitting|Nos, igazából, valamit mondani akartam neked.
dlga_member_separate_confirm:member_separate_yes|Igen. Szét kell válnunk.
dlga_member_separate_confirm:do_member_trade|Nem, jobb szeretném, ha mellettem maradnál.
dlga_member_separate_yes:close_window|Nos, akkor megyek. Ha szükséged van rám, keress meg.
dlga_member_talk:member_question|Szeretnék kérdezni valamit.
dlga_member_talk:close_window|Nem érdekes.
dlga_member_question:member_question_2|Rendben. Mi lenne a kérdésed?
dlga_member_question_2:member_morale|Mi a véleményed, hogy mennek a dolgok seregünkben?
dlga_member_question_2:member_background_recap|Meséld el újra a történetedet!
dlga_member_question_2:member_kingsupport_1|Feltételezem, tudod, hogy az ország trónjára török?
dlga_member_question_2:member_intelgathering_1|Vannak összeköttetéseid, amelyek előnyünkre válhatnak?
dlga_member_question_2:member_fief_grant_1|Szeretnél saját földbirtokot?
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Aztán nem sokkal később csatlakoztam hozzád.
dlga_do_member_view_char:member_talk|Van még valami?
dlga_member_kingsupport_1:do_member_trade|Öhm... Igen, hallottam.
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Ez esetben támogatod ügyemet?
dlga_member_kingsupport_1a:do_member_trade|Nagyszerű. Ezt észben tartom.
dlga_member_kingsupport_2:do_member_trade|Igen, {s21}. Mi több, azt is tudom, hogyan segíthetnélek hozzá a trónhoz. De {s22} is épp most indult hasonló küldetésre megbízásodból. Talán várnunk kellene egy pár hetet, hogy ne vonjunk magunkra a figyelmet túlságosan.
