qstr_Next_Page|Következő oldal
qstr_Enemy_patrols_spotte|Ellenséges őrjárat tűnt fel {s1} közelében.
qstr_Medium_sized_group_o|Közepes méretű ellenséges csapat tűnt fel {s1} közelében.
qstr_Significant_group_of|Nagyobb ellenséges csapat tűnt fel {s1} közelében.
qstr_Army_of_enemies_spot|Ellenséges hadsereg tűnt fel {s1} közelében.
qstr_Large_army_of_enemie|Jelentős ellenséges hadsereg tűnt fel {s1} közelében.
qstr_Great_host_of_enemie|Nagyméretű ellenséges hadsereg tűnt fel {s1} közelében.
qstr_{s1}_has_been_besieg|{s1} ostrom alatt áll. Ostromlója: {s2}, {s3} ura.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} lett {s2} új tábornagya.
qstr_You_gained_{reg12}_r|{reg12} hírnév pontot szereztél.
qstr_You_lose_{reg12}_ren|{reg12} hírnév pontot veszítettél.
qstr_Your_relation_with_{|{s1} és közötted levő viszony a javulás jeleit mutatja.
qstr_Your_relation_with_{s|{s1} és közötted levő viszony a romlás jeleit mutatja.
qstr_You_gain_honour.|A megbecsültséged növekedett.
qstr_You_lose_honour.|A megbecsültséged csökkent.
qstr_{s1}_has_declared_wa|{s1} hadüzenetet küldött {s2} részére.
qstr_{s1}_and_{s2}_have_m|{s1} és {s2} békét kötöttek egymással.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?tartózkodási helye korábban:tartózkodási helye jelenleg}: {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?:épp} {s3} felé {reg3?tartott:tart}, és {reg3?: jelenleg} {s4} közelében {reg3?járt:jár}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?:épp} a csatatéren {reg3?volt:van}. {reg3?: Jelenleg} {s3} közelében {reg3?lehetett:lehet}.
qstr_{s2}_{reg3?was:is}_b|{s2} fogságban {reg3?volt:van} {s3} helységben.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?korábban:} ellenségei fogságába esett.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} tartózkodási helye ismeretlen volt:Nem tudom hol van {s2}}.
qstr_{s6}_has_joined_your|{s6} csatlakozott seregedhez.
qstr_You_now_owe_{reg2}_d|Tartozol {reg2} dénárral {s1} felé.
qstr_Renown_value_for_thi|Jelen csata hírnév értéke: {reg8}.
qstr_You_have_run_into_a_|Beleszaladtál a csapdába.
qstr_You_are_attacked_by_|Rád támadott egy csapatnyi zsivány.
qstr_Holding|Pozíció tartása
qstr_Following|Követés
qstr_Charging|Roham
qstr_Advancing|Előrenyomulás
qstr_Falling_Back|Visszahúzódás
qstr_Standing_Closer|Közelebb férkőzés
qstr_Spreading_Out|Szétszóródás
qstr_Standing|Állóharc
qstr_N/A|n.a.
qstr_Free|Szabad
qstr_Any_Weapon|Bármely fegyver
qstr_Blunt_Weapons|Ütőfegyverek
qstr_{s1}_Rebels|{s1} lázadó
qstr_Given_by:_{s62}|Adta: {s62}
qstr_Given_on:_{s60}|Időpontja: {s60}
qstr_You_have_{reg0}_days|A küldetés teljesítésére még {reg0} napod van.
qstr_This_quest_has_been_|A küldetést teljesítetted. A feladat befejezéséhez már csak őt kell tájékoztatnod: {s59}.
qstr_This_quest_has_been_s|A küldetést sikeresen teljesítetted. Hogy elnyerd jutalmadat, tájékoztasd őt: {s59}.
qstr_This_quest_has_faile|Küldetésed kudarcba fulladt. Feltétlenül szükséges, hogy az eredmény okairől tájékoztasd őt: {s59}.
qstr_At_the_time_quest_wa|A küldetés elnyerésekor:^{s1}
qstr_{s5}_has_a_strength_|{s5} összesen {reg1} emberrel rendelkezik.
qstr_The_last_time_you_sa|Amikor utoljára találkoztatok vele, {s1}
qstr_The_last_time_you_he|Amikor utoljára hallottál felőle, {s1}
qstr_Current_garrison_con|Jelenlegi várőrsége összesen {reg5} emberből áll.^{reg6} napi élelmiszertartalékkal rendelkezik
qstr_Very_Poor|Nagyon szegény
qstr_Poor|Szegény
qstr_Average|Átlagos
qstr_Rich|Gazdag
qstr_Very_Rich|Nagyon gazdag
qstr_Manor|Udvarház
qstr_A_manor_lets_you_res|Ha van udvarházad, pihenhetsz a faluban. A pihenés ideje alatt katonáid fél zsoldot kapnak.
qstr_Mill|Malom
qstr_A_mill_increases_vil|A malom 5 %-kal növeli a falu gyarapodását.
qstr_Watch_Tower|Őrtorony
qstr_A_watch_tower_lets_t|Az őrtorony segítségével korábban riadóztatható a falu lakossága. Így a falu kifosztása 50 %-kal hosszabb ideig tart..
qstr_School|Iskola
qstr_A_shool_increases_th|Az iskola minden hónapban 1 ponttal növeli a falusiak hűségét.
qstr_Messenger_Post|Hirdetőoszlop
qstr_A_messenger_post_let|Az üzenőoszlop révén a falvak üzenetet tudnak neked küldeni az ellenség közeledtéről, akkor is, ha éppen távol vagy.
qstr_Prison_Tower|Tömlöc
qstr_A_prison_tower_reduc|A tömlöc csökkenti a foglyok sikeresen végrehajtott szökésének valószínűségét.
qstr_Prosperity_of_{s2}_h|{s2} gazdagságának értéke megváltozott. Régi érték: {s3}. Új érték: {s4}.
qstr_{s4}_looks_upset.|{s4} feldúltnak tűnik.
qstr_your_party|sereged
qstr_{reg0?One_of_your_pr|{reg0?Egyik foglyod, :}{s1}, {s3} megszökött.
qstr_You_brought_{reg3}_h|{reg3} szarvasmarhát vittél {s1} részére.
qstr_I_heard_that_there_w|Azt hallottam, nemsokára lovagi torna lesz. A helyszín: {s62}.
qstr_I_heard_that_one_can|Úgy hallottam, a(z) {s62} nagyon olcsó {s63} térségében.
qstr_I_heard_that_they_pa|Úgy hallottam, nagyon magas árat fizetnek a(z) {s62} szállítmányokért {s63} helységben.
qstr_two_days_ago|két nappal ezelőtt
qstr_Best_threat_of_{s4}_|{s4} legerősebb fenyegetésének mértéke {reg1}
qstr_No_center_found_to_d|Nincs megvédhető központ
qstr_You_gain_right_to_ru|Jogot formáltál a trónra.
qstr_You_lose_right_to_ru|Elveszítetted a trónra formált jogcímedet.
qstr_You_got_keys_of_dung|Van kulcsod a kazamatákhoz.
qstr_You_must_stay_behind|Nem érvényes a pont. A földre festett vonal mögött kell maradnod. 
qstr_Tutorial|Oktatómód
qstr_You_came_into_the_wo|Lecsúszott nemesi családba születtél, a családod már csak azt a házat birtokolja, amelyben lakik. A családod azonban minden nehézség ellenére gondoskodott színvonalas oktatásodról, és gyermekkorodtól kezdve az udvari arisztokrácia szigorú szabályai szerint nevelt.
qstr_You_were_born_the_{r|Utazó kereskedők {reg3?lányaként:fiaként} születtél, akik a hasznot üldözve folyamatosan vándoroltak. Bár szüleid a legtöbb embernél gazdagabbak voltak, és a tőlük telhető legjobb oktatást igyekeztek biztosítani számodra, nem sok lehetőséged nyílt útjaitok során barátok szerzésére, így leginkább az jelentett számodra örömöt, ha valakinek eladhattál valamit.  
qstr_As_a_child_your_fami|Gyermekkorodban családod épphogy szűkösen megélt apád jövedelméből, aki a helyi földesúrnál őrként teljesített szolgálatot. Nem volt könnyű időszak, és túl szegény voltál ahhoz, hogy tisztességes oktatásban részesülj. Leginkább azt tanultad meg, hogyan védd meg magad az utcán, akár fegyveresen, akár fegyvertelenül.
qstr_{reg3?daughter:son}|{reg3?leány:fiú}
qstr_You_were_the_{reg3?d|Egy erdőben éldegélő család {reg3?lányaként:fiaként} születtél, aki minden lehetséges munkát elvállalt a megélhetés érdekében. Vadászat, favágás, nyílkészítés, még egy kis orvvadászat is belefért, ha nem mentek jól a dolgok. A téli időszak mindig nehezebb volt, mivel a hideg egyaránt próbára tett embert és állatot, de te kiálltad a próbát, ellentétben fivéreiddel és nővéreiddel, akik nem mind voltak ilyen szerencsések.
qstr_You_were_a_child_of_|A puszta gyermeke voltál, nomád vándorok közé születtél. A törzsed nagy táborokban élt az aszályos mezőkön. Mint a törzs minden más tagja, családtagjaid is nagyon tisztelték a lovakat, így eshetett meg az, hogy szinte hamarabb tanultál meg lovagolni, mint járni.
qstr_As_the_{reg3?daughte|Egy tolvaj {reg3?lánya:fia} vagy, így nem túl sok 'hagyományos' oktatásban részesültél. Ehelyett az utcán lebzseltél, koldulva, míg ki nem tanultad a zsebmetszés fortélyait, Majd zsebtolvaj lettél, míg ki nem tanultad a zártörés művészetét. Tanulóéveid felruháztak az utca minden bölcsességével, és megismertettek a városok és sötét mellékutcáik minden titkával.
qstr_As_a_{reg3?girl:boy}|Fiatal {reg3?leányként:fiúként} szüleid az ország egyik nemesurának udvarába küldtek. Itt első leckéidet alázatosságból kaptad a ház uraitól és úrhölgyeitől. De sakkjátszmáikból, pletykáikból és nagy tetteik, valamint az udvari szerelmek megénekléséből hamar megtanultad, mi hogyan működik a konfliktusok és versengés felnőtt világában. Eltanultad mások gyermekeinek durva játékait is, például azt, hogyan vívnak botokkal, szüleik pengéit imitálva.
qstr_As_a_{reg3?girl:boy}_|Fiatal {reg3?leányként:fiúként} a helyi kézműves inasaként tanultad ki a kereskedelem fortélyait. Hosszú évek kemény munkáját és állhatatos tanulást követően mestered jól megfizetett napszámosává léptél elő, ezzel gyakorlatilag egy életre bebiztosítva jövődet.
qstr_As_a_{reg3?girl:boy}_g|Fiatal {reg3?leányként:fiúként} egy gazdag kalmárnál inaskodtál, az évek során kitanulva a bolti és az utazó kereskedelem titkait egyaránt. Hamar megjegyezted, hogyan kell alacsony áron venni és nagy haszonnal eladni, kétségek közt hagyva a vevőt: vajon jó üzletet kötött-e.
qstr_As_a_{reg3?girl:boy}_gr|Fiatal {reg3?leányként:fiúként}, a gyermekkorból éppen kinőve az utcán éltél, és bármit megtettél a túlélésért. Koldulás, lopás, bandázás útján kerested a kenyered, napról napra tengődve ebben az erőszakos világban, mindig egy lépéssel a törvény és rosszakaróid előtt járva.
qstr_As_a_{reg3?girl:boy}_gro|Fiatal {reg3?leányként:fiúként} saját lovadon jártad a kiterjedt rónákat, megtanulva a sivatag és a puszta törvényeit. Az élelemszerzés szükséglete ügyes vadásszá és nyomkeresővé tett e kietlen világban. Tested mind izmosabbá vált, ahogy felnőtt nomád {reg3?nő:férfi} lett belőled.
qstr_{reg3?daughter:man}|{reg3?leány:férfi}
qstr_Though_the_distincti|Bár úgy érezted, hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Amikor egy udvari nemes apródja lettél, hosszú órákon át gyakoroltad a fegyverforgatást, kitanultad, hogyan vihetsz be kemény csapásokat, valamint hogyan fogadd őket. Kioktattak urad irányában fennálló kötelezettségeidről, és arról, hogy a jövőben mit kell megtenned saját hűbéreseidért. Persze az idealisztikus lovagi kép mellett kellő oktatásban részesültél a dolgok kevésbé emelkedett oldaláról is: a kíméletlen politikai játszmákról, árulásokról és trónbitorlásról, a céljaik elérése érdekében egyszerre bátorságukkal és ármánykodásaikkal is kitűnő férfiakról. 
qstr_{reg3?woman:man}|{reg3?nő:férfi}
qstr_Though_the_distinctio|Bár úgy érezted, hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Csatlakoztál az udvarhölgyek szűk köréhez, olyan hölgyek társaságába csöppenve, akik nemesurak feleségeként vagy szeretőjeként, esetleg hajadonként ízig-vérig női dolgokkal foglalatoskodtak. Persze ide is begyűrűzött a politika, és a hölgyek igyekeztek az udvarnál éppen aktuálisan 'divatosnak' számító nőtlen urak fejét elcsavarni. Hamar megtanultad, hogyan kerülj ki győztesen az ilyen helyzetekből. Ezzel együtt azt is felismerted, hogy ha csipetnyit körmönfontabban intézed a dolgokat, akár jelentősebb körben is befolyásra tehetsz szert. 
qstr_Though_the_distinction|Bár úgy érezted, kicsit hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Egy szál hangszerrel a válladon, és kiművelt hangod birtokában vágtál neki a világnak. Nem nyújtott biztos megélhetést, és sok éjszaka feküdtél le éhesen, ha az emberek éppen nem voltak vevők a játékodra, de mégis csak a zenélésből éltél. Ahogy múltak az évek, egyre ügyesebben zenéltél a fogadókban összeverődő részeg tömegeknek, és talán még jobban célt értél, ha pusztán szavaidat használtad az emberek meggyőzésére.
qstr_Though_the_distinction_|Bár úgy érezted, kicsit hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Hamarosan az egyik nagyváros egyetemén találtad magad, teológiát, filozófiát és gyógyszerészetet hallgató diákként. De nemcsak az előadótermekben tanultál. Alkalomadtán az utcákat róttad társaiddal ital, {reg3?férfiak:nők}, vagy egy jóízű verekedés után kutatva. Az évek során mindenesetre megtanultad, hogyan kell helyretenni az eltört állkapcsot, és hogyan lehet némi pénzmag átadásával lebeszélni a dühös - boltjukat egyszer csak romokban találó - városlakókat arról, hogy használatba vegyék a kezük ügyében lévő bunkósbotokat. 
qstr_Though_the_distinction_f|Bár úgy érezted, kicsit hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Engedve az út csábításának, faluról falura utazva adtál-vettél mindent, amit csak lehetett. Nem ez volt a legbiztosabb megélhetés, de remekül kitanultad, hogyan beszéld rá akár a legfukarabb elöljárót is arra, hogy messze áron felül vegyen meg tőled valami ócskaságot. Hamar felismerted, hogy megvan benned a lehetőség az igazi áttörés elérésére...
qstr_Though_the_distinction_fe|Bár érezted, kicsit hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Kovácsként dolgoztál, acélból készítettél gyönyörű, egyszersmind praktikus tárgyakat. Ahogy telt az idő, szakmád mesterévé váltál, és a jó munka egyre több pénzt ért meg megrendelőidnek. Minthogy jól ment sorod, sem ételben, sem italban, sem másban nem szenvedtél hiányt, méltán lehettél büszke munkádra és növekvő hírnevedre.
qstr_Though_the_distinction_fel|Bár érezted, kicsit hirtelen jött a dolog, valahol útközben {reg3?nővé:férfivá} értél, és úgy tűnt, az egész világ megváltozott körülötted. Megelégelve az egyszerű emberek kilátástalan küzdelmét a napi betevőért, bevetted magad földesurad erdeibe, és ott próbáltál zsákmányra szert tenni, törvény ide, törvény oda.  Szarvasbikákat, vadkanokat, vadludakat ejtettél el, és értékesítettél a feketepiacon. Az őrszemek orra előtt vágtál ki fákat, amelyek tűzifaként otthonok százaiban teremtettek telente meleget. Nem ingyen, persze.   
qstr_Only_you_know_exactl|Csak te tudhatod, mi vitt végül arra, hogy feladd régi életed és kalandozni kezdj. Nem mintha túl nehéz lett volna meghozni a döntést, amelyben a szívedben tomboló düh is jelentős szerepet játszott. Bosszút akartál állni. Igazságot akartál tenni. Ami megtörtént, megváltoztatni már nem lehetett, de úgy érezted, valakinek ezért fizetnie kell. Vérrel...
qstr_Only_you_know_exactly|Csak te tudhatod, mi vitt végül arra, hogy feladd régi életed és kalandozni kezdj. Egyszerűen már nem volt maradásod. Menekülnöd kellett az oly közeli és oly  fájdalmas szerelmek emléke elől. Talán új életed segít felejteni, vagy legalább tisztelni a nevet, amit már kiejteni is nehezedre esett...
qstr_Only_you_know_exactly_|Csak te tudhatod, mi vitt végül arra, hogy feladd régi életed és kalandozni kezdj. Nem is emlékeztél pontosan, mikor vált otthonod börtönné, de képzeletbeli vándorlásokról szőtt álmaid egyre jobban kezdtek eluralkodni a valóság felett. Hogy valami távoli helyre vágytál, vagy egyszerűen csak az útra és az utazás szabadságára, nem tudtad, egy viszont biztos volt: nem maradhatsz többé egy helyben. Így egyszer csak fogtad magad, és nem néztél vissza többé...
qstr_Only_you_know_exactly_w|Csak te tudhatod, mi vitt végül arra, hogy feladd régi életed és kalandozni kezdj. Persze tudtad, hogy nem mehetsz vissza. Nincs hová visszamenned. Bármilyen otthonod is volt eddig, nem létezik többé, és el kell fogadnod, hogy egyedül vagy a világban. Minden csak rajtad múlik...
qstr_Only_you_know_exactly_wh|Csak te tudhatod, mi vitt végül arra, hogy feladd régi életed és kalandozni kezdj. Mindenki más számára egyértelmű, hogy pusztán a személyes meggazdagodás motivált. Gazdag és hatalmas akartál lenni, akit tisztelnek és félnek az emberek. Te akartál az lenni, akinek mások lesik a kívánságait. Azt akartad, hogy az emberek megismerjék a neved, és összerezzenjenek, ha meghallják. Mindent akartál, és tudtad, céljaid elérésében senki nem akadályozhat meg...
qstr_Back_to_the_beginnin|Vissza a kezdetekhez...
qstr_View_next_segment...|Következő rész megtekintése...
qstr_^No_food:___{reg7}|^Ételhiány:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Tartozás:  -{reg6}
qstr_Appoint_next_marshal|Következő tábornagy kinevezése
qstr_Award_{s12}_as_fief|{s12} adományozása hűbérbirtokként
qstr_No_one|Senki
qstr_Selected_faction_is:|Választott érdekcsoport: {s10}^^{s9}
qstr_You_are_currently_re|Jelenleg olvasott könyv: {s8}.
qstr_You_are_not_reading_|Jelenleg semmit sem olvasol.
qstr_none|nincs(enek)
qstr_{s5}_and_{s6}|{s5} és {s6}
qstr_Your_estates_are:_{s|Földbirtokaid: {s8}.^{s9}
qstr_Current_party_size_l|A sereg maximális mérete: {reg5}.^A sereg maximális méretét befolyásoló változók:^^Alapméret:  +30^Vezetői képesség: {s2}{reg1}^Személyes varázs: {s3}{reg2}^Hírnév: {s4}{reg3}^ÖSSZESEN:  {reg5}
qstr_Loyal|Hű
qstr_Devoted|Elkötelezett
qstr_Fond|Elfogult
qstr_Gracious|Szívélyes
qstr_Friendly|Barátságos
qstr_Supportive|Támogató
qstr_Favorable|Kedves
qstr_Cooperative|Együttműködő
qstr_Accepting|Elfogadó
qstr_Indifferent|Közömbös
qstr_Suspicious|Bizalmatlan
qstr_Grumbling|Elégedetlenkedő
qstr_Hostile|Ellenséges
qstr_Resentful|Neheztelő
qstr_Angry|Dühös
qstr_Hateful|Gyűlölködő
qstr_Revengeful|Bosszúvágyó
qstr_Vengeful|Bosszúszomjas
qstr_Your_relation_with_t|Viszonyod az érdekcsoportokkal:^{s2}
qstr_Player_renown_is_inc|A játékos hírneve 100 ponttal nőtt.
qstr_Player_honor_is_incr|A játékos tisztessége 1 ponttal nőtt és most {reg7}.
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?elfogadják:elfogadja} az ajánlatot.
qstr_No_one_accepts_the_o|Senki nem fogadja el az ajánlatot.
qstr_You_start_reading_{s|Elkezdtél olvasni, érdeklődésed tárgya: {s2}. Néhány oldal után úgy érzed, rengeteget tanulhatsz ebből a könyvből. Úgy döntesz, mindig magadnál tartod, hogy ha lehetőséged nyílik, folytathasd az olvasást.
qstr_You_flip_through_the|Átfutod a(z) {s2} című könyv néhány oldalát, de a szövegét érthetetlennek és zavarosnak találod. Próbálkozásaidba hamarosan a fejed is belefájdul, így inkább nem folytatod tanulmányozását.
qstr_Villagers|Falusiak
qstr_You_have_encountered|{s1} jött(ek) szembe veled, így összefutottatok.
qstr_You_have_engaged_{s1|Rajtaütöttél {s1} seregén, míg csapatai {s3} helységben fosztogattak.
qstr_You_were_caught_by_{|{s1} elfogott, míg egységeid {s3} helységbe fosztogattak.
qstr_You_were_victorious!|Győzedelmeskedtél!
qstr_Battle_was_lost._You|Elvesztetted a csatát. Csapataid teljes vereséget szenvedtek.
qstr_Your_companions_carr|Társaid vonszoltak el a csatából.
qstr_You_have_defeated_th|Legyőzted az ellenséget.
qstr_You_have_retreated_f|Visszavonultál a harcból.
qstr_^^Ally_Casualties:{s|^^Szövetséges veszteségek:{s0}
qstr_{s1}_of_{s3}_managed|{s1}, {s3} ura sikeresen elmenekült.
qstr_Some_of_your_tendons|Ínsérülést szenvedtél a csatában. Egy erő pontot vesztesz.
qstr_You_took_a_nasty_wou|Csúnya sebesülést szedtél össze, amitől a teljes gyógyulást követően is bicegni fogsz. Vesztesz egy ügyesség pontot.
qstr_You_have_trouble_thi|Meglehetősen nagy ütést mértek a fejedre, amitől alig tudsz gondolkodni a csatát követően. A gyakori fejfájások immár életed részévé válnak. Intelligencia pontjaid száma eggyel csökken.
qstr_Perhaps_I_m_getting_|Lehet, hogy üldöz a balszerencse...
qstr_Retirement_is_starti|A visszavonulás ötlete mind vonzóbbnak tűnik.
qstr_No_matter!_I_will_pe|Semmi gond. Ki kell tartanom.
qstr_What_did_I_do_to_des|Mit tettem, hogy ezt érdemlem?
qstr_I_suppose_it_ll_make|Legalább jó sztori lesz...
qstr_{s9}_wants_you_to_fo|{s9} szeretné, ha követnéd, amíg nem szól.
qstr_{s8}_of_{s9}|{s8}, {s9} ura
qstr__Your_own_banner_fli| A te lobogód leng a várkapu fölött.
qstr__You_see_the_banner_|  {s7} lobogója leng a várkapu fölött.
qstr__Your_own_banner_flie| Saját lobogód leng a városkapu fölött. 
qstr__You_see_the_banner_o|  {s7} lobogója leng a városkapu fölött.
qstr_The_{reg6?town_s:cas|A {reg6?város:vár} élelmiszertartalékai még {reg3} napig kitartanak.
qstr_The_{reg6?town_s:cast|A {reg6?város:vár} élelmiszerkészletei elfogytak, a védők éheznek.
qstr_You_re_preparing_to_|A falak bevételének előkészületei folynak még további {reg9} órán keresztül.
qstr_Your_forces_are_buil|Csapataid ostromtornyot építenek. Hozzávetőlegesen további {reg9} óra van hátra a befejezésig.
qstr_You_are_ready_to_att|Csapataid készen állnak a falak megrohamozására.
qstr_The_siege_tower_is_b|Az ostromtorony megépült, és készen áll a támadásra.
qstr_As_a_last_defensive_|Utolsó védelmi manőverként visszahátrálsz a vártorony nagytermébe. Megmaradt embereiddel kétségbeesetten folytatjátok a küzdelmet. Innen már nincs hová visszavonulnotok.
qstr_You_ve_been_driven_a|A falakon vereséget szenvedtél. A támadók elözönlik az utcákat. Ha le tudod győzni őket, talán még megfordítható az ütközet, és megmenthető a vár.
